Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MASDI BIN MUSA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAPHA BIN NAGOOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ABDUL RAHMAN BIN JAAFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,364,39,179,45,263,34,67,UNDI POS,UNDI POS
2,127/06/01,SEKOLAH KEBANGSAAN PALONG 14,1.0,310,20,233,54,307,3,0,"PALONG 14, 15 & 16 ",UNDI BIASA
2,127/06/01,SEKOLAH KEBANGSAAN PALONG 14,2.0,326,33,191,98,322,4,0,"PALONG 14, 15 & 16 ",UNDI BIASA
2,127/06/01,SEKOLAH KEBANGSAAN PALONG 14,3.0,313,43,167,100,310,3,0,"PALONG 14, 15 & 16 ",UNDI BIASA
3,127/06/02,SEKOLAH KEBANGSAAN PALONG 8 (FELDA),1.0,313,18,237,48,303,10,0,PALONG 8 ,UNDI BIASA
3,127/06/02,SEKOLAH KEBANGSAAN PALONG 8 (FELDA),2.0,575,31,463,70,564,10,1,PALONG 8 ,UNDI BIASA
3,127/06/02,SEKOLAH KEBANGSAAN PALONG 8 (FELDA),3.0,441,45,236,151,432,9,0,PALONG 8 ,UNDI BIASA
3,127/06/02,SEKOLAH KEBANGSAAN PALONG 8 (FELDA),4.0,448,57,254,135,446,2,0,PALONG 8 ,UNDI BIASA
3,127/06/02,SEKOLAH KEBANGSAAN PALONG 8 (FELDA),5.0,458,68,256,128,452,6,0,PALONG 8 ,UNDI BIASA
4,127/06/03,SEKOLAH KEBANGSAAN (FELDA) PALONG 12,1.0,322,20,258,39,317,5,0,PALONG 12 & 13 ,UNDI BIASA
4,127/06/03,SEKOLAH KEBANGSAAN (FELDA) PALONG 12,2.0,436,52,302,77,431,5,0,PALONG 12 & 13 ,UNDI BIASA
4,127/06/03,SEKOLAH KEBANGSAAN (FELDA) PALONG 12,3.0,409,40,271,94,405,4,0,PALONG 12 & 13 ,UNDI BIASA
5,127/06/04,SEKOLAH KEBANGSAAN (FELDA) PALONG 7,1.0,310,11,235,54,300,0,10,PALONG 7 ,UNDI BIASA
5,127/06/04,SEKOLAH KEBANGSAAN (FELDA) PALONG 7,2.0,480,10,402,49,461,19,0,PALONG 7 ,UNDI BIASA
5,127/06/04,SEKOLAH KEBANGSAAN (FELDA) PALONG 7,3.0,394,34,234,118,386,0,8,PALONG 7 ,UNDI BIASA
5,127/06/04,SEKOLAH KEBANGSAAN (FELDA) PALONG 7,4.0,377,41,213,122,376,1,0,PALONG 7 ,UNDI BIASA
5,127/06/04,SEKOLAH KEBANGSAAN (FELDA) PALONG 7,5.0,396,37,213,139,389,7,0,PALONG 7 ,UNDI BIASA
6,127/06/05,SEKOLAH KEBANGSAAN (FELDA) PALONG 9,1.0,320,22,256,32,310,10,0,"PALONG 9, 10 & 11 ",UNDI BIASA
