Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' MANICKAM LETCHUMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD FAIRUZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) S MUSLIADI SABTU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SURASH A/L SREENIVASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,164,64,22,25,15,126,15,23,UNDI POS,UNDI POS
2,127/07/00,DEWAN SERBAGUNA IPD JEMPOL BILIK B,1.0,18,13,2,2,1,18,0,0,UNDI AWAL,UNDI AWAL
3,127/07/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG BAHAU,1.0,334,83,4,88,135,310,24,0,LADANG BAHAU ,UNDI BIASA
4,127/07/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ST HELIER,1.0,273,73,7,76,85,241,32,0,TAMAN JAYA ,UNDI BIASA
4,127/07/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ST HELIER,2.0,495,141,35,113,178,467,28,0,TAMAN JAYA ,UNDI BIASA
4,127/07/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ST HELIER,3.0,471,111,26,129,192,458,13,0,TAMAN JAYA ,UNDI BIASA
4,127/07/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ST HELIER,4.0,433,79,23,130,194,426,7,0,TAMAN JAYA ,UNDI BIASA
4,127/07/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ST HELIER,5.0,426,129,44,124,125,422,4,0,TAMAN JAYA ,UNDI BIASA
5,127/07/03,SEKOLAH KEBANGSAAN BUKIT ROKAN BARAT,1.0,331,220,10,14,72,316,15,0,BUKIT ROKAN BARAT ,UNDI BIASA
5,127/07/03,SEKOLAH KEBANGSAAN BUKIT ROKAN BARAT,2.0,480,199,54,83,141,477,3,0,BUKIT ROKAN BARAT ,UNDI BIASA
6,127/07/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SIALANG,1.0,264,87,4,75,74,240,24,0,JERAM PADANG ,UNDI BIASA
6,127/07/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SIALANG,2.0,449,123,5,141,164,433,16,0,JERAM PADANG ,UNDI BIASA
7,127/07/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG MIDDLETON,1.0,268,94,3,37,105,239,29,0,LADANG MIDDLETON ,UNDI BIASA
7,127/07/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG MIDDLETON,2.0,213,74,4,31,102,211,2,0,LADANG MIDDLETON ,UNDI BIASA
8,127/07/06,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG KELPIN,1.0,190,50,1,44,85,180,10,0,LADANG KELPIN ,UNDI BIASA
9,127/07/07,DEWAN NEW ROMPIN,1.0,200,57,3,19,102,181,19,0,LADANG BUKIT PILAH ,UNDI BIASA
10,127/07/08,SEKOLAH KEBANGSAAN ROMPIN,1.0,231,77,5,68,55,205,26,0,ROMPIN ,UNDI BIASA
10,127/07/08,SEKOLAH KEBANGSAAN ROMPIN,2.0,534,148,20,142,198,508,25,1,ROMPIN ,UNDI BIASA
10,127/07/08,SEKOLAH KEBANGSAAN ROMPIN,3.0,502,112,29,170,171,482,20,0,ROMPIN ,UNDI BIASA
10,127/07/08,SEKOLAH KEBANGSAAN ROMPIN,4.0,505,104,34,115,242,495,10,0,ROMPIN ,UNDI BIASA
11,127/07/09,SEKOLAH KEBANGSAAN (FELDA) PALONG 2,1.0,309,212,16,62,9,299,10,0,PALONG 2 ,UNDI BIASA
11,127/07/09,SEKOLAH KEBANGSAAN (FELDA) PALONG 2,2.0,472,296,46,81,36,459,13,0,PALONG 2 ,UNDI BIASA
11,127/07/09,SEKOLAH KEBANGSAAN (FELDA) PALONG 2,3.0,435,196,74,127,28,425,10,0,PALONG 2 ,UNDI BIASA
11,127/07/09,SEKOLAH KEBANGSAAN (FELDA) PALONG 2,4.0,442,189,98,137,13,437,5,0,PALONG 2 ,UNDI BIASA
12,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,1.0,314,217,25,38,24,304,10,0,PALONG 1 ,UNDI BIASA
12,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,2.0,570,321,80,112,44,557,13,0,PALONG 1 ,UNDI BIASA
12,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,3.0,521,233,111,119,50,513,8,0,PALONG 1 ,UNDI BIASA
