Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU BAKRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TEO KOK SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHONG WAN YU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,212,44,30,80,154,20,38,UNDI POS,UNDI POS
2,127/08/00,DEWAN SERBAGUNA IPD JEMPOL BILIK C,1.0,105,22,11,69,102,3,0,UNDI AWAL,UNDI AWAL
3,127/08/01,DEWAN ORANG RAMAI BATU KIKIR,1.0,303,84,54,161,299,4,0,KAMPONG BUKIT PERAH ,UNDI BIASA
4,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,1.0,271,46,92,128,266,4,1,KAMPONG BATU KIKIR ,UNDI BIASA
4,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,2.0,517,160,180,170,510,7,0,KAMPONG BATU KIKIR ,UNDI BIASA
4,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,3.0,517,194,158,162,514,3,0,KAMPONG BATU KIKIR ,UNDI BIASA
5,127/08/03,BALAI RAYA KAMPONG LONEK,1.0,454,118,87,245,450,4,0,KAMPONG LONEK ,UNDI BIASA
6,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,1.0,266,68,25,155,248,18,0,KUALA JEMPOL ,UNDI BIASA
6,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,2.0,488,185,90,204,479,9,0,KUALA JEMPOL ,UNDI BIASA
6,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,3.0,440,203,93,141,437,3,0,KUALA JEMPOL ,UNDI BIASA
7,127/08/05,SEKOLAH KEBANGSAAN KUALA KEPIS,1.0,177,39,41,95,175,2,0,KAMPUNG KUALA KEPIS ,UNDI BIASA
8,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,1.0,293,8,157,121,286,7,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
8,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,2.0,473,49,300,120,469,4,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
8,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,3.0,448,43,307,97,447,1,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
8,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,4.0,433,44,322,65,431,2,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
8,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,5.0,465,51,344,68,463,2,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
9,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,1.0,291,1,187,99,287,4,0,TAMAN ACBE ,UNDI BIASA
9,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,2.0,590,12,453,122,587,3,0,TAMAN ACBE ,UNDI BIASA
9,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,3.0,542,10,448,82,540,2,0,TAMAN ACBE ,UNDI BIASA
9,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,4.0,563,7,478,75,560,3,0,TAMAN ACBE ,UNDI BIASA
9,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,5.0,563,15,490,56,561,2,0,TAMAN ACBE ,UNDI BIASA
10,127/08/08,SEKOLAH KEBANGSAAN ST AIDAN,1.0,215,2,137,66,205,10,0,PEKAN BAHAU ,UNDI BIASA
