Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SUHAIMI KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMMAD GHAZALI BIN ABU BAKAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAZALAN BIN MAAROP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,352,43,24,153,220,56,76,UNDI POS,UNDI POS
2,128/09/00,"DATARAN IPD NILAI (BALAI POLIS MANTIN), KHEMAH A",1.0,55,6,5,44,55,0,0,UNDI AWAL,UNDI AWAL
3,128/09/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BROGA,1.0,304,193,5,101,299,5,0,PEKAN BROGA ,UNDI BIASA
3,128/09/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BROGA,2.0,326,233,18,72,323,3,0,PEKAN BROGA ,UNDI BIASA
3,128/09/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BROGA,3.0,322,245,16,60,321,1,0,PEKAN BROGA ,UNDI BIASA
4,128/09/02,SEKOLAH KEBANGSAAN ULU BERANANG,1.0,274,126,10,133,269,5,0,ULU BERANANG ,UNDI BIASA
4,128/09/02,SEKOLAH KEBANGSAAN ULU BERANANG,2.0,569,249,34,272,555,14,0,ULU BERANANG ,UNDI BIASA
4,128/09/02,SEKOLAH KEBANGSAAN ULU BERANANG,3.0,520,215,49,248,512,8,0,ULU BERANANG ,UNDI BIASA
5,128/09/03,SEKOLAH KEBANGSAAN KAMPONG DACHING,1.0,286,48,34,197,279,7,0,KAMPONG DACHING ,UNDI BIASA
5,128/09/03,SEKOLAH KEBANGSAAN KAMPONG DACHING,2.0,334,116,35,173,324,10,0,KAMPONG DACHING ,UNDI BIASA
5,128/09/03,SEKOLAH KEBANGSAAN KAMPONG DACHING,3.0,314,96,51,163,310,4,0,KAMPONG DACHING ,UNDI BIASA
6,128/09/04,SEKOLAH KEBANGSAAN MENDUM,1.0,281,63,25,192,280,1,0,KAMPONG RAWA ULU ,UNDI BIASA
6,128/09/04,SEKOLAH KEBANGSAAN MENDUM,2.0,379,130,40,205,375,4,0,KAMPONG RAWA ULU ,UNDI BIASA
6,128/09/04,SEKOLAH KEBANGSAAN MENDUM,3.0,360,127,34,196,357,3,0,KAMPONG RAWA ULU ,UNDI BIASA
7,128/09/05,SEKOLAH KEBANGSAAN DATO' KLANA PUTRA,1.0,279,97,19,156,272,7,0,LENGGENG ,UNDI BIASA
7,128/09/05,SEKOLAH KEBANGSAAN DATO' KLANA PUTRA,2.0,381,195,44,141,380,1,0,LENGGENG ,UNDI BIASA
8,128/09/06,SEKOLAH KEBANGSAAN SUNGAI JAI,1.0,271,61,15,183,259,12,0,MACHANG ,UNDI BIASA
8,128/09/06,SEKOLAH KEBANGSAAN SUNGAI JAI,2.0,489,150,65,271,486,3,0,MACHANG ,UNDI BIASA
8,128/09/06,SEKOLAH KEBANGSAAN SUNGAI JAI,3.0,464,190,63,210,463,1,0,MACHANG ,UNDI BIASA
9,128/09/07,SEKOLAH KEBANGSAAN PANTAI,1.0,298,101,20,170,291,7,0,DESA SRI PANTAI ,UNDI BIASA
9,128/09/07,SEKOLAH KEBANGSAAN PANTAI,2.0,469,184,47,233,464,5,0,DESA SRI PANTAI ,UNDI BIASA
9,128/09/07,SEKOLAH KEBANGSAAN PANTAI,3.0,463,250,41,163,454,9,0,DESA SRI PANTAI ,UNDI BIASA
9,128/09/07,SEKOLAH KEBANGSAAN PANTAI,4.0,466,191,114,158,463,3,0,DESA SRI PANTAI ,UNDI BIASA
10,128/09/08,KOMPLEKS KOMUNITI DESA SEREMBAN,1.0,522,253,40,221,514,8,0,PANTAI ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,1.0,252,120,13,97,230,22,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,2.0,593,250,46,287,583,10,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,3.0,614,311,59,239,609,5,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,4.0,603,319,51,231,601,2,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,5.0,595,312,77,205,594,1,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,6.0,573,333,72,165,570,3,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,7.0,566,322,70,172,564,2,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,8.0,539,319,57,162,538,1,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,9.0,538,327,51,157,535,3,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,10.0,553,336,51,166,553,0,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,11.0,529,311,67,147,525,4,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,12.0,549,325,66,154,545,4,0,PANCHOR ,UNDI BIASA
11,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,13.0,568,309,84,173,566,2,0,PANCHOR ,UNDI BIASA
