Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEAW KOK CHAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) J. ARUL KUMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD ABU ZARIM ABDUL RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,217,78,36,36,150,14,53,UNDI POS,UNDI POS
2,128/10/00,"DATARAN IPD NILAI (BALAI POLIS MANTIN), KHEMAH B",1.0,370,287,41,37,365,5,0,UNDI AWAL ,UNDI AWAL
2,128/10/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH C",1.0,35,20,9,5,34,1,0,UNDI AWAL ,UNDI AWAL
3,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,1.0,247,40,182,16,238,9,0,NILAI ,UNDI BIASA
3,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,2.0,572,102,419,42,563,9,0,NILAI ,UNDI BIASA
3,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,3.0,542,93,387,60,540,2,0,NILAI ,UNDI BIASA
3,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,4.0,528,88,379,59,526,2,0,NILAI ,UNDI BIASA
3,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,5.0,528,101,348,75,524,4,0,NILAI ,UNDI BIASA
4,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,1.0,276,127,121,23,271,5,0,BATANG BENAR ,UNDI BIASA
4,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,2.0,606,195,325,80,600,6,0,BATANG BENAR ,UNDI BIASA
4,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,3.0,561,155,307,96,558,3,0,BATANG BENAR ,UNDI BIASA
5,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,1.0,289,48,215,13,276,13,0,PEKAN PAJAM ,UNDI BIASA
5,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,2.0,387,39,338,8,385,2,0,PEKAN PAJAM ,UNDI BIASA
5,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,3.0,373,37,311,24,372,1,0,PEKAN PAJAM ,UNDI BIASA
6,128/10/04,BALAI RAYA KAMPUNG GEBOK PAJAM,1.0,285,144,106,26,276,9,0,KAMPUNG GEBOK ,UNDI BIASA
6,128/10/04,BALAI RAYA KAMPUNG GEBOK PAJAM,2.0,550,194,238,115,547,3,0,KAMPUNG GEBOK ,UNDI BIASA
7,128/10/05,SEKOLAH KEBANGSAAN MANTIN,1.0,274,47,209,6,262,12,0,BATU SEBELAS ,UNDI BIASA
7,128/10/05,SEKOLAH KEBANGSAAN MANTIN,2.0,328,75,220,29,324,4,0,BATU SEBELAS ,UNDI BIASA
7,128/10/05,SEKOLAH KEBANGSAAN MANTIN,3.0,305,54,220,31,305,0,0,BATU SEBELAS ,UNDI BIASA
