Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LIM KOK KIAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BALAMURUGAN A/L SANMUGAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHEW SEH YONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,88,19,0,29,48,10,30,UNDI POS,UNDI POS
2,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,1.0,292,65,3,218,286,6,0,KG LOBAK ,UNDI BIASA
2,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,2.0,552,124,6,414,544,8,0,KG LOBAK ,UNDI BIASA
2,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,3.0,559,72,0,484,556,3,0,KG LOBAK ,UNDI BIASA
2,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,4.0,514,79,1,431,511,3,0,KG LOBAK ,UNDI BIASA
2,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,5.0,519,76,1,442,519,0,0,KG LOBAK ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,1.0,226,48,2,169,219,7,0,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,2.0,487,55,2,424,481,6,0,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,3.0,493,48,3,437,488,5,0,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,4.0,504,57,2,433,492,12,0,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,5.0,493,49,3,438,490,2,1,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,6.0,492,29,3,458,490,2,0,ULU TEMIANG ,UNDI BIASA
3,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,7.0,474,35,2,433,470,2,2,ULU TEMIANG ,UNDI BIASA
4,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,1.0,223,45,5,167,217,6,0,JALAN MANICKAVASAGAM ,UNDI BIASA
4,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,2.0,551,89,12,445,546,5,0,JALAN MANICKAVASAGAM ,UNDI BIASA
4,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,3.0,548,53,4,489,546,2,0,JALAN MANICKAVASAGAM ,UNDI BIASA
4,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,4.0,549,48,3,496,547,2,0,JALAN MANICKAVASAGAM ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,1.0,244,45,5,190,240,4,0,LOBAK ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,2.0,503,75,2,422,499,4,0,LOBAK ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,3.0,493,44,3,441,488,5,0,LOBAK ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,4.0,479,44,4,427,475,4,0,LOBAK ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,5.0,504,42,4,458,504,0,0,LOBAK ,UNDI BIASA
5,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,6.0,504,27,1,475,503,1,0,LOBAK ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,1.0,209,35,5,161,201,8,0,TAMAN TEMPLER ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,2.0,522,97,2,414,513,9,0,TAMAN TEMPLER ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,3.0,547,76,2,463,541,6,0,TAMAN TEMPLER ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,4.0,545,49,0,487,536,4,5,TAMAN TEMPLER ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,5.0,558,46,2,509,557,0,1,TAMAN TEMPLER ,UNDI BIASA
6,128/11/05,SEK JENIS KEB (CINA) CHAN WA JALAN TAN SRI MANIKAVASAGAM SEREMBAN,6.0,535,42,1,491,534,1,0,TAMAN TEMPLER ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,1.0,231,41,2,182,225,6,0,KAMPONG NEE YAN ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,2.0,478,58,1,414,473,5,0,KAMPONG NEE YAN ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,3.0,474,47,3,417,467,7,0,KAMPONG NEE YAN ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,4.0,472,38,1,431,470,2,0,KAMPONG NEE YAN ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,5.0,466,28,1,434,463,3,0,KAMPONG NEE YAN ,UNDI BIASA
7,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,6.0,467,40,1,424,465,2,0,KAMPONG NEE YAN ,UNDI BIASA
