Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG CHIN TSAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SIOW KOI VOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YAU CON SENG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,184,18,105,14,137,27,20,UNDI POS,UNDI POS
2,128/12/00,"DEWAN UNIT 7 PASUKAN SIMPANAN PERSEKUTUAN, IPK SEREMBAN",1.0,525,63,433,15,511,14,0,UNDI AWAL ,UNDI AWAL
2,128/12/00,"DEWAN UNIT 7 PASUKAN SIMPANAN PERSEKUTUAN, IPK SEREMBAN",2.0,531,60,431,32,523,8,0,UNDI AWAL ,UNDI AWAL
2,128/12/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH  A",1.0,1,0,0,1,1,0,0,UNDI AWAL ,UNDI AWAL
3,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,1.0,299,148,132,15,295,4,0,TAMAN TEMIANG JAYA ,UNDI BIASA
3,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,2.0,601,338,234,28,600,1,0,TAMAN TEMIANG JAYA ,UNDI BIASA
3,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,3.0,569,357,170,37,564,5,0,TAMAN TEMIANG JAYA ,UNDI BIASA
3,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,4.0,535,339,148,47,534,1,0,TAMAN TEMIANG JAYA ,UNDI BIASA
3,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,5.0,532,340,143,46,529,3,0,TAMAN TEMIANG JAYA ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,1.0,212,145,54,5,204,8,0,TEMIANG ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,2.0,526,388,117,11,516,10,0,TEMIANG ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,3.0,524,409,105,8,522,2,0,TEMIANG ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,4.0,523,423,85,9,517,6,0,TEMIANG ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,5.0,526,386,120,16,522,4,0,TEMIANG ,UNDI BIASA
4,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,6.0,481,357,101,19,477,4,0,TEMIANG ,UNDI BIASA
5,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,1.0,258,207,39,6,252,6,0,LIMBOK ,UNDI BIASA
5,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,2.0,507,434,64,3,501,6,0,LIMBOK ,UNDI BIASA
5,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,3.0,516,452,58,5,515,1,0,LIMBOK ,UNDI BIASA
6,128/12/04,SEKOLAH KEBANGSAAN SERI KELANA,1.0,236,163,67,5,235,1,0,JALAN YAZID AHMAD ,UNDI BIASA
6,128/12/04,SEKOLAH KEBANGSAAN SERI KELANA,2.0,257,159,76,20,255,2,0,JALAN YAZID AHMAD ,UNDI BIASA
7,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,1.0,215,171,37,5,213,2,0,JALAN HAN HUI FOONG ,UNDI BIASA
7,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,2.0,340,260,68,10,338,2,0,JALAN HAN HUI FOONG ,UNDI BIASA
7,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,3.0,336,277,44,12,333,3,0,JALAN HAN HUI FOONG ,UNDI BIASA
