Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SYAMSUL DEBAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AMINUDDIN HARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAHIM BIN YUSOF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BUJANG BIN ABU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,501,224,101,31,0,356,21,124,UNDI POS,UNDI POS
2,128/13/00,BALAI POLIS SIKAMAT,1.0,70,63,4,2,0,69,1,0,UNDI AWAL ,UNDI AWAL
2,128/13/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH B",1.0,54,35,10,9,0,54,0,0,UNDI AWAL ,UNDI AWAL
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,1.0,269,146,103,16,0,265,4,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,2.0,604,315,237,49,1,602,2,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,3.0,597,237,288,68,1,594,2,1,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,4.0,568,179,316,71,1,567,1,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,5.0,561,207,280,74,0,561,0,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,6.0,546,220,264,62,0,546,0,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,7.0,554,199,292,62,1,554,0,0,TAMAN PAROI JAYA ,UNDI BIASA
3,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,8.0,576,216,282,78,0,576,0,0,TAMAN PAROI JAYA ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,1.0,258,93,147,8,0,248,10,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,2.0,618,223,365,20,1,609,9,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,3.0,595,164,403,26,0,593,2,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,4.0,584,120,411,47,2,580,4,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,5.0,559,147,370,38,1,556,3,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,6.0,545,149,349,41,4,543,2,0,SIKAMAT ,UNDI BIASA
4,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,7.0,560,183,324,49,0,556,4,0,SIKAMAT ,UNDI BIASA
5,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,1.0,293,97,190,4,0,291,2,0,TAMAN JUJUR ,UNDI BIASA
5,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,2.0,595,208,350,26,0,584,11,0,TAMAN JUJUR ,UNDI BIASA
5,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,3.0,568,153,384,25,0,562,6,0,TAMAN JUJUR ,UNDI BIASA
5,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,4.0,550,148,370,28,0,546,4,0,TAMAN JUJUR ,UNDI BIASA
5,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,5.0,545,188,317,37,1,543,2,0,TAMAN JUJUR ,UNDI BIASA
6,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,1.0,241,91,135,9,0,235,6,0,JALAN SIKAMAT ,UNDI BIASA
6,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,2.0,553,238,287,25,0,550,3,0,JALAN SIKAMAT ,UNDI BIASA
6,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,3.0,536,184,308,40,1,533,3,0,JALAN SIKAMAT ,UNDI BIASA
6,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,4.0,525,197,288,39,0,524,1,0,JALAN SIKAMAT ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,1.0,294,135,146,9,0,290,4,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,2.0,612,303,275,31,0,609,3,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,3.0,617,247,308,53,0,608,9,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,4.0,571,186,331,51,0,568,3,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,5.0,583,182,342,56,1,581,2,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,6.0,532,189,303,35,0,527,5,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,7.0,544,182,324,36,0,542,2,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,8.0,527,161,320,41,0,522,5,0,TAMAN DESA RHU ,UNDI BIASA
7,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,9.0,553,210,308,35,0,553,0,0,TAMAN DESA RHU ,UNDI BIASA
