Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFFA BIN DAHARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. ABU UBAIDAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR.  MOHAMAD RAFIE BIN AB MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,290,21,147,39,207,31,52,UNDI POS,UNDI POS
2,128/14/01,KOLEJ MARA SEREMBAN,1.0,198,3,49,141,193,5,0,MEDAN RAHANG ,UNDI BIASA
2,128/14/01,KOLEJ MARA SEREMBAN,2.0,436,6,64,364,434,2,0,MEDAN RAHANG ,UNDI BIASA
2,128/14/01,KOLEJ MARA SEREMBAN,3.0,457,26,65,364,455,2,0,MEDAN RAHANG ,UNDI BIASA
3,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,1.0,262,17,154,87,258,4,0,AMPANGAN ,UNDI BIASA
3,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,2.0,443,31,231,168,430,13,0,AMPANGAN ,UNDI BIASA
3,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,3.0,427,44,186,193,423,4,0,AMPANGAN ,UNDI BIASA
3,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,4.0,414,40,179,195,414,0,0,AMPANGAN ,UNDI BIASA
4,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,1.0,274,26,172,74,272,2,0,KAMPONG GEDONG LALANG ,UNDI BIASA
4,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,2.0,606,43,299,255,597,9,0,KAMPONG GEDONG LALANG ,UNDI BIASA
4,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,3.0,562,74,233,250,557,5,0,KAMPONG GEDONG LALANG ,UNDI BIASA
4,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,4.0,553,64,194,295,553,0,0,KAMPONG GEDONG LALANG ,UNDI BIASA
4,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,5.0,577,62,192,320,574,3,0,KAMPONG GEDONG LALANG ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,1.0,251,12,134,96,242,9,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,2.0,545,42,251,243,536,9,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,3.0,541,32,198,304,534,7,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,4.0,548,46,162,337,545,3,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,5.0,538,42,168,324,534,4,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
5,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,6.0,535,37,193,299,529,6,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
6,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,1.0,256,8,85,156,249,7,0,DUSUN NYIOR ,UNDI BIASA
6,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,2.0,519,10,157,343,510,9,0,DUSUN NYIOR ,UNDI BIASA
6,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,3.0,535,8,179,345,532,3,0,DUSUN NYIOR ,UNDI BIASA
6,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,4.0,509,25,174,309,508,1,0,DUSUN NYIOR ,UNDI BIASA
6,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,5.0,505,19,194,289,502,3,0,DUSUN NYIOR ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,1.0,279,34,172,69,275,4,0,KAMPONG JIBOI ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,2.0,499,31,272,185,488,11,0,KAMPONG JIBOI ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,3.0,487,46,258,177,481,6,0,KAMPONG JIBOI ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,4.0,469,42,233,194,469,0,0,KAMPONG JIBOI ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,5.0,461,44,237,179,460,1,0,KAMPONG JIBOI ,UNDI BIASA
7,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,6.0,467,48,209,207,464,3,0,KAMPONG JIBOI ,UNDI BIASA
