Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO HJ ISMAIL LASIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ROSLI BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASSAN BIN MOHAMED,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,245,132,51,16,199,17,29,UNDI POS,UNDI POS
2,129/15/01,SEKOLAH KEBANGSAAN TENGKEK,1.0,290,197,77,10,284,6,0,KAMPONG TENGKEK ,UNDI BIASA
2,129/15/01,SEKOLAH KEBANGSAAN TENGKEK,2.0,218,162,44,9,215,3,0,KAMPONG TENGKEK ,UNDI BIASA
3,129/15/02,SEKOLAH KEBANGSAAN TAPAK,1.0,342,190,121,26,337,5,0,KAMPONG TAPAK ,UNDI BIASA
4,129/15/03,BALAI RAYA KAMPUNG SUNGAI JELUTONG,1.0,187,108,67,12,187,0,0,KAMPONG SUNGAI JELUTONG ,UNDI BIASA
5,129/15/04,SEKOLAH KEBANGSAAN PADANG LEBAR,1.0,280,181,76,18,275,5,0,KAMPONG PADANG LEBAR ,UNDI BIASA
5,129/15/04,SEKOLAH KEBANGSAAN PADANG LEBAR,2.0,307,159,101,45,305,2,0,KAMPONG PADANG LEBAR ,UNDI BIASA
6,129/15/05,BALAI RAYA KAMPUNG TERENTANG,1.0,401,263,102,31,396,5,0,KAMPONG TERENTANG ,UNDI BIASA
7,129/15/06,SEKOLAH KEBANGSAAN JUASSEH TENGAH,1.0,294,197,76,12,285,9,0,JUASSEH TENGAH ,UNDI BIASA
7,129/15/06,SEKOLAH KEBANGSAAN JUASSEH TENGAH,2.0,441,220,172,45,437,4,0,JUASSEH TENGAH ,UNDI BIASA
8,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,1.0,292,99,176,8,283,9,0,BUKIT GELUGOR ,UNDI BIASA
8,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,2.0,535,166,329,29,524,11,0,BUKIT GELUGOR ,UNDI BIASA
8,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,3.0,518,141,339,35,515,3,0,BUKIT GELUGOR ,UNDI BIASA
9,129/15/08,BALAI RAYA KAMPUNG TERUSAN,1.0,390,212,143,30,385,5,0,KAMPONG TERUSAN ,UNDI BIASA
10,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,1.0,280,137,120,18,275,5,0,PEKAN JUASSEH ,UNDI BIASA
10,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,2.0,444,156,254,29,439,5,0,PEKAN JUASSEH ,UNDI BIASA
10,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,3.0,422,122,258,41,421,1,0,PEKAN JUASSEH ,UNDI BIASA
11,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,1.0,273,184,65,17,266,7,0,PELANGAI ,UNDI BIASA
11,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,2.0,445,263,140,38,441,4,0,PELANGAI ,UNDI BIASA
11,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,3.0,393,168,176,41,385,8,0,PELANGAI ,UNDI BIASA
11,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,4.0,398,186,162,49,397,1,0,PELANGAI ,UNDI BIASA
12,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,1.0,270,168,88,9,265,5,0,KAMPONG GENTAM ,UNDI BIASA
12,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,2.0,371,199,138,22,359,12,0,KAMPONG GENTAM ,UNDI BIASA
12,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,3.0,352,136,179,34,349,3,0,KAMPONG GENTAM ,UNDI BIASA
