Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO ABD SAMAD BIN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JAMALI BIN SALAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,163,10,87,34,131,9,23,UNDI POS,UNDI POS
2,129/16/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK A,1.0,23,1,17,5,23,0,0,UNDI AWAL,UNDI AWAL
3,129/16/01,BALAI RAYA KAMPUNG LANGKAP,1.0,251,3,205,38,246,5,0,KAMPONG LANGKAP ,UNDI BIASA
4,129/16/02,SEKOLAH KEBANGSAAN ULU BENDOL,1.0,298,18,161,108,287,11,0,KAMPONG ULU BENDOL ,UNDI BIASA
4,129/16/02,SEKOLAH KEBANGSAAN ULU BENDOL,2.0,223,15,104,103,222,1,0,KAMPONG ULU BENDOL ,UNDI BIASA
5,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,1.0,286,15,149,89,253,33,0,TERACHI ,UNDI BIASA
5,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,2.0,439,21,193,222,436,3,0,TERACHI ,UNDI BIASA
5,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,3.0,412,37,161,214,412,0,0,TERACHI ,UNDI BIASA
6,129/16/04,SEKOLAH KEBANGSAAN TALANG,1.0,288,17,154,111,282,6,0,KAMPONG TALANG ,UNDI BIASA
6,129/16/04,SEKOLAH KEBANGSAAN TALANG,2.0,327,36,120,170,326,1,0,KAMPONG TALANG ,UNDI BIASA
7,129/16/05,SEKOLAH MENENGAH KEBANGSAAN DATO' ABDUL SAMAD,1.0,286,16,164,97,277,9,0,KAMPONG GEMETIR ,UNDI BIASA
7,129/16/05,SEKOLAH MENENGAH KEBANGSAAN DATO' ABDUL SAMAD,2.0,284,18,125,140,283,1,0,KAMPONG GEMETIR ,UNDI BIASA
8,129/16/06,BALAI RAYA KAMPUNG IBOL,1.0,520,28,255,231,514,6,0,KAMPONG IBOL ,UNDI BIASA
9,129/16/07,SEKOLAH KEBANGSAAN YAMTUAN LENGGANG,1.0,284,36,146,94,276,8,0,KAMPONG TENGAH ,UNDI BIASA
9,129/16/07,SEKOLAH KEBANGSAAN YAMTUAN LENGGANG,2.0,138,25,58,55,138,0,0,KAMPONG TENGAH ,UNDI BIASA
10,129/16/08,SEKOLAH KEBANGSAAN DATO' IDRIS,1.0,282,12,154,114,280,2,0,TANJONG IPOH ,UNDI BIASA
10,129/16/08,SEKOLAH KEBANGSAAN DATO' IDRIS,2.0,528,35,211,281,527,1,0,TANJONG IPOH ,UNDI BIASA
11,129/16/09,BALAI RAYA KAMPUNG GAMIN,1.0,292,31,158,101,290,2,0,KAMPUNG GAMIN ,UNDI BIASA
12,129/16/10,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,3.0,307,26,160,120,306,1,0,KAMPONG BUYAU ,UNDI BIASA
13,129/16/11,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,1.0,270,21,142,102,265,5,0,SRI MENANTI ,UNDI BIASA
13,129/16/11,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,2.0,231,31,89,111,231,0,0,SRI MENANTI ,UNDI BIASA
14,129/16/12,BALAI RAYA KAMPUNG SIKAI,1.0,286,43,140,96,279,7,0,KAMPUNG SIKAI ,UNDI BIASA
15,129/16/13,SEKOLAH KEBANGSAAN YAMTUAN ANTAH GUNUNG PASIR,1.0,382,40,209,131,380,2,0,GUNONG PASIR ,UNDI BIASA
