Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAIS BASIRON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO HJ ADNAN BIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FAZILAH ABU SAMAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,203,30,100,25,155,16,32,UNDI POS,UNDI POS
2,129/17/01,BALAI RAYA KAMPUNG TEMERIS,1.0,285,81,168,30,279,6,0,TEMARIS ,UNDI BIASA
3,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,1.0,342,32,280,21,333,9,0,FELDA KEPIS ,UNDI BIASA
3,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,2.0,532,93,377,58,528,4,0,FELDA KEPIS ,UNDI BIASA
3,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,3.0,465,121,277,66,464,1,0,FELDA KEPIS ,UNDI BIASA
4,129/17/03,SEKOLAH KEBANGSAAN REMBANG PANAS,1.0,291,52,202,27,281,10,0,REMBANG PANAS ,UNDI BIASA
4,129/17/03,SEKOLAH KEBANGSAAN REMBANG PANAS,2.0,434,145,203,85,433,1,0,REMBANG PANAS ,UNDI BIASA
5,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,1.0,282,51,198,24,273,9,0,KAMPONG SUNGAI DUA ,UNDI BIASA
5,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,2.0,297,91,165,36,292,4,1,KAMPONG SUNGAI DUA ,UNDI BIASA
5,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,3.0,283,102,144,36,282,1,0,KAMPONG SUNGAI DUA ,UNDI BIASA
6,129/17/05,BALAI RAYA TAMAN CITAJAYA,1.0,272,138,124,6,268,4,0,KAMPONG KUALA DIOH ,UNDI BIASA
6,129/17/05,BALAI RAYA TAMAN CITAJAYA,2.0,395,212,152,27,391,4,0,KAMPONG KUALA DIOH ,UNDI BIASA
6,129/17/05,BALAI RAYA TAMAN CITAJAYA,3.0,338,161,138,38,337,1,0,KAMPONG KUALA DIOH ,UNDI BIASA
7,129/17/06,DEWAN MINDA KAMPUNG SAWAH LEBAR,1.0,247,114,111,17,242,5,0,SAWAH LEBAR ,UNDI BIASA
8,129/17/07,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,2.0,263,149,94,8,251,12,0,KAMPONG DIOH ,UNDI BIASA
8,129/17/07,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,3.0,533,310,175,41,526,7,0,KAMPONG DIOH ,UNDI BIASA
9,129/17/08,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,1.0,309,206,87,13,306,3,0,TEBAT KERING ,UNDI BIASA
10,129/17/09,SEKOLAH KEBANGSAAN SENALING,1.0,293,120,157,8,285,8,0,SENALING ,UNDI BIASA
10,129/17/09,SEKOLAH KEBANGSAAN SENALING,2.0,312,139,162,9,310,2,0,SENALING ,UNDI BIASA
10,129/17/09,SEKOLAH KEBANGSAAN SENALING,3.0,302,137,142,23,302,0,0,SENALING ,UNDI BIASA
