Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD NAZARUDDIN BIN SABTU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO NORHAYATI BINTI OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,279,46,82,31,159,70,50,UNDI POS,UNDI POS
2,129/18/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK B,1.0,278,26,224,26,276,2,0,UNDI AWAL,UNDI AWAL
3,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,1.0,275,61,179,23,263,12,0,AMPANG TINGGI ,UNDI BIASA
3,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,2.0,422,142,206,67,415,6,1,AMPANG TINGGI ,UNDI BIASA
3,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,3.0,403,184,143,74,401,2,0,AMPANG TINGGI ,UNDI BIASA
4,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,1.0,274,79,159,28,266,6,2,KAMPONG PARIT ,UNDI BIASA
4,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,2.0,260,111,114,32,257,3,0,KAMPONG PARIT ,UNDI BIASA
4,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,3.0,247,101,101,44,246,1,0,KAMPONG PARIT ,UNDI BIASA
5,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,1.0,282,158,108,14,280,2,0,PEKAN LAMA ,UNDI BIASA
5,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,2.0,397,274,96,26,396,1,0,PEKAN LAMA ,UNDI BIASA
5,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,3.0,388,274,78,33,385,3,0,PEKAN LAMA ,UNDI BIASA
6,129/18/04,SEKOLAH KEBANGSAAN KUALA PILAH,4.0,231,176,40,12,228,3,0,TAMAN BUNGA ,UNDI BIASA
6,129/18/04,SEKOLAH KEBANGSAAN KUALA PILAH,5.0,288,216,46,23,285,3,0,TAMAN BUNGA ,UNDI BIASA
7,129/18/05,BALAI RAYA KAMPUNG MELANG,1.0,101,52,37,8,97,4,0,KAMPONG GEMUROH ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,1.0,239,127,100,9,236,3,0,KAMPONG JAWA ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,2.0,543,321,190,26,537,6,0,KAMPONG JAWA ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,3.0,547,339,154,49,542,5,0,KAMPONG JAWA ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,4.0,516,363,119,30,512,4,0,KAMPONG JAWA ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,5.0,512,359,108,43,510,2,0,KAMPONG JAWA ,UNDI BIASA
8,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,6.0,525,323,138,63,524,1,0,KAMPONG JAWA ,UNDI BIASA
9,129/18/07,SEKOLAH MENENGAH KEBANGSAAN CHUNG HUA,1.0,336,304,25,5,334,2,0,JALAN YAM TUAN ,UNDI BIASA
10,129/18/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA KUALA PILAH,1.0,87,46,27,11,84,3,0,TENGKU BESAR ,UNDI BIASA
11,129/18/09,SEKOLAH MENENGAH KEBANGSAAN TUANKU MUHAMMAD,1.0,286,145,116,18,279,6,1,BUKIT TEMENSU ,UNDI BIASA
11,129/18/09,SEKOLAH MENENGAH KEBANGSAAN TUANKU MUHAMMAD,2.0,364,197,113,51,361,3,0,BUKIT TEMENSU ,UNDI BIASA
12,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,1.0,278,80,176,16,272,6,0,BATANG PILAH ,UNDI BIASA
12,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,2.0,585,284,217,76,577,8,0,BATANG PILAH ,UNDI BIASA
12,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,3.0,515,286,150,78,514,1,0,BATANG PILAH ,UNDI BIASA
12,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,4.0,523,281,151,86,518,5,0,BATANG PILAH ,UNDI BIASA
13,129/18/11,SEKOLAH KEBANGSAAN TANAH MELINTANG,1.0,421,131,206,76,413,8,0,KAMPONG GACHONG ,UNDI BIASA
14,129/18/12,SEKOLAH KEBANGSAAN SERI PILAH,1.0,292,72,122,89,283,9,0,SERI PILAH ,UNDI BIASA
14,129/18/12,SEKOLAH KEBANGSAAN SERI PILAH,2.0,447,85,112,246,443,4,0,SERI PILAH ,UNDI BIASA
