Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ SAIFUL YAZAN BIN SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULKEFLY OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI KAMARUDIN TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,155,82,21,16,119,36,0,UNDI POS,UNDI POS
2,129/19/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK C,1.0,18,14,2,2,18,0,0,UNDI AWAL,UNDI AWAL
3,129/19/01,SEKOLAH KEBANGSAAN KEPIS,1.0,289,209,46,19,274,15,0,KAMPONG KEPIS ,UNDI BIASA
3,129/19/01,SEKOLAH KEBANGSAAN KEPIS,2.0,411,221,158,30,409,2,0,KAMPONG KEPIS ,UNDI BIASA
4,129/19/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU KEPIS,1.0,383,138,189,34,361,21,1,MALAN BARU ,UNDI BIASA
5,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,1.0,291,100,169,14,283,8,0,DANGI ,UNDI BIASA
5,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,2.0,361,118,220,13,351,10,0,DANGI ,UNDI BIASA
5,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,3.0,384,81,275,26,382,2,0,DANGI ,UNDI BIASA
6,129/19/04,SEKOLAH KEBANGSAAN DANGI,1.0,284,150,93,24,267,17,0,KAMPUNG SELARU ,UNDI BIASA
6,129/19/04,SEKOLAH KEBANGSAAN DANGI,2.0,386,206,130,44,380,6,0,KAMPUNG SELARU ,UNDI BIASA
6,129/19/04,SEKOLAH KEBANGSAAN DANGI,3.0,381,150,174,55,379,2,0,KAMPUNG SELARU ,UNDI BIASA
7,129/19/05,SEKOLAH KEBANGSAAN INAS,1.0,280,177,41,33,251,29,0,INAS ,UNDI BIASA
7,129/19/05,SEKOLAH KEBANGSAAN INAS,2.0,455,252,110,81,443,12,0,INAS ,UNDI BIASA
7,129/19/05,SEKOLAH KEBANGSAAN INAS,3.0,413,209,120,81,410,3,0,INAS ,UNDI BIASA
8,129/19/06,BALAI RAYA KAMPUNG PADANG JUAL JOHOL,1.0,196,123,43,25,191,5,0,KAMPONG PADANG JUAL ,UNDI BIASA
9,129/19/07,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI JOHOL,1.0,346,113,181,46,340,6,0,PEKAN JOHOL ,UNDI BIASA
10,129/19/08,SEKOLAH KEBANGSAAN UNDANG JOHOL,1.0,293,182,57,40,279,13,1,KUALA JOHOL ,UNDI BIASA
10,129/19/08,SEKOLAH KEBANGSAAN UNDANG JOHOL,2.0,507,253,143,106,502,5,0,KUALA JOHOL ,UNDI BIASA
11,129/19/09,SEKOLAH MENENGAH KEBANGSAAN DATUK UNDANG ABDUL MANAP,1.0,297,190,51,45,286,11,0,KAMPUNG NURI ,UNDI BIASA
11,129/19/09,SEKOLAH MENENGAH KEBANGSAAN DATUK UNDANG ABDUL MANAP,2.0,473,193,153,126,472,1,0,KAMPUNG NURI ,UNDI BIASA
12,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,1.0,273,157,74,27,258,15,0,AYER MAWANG ,UNDI BIASA
12,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,2.0,440,240,160,36,436,4,0,AYER MAWANG ,UNDI BIASA
12,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,3.0,421,178,173,66,417,4,0,AYER MAWANG ,UNDI BIASA
12,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,4.0,413,171,159,80,410,3,0,AYER MAWANG ,UNDI BIASA
