Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ISMAIL BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASIM BIN RUSDI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,232,25,29,99,0,153,25,54,UNDI POS,UNDI POS
2,130/20/00,DEWAN ACACIA IPD SEREMBAN BILIK A,1.0,16,1,2,13,0,16,0,0,UNDI AWAL,UNDI AWAL
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,1.0,264,39,94,119,3,255,9,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,2.0,587,110,250,225,0,585,2,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,3.0,595,133,248,203,1,585,10,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,4.0,568,142,245,173,2,562,6,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,5.0,555,135,250,162,0,547,3,5,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,6.0,562,81,307,162,5,555,7,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,7.0,523,96,308,113,3,520,3,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,8.0,517,106,303,105,1,515,2,0,JIJAN ,UNDI BIASA
3,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,9.0,556,137,281,138,0,556,0,0,JIJAN ,UNDI BIASA
4,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,1.0,290,27,71,186,2,286,4,0,KAMPONG KONDOK ,UNDI BIASA
4,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,2.0,564,86,197,273,0,556,8,0,KAMPONG KONDOK ,UNDI BIASA
4,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,3.0,545,85,211,246,0,542,3,0,KAMPONG KONDOK ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,1.0,261,9,106,136,2,253,8,0,TIROI ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,2.0,513,29,243,227,1,500,13,0,TIROI ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,3.0,529,28,288,204,1,521,8,0,TIROI ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,4.0,513,46,299,159,0,504,9,0,TIROI ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,5.0,482,35,311,129,3,478,4,0,TIROI ,UNDI BIASA
5,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,6.0,483,42,273,167,0,482,1,0,TIROI ,UNDI BIASA
6,130/20/04,SEKOLAH KEBANGSAAN LABU,1.0,246,16,103,120,4,243,3,0,LABU ,UNDI BIASA
6,130/20/04,SEKOLAH KEBANGSAAN LABU,2.0,513,28,205,257,1,491,22,0,LABU ,UNDI BIASA
6,130/20/04,SEKOLAH KEBANGSAAN LABU,3.0,514,58,221,221,2,502,12,0,LABU ,UNDI BIASA
6,130/20/04,SEKOLAH KEBANGSAAN LABU,4.0,482,55,241,176,4,476,6,0,LABU ,UNDI BIASA
6,130/20/04,SEKOLAH KEBANGSAAN LABU,5.0,493,48,237,205,2,492,1,0,LABU ,UNDI BIASA
7,130/20/05,SEKOLAH KEBANGSAAN L B JOHNSON,1.0,279,27,87,157,0,271,8,0,LABU JAYA ,UNDI BIASA
7,130/20/05,SEKOLAH KEBANGSAAN L B JOHNSON,2.0,458,49,177,221,0,447,11,0,LABU JAYA ,UNDI BIASA
7,130/20/05,SEKOLAH KEBANGSAAN L B JOHNSON,3.0,464,78,168,169,0,415,49,0,LABU JAYA ,UNDI BIASA
7,130/20/05,SEKOLAH KEBANGSAAN L B JOHNSON,4.0,448,84,182,173,0,439,9,0,LABU JAYA ,UNDI BIASA
7,130/20/05,SEKOLAH KEBANGSAAN L B JOHNSON,5.0,438,71,201,164,0,436,2,0,LABU JAYA ,UNDI BIASA
8,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,1.0,303,21,102,166,2,291,12,0,KAMPUNG GADONG JAYA ,UNDI BIASA
8,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,2.0,422,52,134,230,4,420,2,0,KAMPUNG GADONG JAYA ,UNDI BIASA
8,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,3.0,391,68,166,155,0,389,2,0,KAMPUNG GADONG JAYA ,UNDI BIASA
8,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,4.0,400,46,172,177,3,398,2,0,KAMPUNG GADONG JAYA ,UNDI BIASA
