Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAK KAH KEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NICOLE TAN LEE KOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,266,96,77,173,16,77,UNDI POS,UNDI POS
2,130/21/00,DEWAN ACACIA IPD SEREMBAN BILIK B,1.0,477,403,51,454,23,0,UNDI AWAL,UNDI AWAL
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,1.0,281,56,222,278,3,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,2.0,540,131,405,536,4,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,3.0,545,90,452,542,3,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,4.0,535,55,476,531,4,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,5.0,516,79,430,509,7,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,6.0,504,77,425,502,2,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,7.0,526,62,463,525,1,0,BUKIT KEPAYANG ,UNDI BIASA
3,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,8.0,582,96,486,582,0,0,BUKIT KEPAYANG ,UNDI BIASA
