Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MARY JOSEPHINE PRITTAM SINGH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YAP SIOK MOY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SARASWATHY A/P PARAGAZUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,416,99,238,3,340,64,12,UNDI POS,UNDI POS
2,130/22/00,DEWAN ACACIA IPD SEREMBAN BILIK C,1.0,39,3,36,0,39,0,0,UNDI AWAL ,UNDI AWAL
2,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,1.0,312,85,215,0,300,12,0,UNDI AWAL ,UNDI AWAL
2,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,2.0,316,69,233,1,303,13,0,UNDI AWAL ,UNDI AWAL
2,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,3.0,304,64,220,1,285,19,0,UNDI AWAL ,UNDI AWAL
2,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,4.0,247,47,184,3,234,13,0,UNDI AWAL ,UNDI AWAL
3,130/22/01,SEKOLAH MENENGAH KEBANGSAAN KING GEORGE V,1.0,403,350,46,1,397,6,0,RAHANG ,UNDI BIASA
4,130/22/02,SEKOLAH KEBANGSAAN RAHANG,1.0,228,198,25,1,224,4,0,RAHANG TIMOR ,UNDI BIASA
4,130/22/02,SEKOLAH KEBANGSAAN RAHANG,2.0,379,340,36,1,377,2,0,RAHANG TIMOR ,UNDI BIASA
4,130/22/02,SEKOLAH KEBANGSAAN RAHANG,3.0,386,330,49,3,382,4,0,RAHANG TIMOR ,UNDI BIASA
5,130/22/03,SEKOLAH JENIS KEBANGSAAN (CINA) KELPIN SEREMBAN,1.0,433,381,44,0,425,7,1,PEKAN RAHANG ,UNDI BIASA
6,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,1.0,194,141,42,5,188,6,0,PEKAN RASAH ,UNDI BIASA
6,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,2.0,417,315,94,5,414,3,0,PEKAN RASAH ,UNDI BIASA
6,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,3.0,420,340,76,3,419,1,0,PEKAN RASAH ,UNDI BIASA
6,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,4.0,431,360,68,1,429,2,0,PEKAN RASAH ,UNDI BIASA
6,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,5.0,450,376,71,1,448,2,0,PEKAN RASAH ,UNDI BIASA
