Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MASITA BINTI MOHAMED ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD GHAZALI BIN ABD WAHID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI TAUFEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,789,54,353,168,575,46,168,UNDI POS,UNDI POS
2,131/25/00,BALAI POLIS SENAWANG,1.0,108,5,96,6,107,1,0,UNDI AWAL ,UNDI AWAL
2,131/25/00,15 RAMD KEM SENAWANG,1.0,269,86,130,46,262,7,0,UNDI AWAL ,UNDI AWAL
2,131/25/00,15 RAMD KEM SENAWANG,2.0,220,44,126,49,219,1,0,UNDI AWAL ,UNDI AWAL
3,131/25/01,SEKOLAH KEBANGSAAN PAROI,1.0,302,22,141,131,294,8,0,PAROI ,UNDI BIASA
3,131/25/01,SEKOLAH KEBANGSAAN PAROI,2.0,440,44,161,234,439,1,0,PAROI ,UNDI BIASA
3,131/25/01,SEKOLAH KEBANGSAAN PAROI,3.0,416,51,151,212,414,2,0,PAROI ,UNDI BIASA
3,131/25/01,SEKOLAH KEBANGSAAN PAROI,4.0,417,44,134,239,417,0,0,PAROI ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,1.0,317,17,214,82,313,4,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,2.0,614,65,324,216,605,9,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,3.0,601,83,257,255,595,6,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,4.0,567,98,192,275,565,2,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,5.0,533,74,199,257,530,3,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,6.0,532,68,215,248,531,0,1,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,7.0,553,69,219,263,551,2,0,TAMAN SATRIA ,UNDI BIASA
4,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,8.0,563,71,203,280,554,9,0,TAMAN SATRIA ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,1.0,293,13,172,102,287,6,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,2.0,583,42,301,237,580,3,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,3.0,571,54,199,315,568,3,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,4.0,541,54,163,323,540,1,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,5.0,490,72,165,252,489,1,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,6.0,501,83,154,263,500,0,1,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,7.0,494,67,150,276,493,1,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
5,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,8.0,543,72,162,309,543,0,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
6,131/25/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SEREMBAN,1.0,277,7,88,162,257,20,0,TAMAN SRI PERMATA ,UNDI BIASA
6,131/25/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SEREMBAN,2.0,594,5,120,449,574,20,0,TAMAN SRI PERMATA ,UNDI BIASA
7,131/25/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG KOMBOK,1.0,257,6,73,171,250,7,0,KOMBOK ,UNDI BIASA
7,131/25/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG KOMBOK,2.0,272,4,67,199,270,2,0,KOMBOK ,UNDI BIASA
8,131/25/06,SEKOLAH KEBANGSAAN TAMAN TASIK JAYA,1.0,308,35,177,93,305,3,0,TAMAN TASIK JAYA ,UNDI BIASA
8,131/25/06,SEKOLAH KEBANGSAAN TAMAN TASIK JAYA,2.0,572,62,288,216,566,5,1,TAMAN TASIK JAYA ,UNDI BIASA
