Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ROSMIN ADAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAIFULBAHRI BIN IDRIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZIZAN MARZUKI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,394,32,248,42,322,27,45,UNDI POS,UNDI POS
2,131/26/00,"DEWAN SERBAGUNA IPD REMBAU, BILIK A",1.0,265,16,229,20,265,0,0,UNDI AWAL,UNDI AWAL
3,131/26/01,DEWAN ORANG RAMAI PEDAS,1.0,458,16,180,242,438,20,0,ULU PEDAS ,UNDI BIASA
4,131/26/02,SEKOLAH KEBANGSAAN SEPRI,1.0,291,10,241,36,287,4,0,SEPRI ,UNDI BIASA
4,131/26/02,SEKOLAH KEBANGSAAN SEPRI,2.0,347,32,216,98,346,1,0,SEPRI ,UNDI BIASA
5,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,1.0,291,22,221,42,285,6,0,KAMPONG RENDAH ,UNDI BIASA
5,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,2.0,356,38,247,71,356,0,0,KAMPONG RENDAH ,UNDI BIASA
5,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,3.0,323,31,214,75,320,3,0,KAMPONG RENDAH ,UNDI BIASA
6,131/26/04,SEKOLAH KEBANGSAAN TAMAN SERI REMBAU,1.0,300,27,232,40,299,1,0,KAMPONG SENAMA ULU ,UNDI BIASA
6,131/26/04,SEKOLAH KEBANGSAAN TAMAN SERI REMBAU,2.0,407,54,244,108,406,1,0,KAMPONG SENAMA ULU ,UNDI BIASA
7,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,1.0,279,11,174,74,259,20,0,CHEMBONG ,UNDI BIASA
7,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,2.0,487,33,266,182,481,6,0,CHEMBONG ,UNDI BIASA
7,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,3.0,462,54,217,184,455,7,0,CHEMBONG ,UNDI BIASA
7,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,4.0,442,48,189,205,442,0,0,CHEMBONG ,UNDI BIASA
7,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,5.0,439,39,226,165,430,9,0,CHEMBONG ,UNDI BIASA
8,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,1.0,276,8,173,82,263,13,0,PEKAN PEDAS ,UNDI BIASA
8,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,2.0,590,28,310,241,579,11,0,PEKAN PEDAS ,UNDI BIASA
8,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,3.0,553,33,228,291,552,1,0,PEKAN PEDAS ,UNDI BIASA
8,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,4.0,511,35,216,257,508,3,0,PEKAN PEDAS ,UNDI BIASA
9,131/26/07,SEKOLAH KEBANGSAAN PEDAS,1.0,350,12,225,56,293,6,51,KAMPONG PEDAS TENGAH ,UNDI BIASA
9,131/26/07,SEKOLAH KEBANGSAAN PEDAS,2.0,476,42,316,111,469,5,2,KAMPONG PEDAS TENGAH ,UNDI BIASA
9,131/26/07,SEKOLAH KEBANGSAAN PEDAS,3.0,456,43,266,145,454,2,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
9,131/26/07,SEKOLAH KEBANGSAAN PEDAS,4.0,423,52,252,119,423,0,0,KAMPONG PEDAS TENGAH ,UNDI BIASA
10,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,1.0,255,10,176,59,245,10,0,PEKAN REMBAU ,UNDI BIASA
10,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,2.0,516,28,319,160,507,9,0,PEKAN REMBAU ,UNDI BIASA
10,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,3.0,513,65,296,150,511,2,0,PEKAN REMBAU ,UNDI BIASA
10,131/26/08,SEKOLAH MENENGAH KEBANGSAAN UNDANG REMBAU,4.0,483,51,256,174,481,2,0,PEKAN REMBAU ,UNDI BIASA
