Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUN HAIRUDIN BIN ABU BAKAR @ DON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD IBRAHIM KHAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,410,251,65,316,46,48,UNDI POS,UNDI POS
2,132/31/00,"BILIK SERI PINANG, BLOK MAWAR IPD PORT DICKSON",1.0,82,69,11,80,2,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",1.0,439,284,126,410,29,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",2.0,436,286,134,420,16,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",3.0,447,293,146,439,8,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",4.0,437,277,151,428,9,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",5.0,436,290,129,419,17,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",6.0,392,267,115,382,9,1,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",7.0,345,252,90,342,3,0,UNDI AWAL ,UNDI AWAL
2,132/31/00,"HANGAR PUSASDA, PORT DICKSON",8.0,382,280,94,374,8,0,UNDI AWAL ,UNDI AWAL
3,132/31/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ATHERTON,1.0,287,72,210,282,5,0,LADANG ATHERTON ,UNDI BIASA
4,132/31/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SILIAU,1.0,350,79,170,249,8,93,PEKAN SILIAU ,UNDI BIASA
4,132/31/02,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SILIAU,2.0,176,39,135,174,2,0,PEKAN SILIAU ,UNDI BIASA
5,132/31/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG BRADWALL,1.0,279,91,179,270,9,0,LADANG BRADWALL ,UNDI BIASA
6,132/31/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SUA BETONG,1.0,231,75,148,223,8,0,SUA BETONG ,UNDI BIASA
6,132/31/04,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SUA BETONG,2.0,298,64,230,294,4,0,SUA BETONG ,UNDI BIASA
7,132/31/05,SEKOLAH KEBANGSAAN SI-RUSA,1.0,194,93,99,192,2,0,SUNGGALA ,UNDI BIASA
8,132/31/06,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,1.0,287,195,86,281,6,0,KAMPONG BAGAN PINANG ,UNDI BIASA
8,132/31/06,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,2.0,481,314,161,475,6,0,KAMPONG BAGAN PINANG ,UNDI BIASA
8,132/31/06,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,3.0,447,240,204,444,3,0,KAMPONG BAGAN PINANG ,UNDI BIASA
8,132/31/06,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,4.0,440,234,206,440,0,0,KAMPONG BAGAN PINANG ,UNDI BIASA
8,132/31/06,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,5.0,434,264,169,433,1,0,KAMPONG BAGAN PINANG ,UNDI BIASA
9,132/31/07,SEKOLAH KEBANGSAAN KAMPUNG BARU SIRUSA,1.0,263,189,73,262,1,0,SI RUSA ,UNDI BIASA
9,132/31/07,SEKOLAH KEBANGSAAN KAMPUNG BARU SIRUSA,2.0,490,337,146,483,7,0,SI RUSA ,UNDI BIASA
9,132/31/07,SEKOLAH KEBANGSAAN KAMPUNG BARU SIRUSA,3.0,458,256,190,446,12,0,SI RUSA ,UNDI BIASA
9,132/31/07,SEKOLAH KEBANGSAAN KAMPUNG BARU SIRUSA,4.0,443,254,184,438,5,0,SI RUSA ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,1.0,251,124,121,245,6,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,2.0,549,288,251,539,10,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,3.0,563,344,216,560,3,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,4.0,545,313,226,539,6,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,5.0,520,258,258,516,4,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,6.0,482,212,264,476,6,0,TELOK KEMANG ,UNDI BIASA
10,132/31/08,SEKOLAH KEBANGSAAN TELOK KEMANG,7.0,493,262,224,486,6,1,TELOK KEMANG ,UNDI BIASA
