Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ. ABDUL RAHMAN MOHD REDZA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RIZAL ISHAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RUSLI BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,231,132,15,31,178,7,46,UNDI POS,UNDI POS
2,132/32/00,IPD PORT DICKSON KHEMAH C,1.0,30,27,0,2,29,1,0,UNDI AWAL ,UNDI AWAL
2,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,1.0,528,269,99,150,518,10,0,UNDI AWAL ,UNDI AWAL
2,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,2.0,523,288,124,105,517,6,0,UNDI AWAL ,UNDI AWAL
2,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,3.0,436,255,69,100,424,12,0,UNDI AWAL ,UNDI AWAL
3,132/32/01,BALAI RAYA LADANG LEONG HIN SAN,1.0,284,96,5,174,275,9,0,AYER KUNING ,UNDI BIASA
3,132/32/01,BALAI RAYA LADANG LEONG HIN SAN,2.0,389,111,2,274,387,2,0,AYER KUNING ,UNDI BIASA
4,132/32/02,SEKOLAH KEBANGSAAN LINGGI,1.0,259,136,5,78,219,40,0,LINGGI ,UNDI BIASA
4,132/32/02,SEKOLAH KEBANGSAAN LINGGI,2.0,437,226,20,186,432,4,1,LINGGI ,UNDI BIASA
4,132/32/02,SEKOLAH KEBANGSAAN LINGGI,3.0,451,241,31,178,450,1,0,LINGGI ,UNDI BIASA
