Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ISHAK BIN MAASIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD ISAM BIN MOHD ISA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SAIFUL ADLY BIN ABD WAHAB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,316,24,150,51,225,21,70,UNDI POS,UNDI POS
2,133/35/00,DEWAN KECIL BALAI POLIS GEMAS,1.0,22,3,18,1,22,0,0,UNDI AWAL,UNDI AWAL
3,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',1.0,290,25,229,28,282,8,0,SUNGAI KELAMAH ,UNDI BIASA
3,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',2.0,495,66,335,86,487,8,0,SUNGAI KELAMAH ,UNDI BIASA
3,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',3.0,457,103,238,113,454,3,0,SUNGAI KELAMAH ,UNDI BIASA
4,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,1.0,276,5,161,105,271,5,0,GEMENCHEH LAMA ,UNDI BIASA
4,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,2.0,436,18,232,183,433,3,0,GEMENCHEH LAMA ,UNDI BIASA
4,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,3.0,414,29,143,239,411,3,0,GEMENCHEH LAMA ,UNDI BIASA
4,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,4.0,395,20,134,241,395,0,0,GEMENCHEH LAMA ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,1.0,276,9,111,148,268,8,0,GEMENCHEH BAHRU ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,2.0,604,17,188,387,592,12,0,GEMENCHEH BAHRU ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,3.0,568,17,175,370,562,6,0,GEMENCHEH BAHRU ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,4.0,508,22,101,380,503,5,0,GEMENCHEH BAHRU ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,5.0,547,20,100,424,544,3,0,GEMENCHEH BAHRU ,UNDI BIASA
5,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,6.0,532,28,124,373,525,7,0,GEMENCHEH BAHRU ,UNDI BIASA
6,133/35/04,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU GEDOK,1.0,444,8,145,278,431,13,0,KAMPONG BAHRU GEDOK ,UNDI BIASA
7,133/35/05,SEKOLAH KEBANGSAAN GEDOK,1.0,290,13,217,59,289,1,0,GEDOK ,UNDI BIASA
7,133/35/05,SEKOLAH KEBANGSAAN GEDOK,2.0,502,54,280,154,488,14,0,GEDOK ,UNDI BIASA
8,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,1.0,270,4,113,140,257,13,0,AYER KUNING SELATAN ,UNDI BIASA
8,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,2.0,453,8,175,267,450,3,0,AYER KUNING SELATAN ,UNDI BIASA
8,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,3.0,432,10,117,302,429,3,0,AYER KUNING SELATAN ,UNDI BIASA
9,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,1.0,284,15,225,27,267,17,0,BUKIT JALOR ,UNDI BIASA
9,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,2.0,438,48,283,99,430,8,0,BUKIT JALOR ,UNDI BIASA
9,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,3.0,395,57,218,120,395,0,0,BUKIT JALOR ,UNDI BIASA
10,133/35/08,SEKOLAH KEBANGSAAN AIR KUNING SELATAN,1.0,480,28,259,181,468,12,0,KAMPONG TENGAH ,UNDI BIASA
11,133/35/09,BALAI RAYA KAMPUNG MANTAI,1.0,117,9,61,44,114,3,0,KAMPUNG MANTAI ,UNDI BIASA
12,133/35/10,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG REGENT,1.0,385,6,96,267,369,16,0,LADANG REGENT ,UNDI BIASA
13,133/35/11,BALAI RAYA KAMPONG PUNGGOR BATANG MELAKA,1.0,482,8,139,322,469,13,0,PEKAN BATANG MELAKA ,UNDI BIASA
14,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,1.0,292,20,216,47,283,9,0,BUKIT ROKAN UTARA ,UNDI BIASA
14,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,2.0,444,43,309,86,438,6,0,BUKIT ROKAN UTARA ,UNDI BIASA
