Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1632,639,279,205,1123,185,324,UNDI POS,UNDI POS
2,128/09/00,"DATARAN IPD NILAI (BALAI POLIS MANTIN), KHEMAH A",1.0,55,45,6,4,55,0,0,UNDI AWAL ,UNDI AWAL
3,128/10/00,"DATARAN IPD NILAI (BALAI POLIS MANTIN), KHEMAH B",1.0,370,289,31,45,365,5,0,UNDI AWAL ,UNDI AWAL
3,128/10/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH C",1.0,35,18,6,10,34,1,0,UNDI AWAL ,UNDI AWAL
4,128/12/00,"DEWAN UNIT 7 PASUKAN SIMPANAN PERSEKUTUAN, IPK SEREMBAN",1.0,525,410,48,55,513,12,0,UNDI AWAL ,UNDI AWAL
4,128/12/00,"DEWAN UNIT 7 PASUKAN SIMPANAN PERSEKUTUAN, IPK SEREMBAN",2.0,531,411,63,55,529,2,0,UNDI AWAL ,UNDI AWAL
4,128/12/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH  A",1.0,1,0,1,0,1,0,0,UNDI AWAL ,UNDI AWAL
5,128/13/00,BALAI POLIS SIKAMAT,1.0,70,60,3,5,68,2,0,UNDI AWAL ,UNDI AWAL
5,128/13/00,"GARAJ MT KEM 4 RAD SIKAMAT, KHEMAH B",1.0,54,21,24,8,53,1,0,UNDI AWAL ,UNDI AWAL
6,128/09/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BROGA,1.0,304,101,9,187,297,7,0,PEKAN BROGA ,UNDI BIASA
