Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG KIAN NAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHA KEE CHIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1330,298,415,0,229,942,110,278,UNDI POS,UNDI POS
2,130/20/00,DEWAN ACACIA IPD SEREMBAN BILIK A,1.0,16,2,12,0,2,16,0,0,UNDI AWAL ,UNDI AWAL
3,130/21/00,DEWAN ACACIA IPD SEREMBAN BILIK B,1.0,477,55,371,1,44,471,6,0,UNDI AWAL ,UNDI AWAL
4,130/22/00,DEWAN ACACIA IPD SEREMBAN BILIK C,1.0,39,2,35,0,2,39,0,0,UNDI AWAL ,UNDI AWAL
4,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,1.0,312,94,173,1,37,305,7,0,UNDI AWAL ,UNDI AWAL
4,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,2.0,316,87,192,0,34,313,3,0,UNDI AWAL ,UNDI AWAL
4,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,3.0,304,86,178,0,34,298,6,0,UNDI AWAL ,UNDI AWAL
4,130/22/00,GARAJ MT KEM 1 BRIGED RASAH,4.0,247,93,127,0,25,245,2,0,UNDI AWAL ,UNDI AWAL
5,130/23/00,DEWAN ACACIA IPD SEREMBAN BILIK D,1.0,17,0,16,0,1,17,0,0,UNDI AWAL ,UNDI AWAL
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,1.0,264,44,120,2,92,258,6,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,2.0,587,169,183,2,227,581,6,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,3.0,595,188,168,1,226,583,12,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,4.0,568,215,132,0,216,563,5,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,5.0,555,192,123,0,231,546,4,5,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,6.0,562,136,120,3,297,556,6,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,7.0,523,164,82,3,271,520,3,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,8.0,517,165,88,2,261,516,1,0,JIJAN ,UNDI BIASA
6,130/20/01,SEKOLAH KEBANGSAAN DATO' AHMAD MANAF,9.0,556,185,116,1,253,555,1,0,JIJAN ,UNDI BIASA
7,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,1.0,290,43,168,2,75,288,2,0,KAMPONG KONDOK ,UNDI BIASA
7,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,2.0,564,154,212,1,189,556,8,0,KAMPONG KONDOK ,UNDI BIASA
7,130/20/02,SEKOLAH KEBANGSAAN DATO' SHAH BANDAR ABU BAKAR LABU HILIR,3.0,545,153,176,0,213,542,3,0,KAMPONG KONDOK ,UNDI BIASA
8,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,1.0,261,11,132,3,103,249,12,0,TIROI ,UNDI BIASA
8,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,2.0,513,52,207,4,235,498,15,0,TIROI ,UNDI BIASA
8,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,3.0,529,69,179,2,270,520,8,1,TIROI ,UNDI BIASA
8,130/20/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BT 8 LABU,4.0,513,114,115,0,276,505,8,0,TIROI ,UNDI BIASA
