Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRY JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LT KOL ROSELI BIN ABDUL GANI (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1792,109,1015,259,1383,104,305,UNDI POS,UNDI POS
2,131/25/00,BALAI POLIS SENAWANG,1.0,108,2,93,10,105,3,0,UNDI AWAL ,UNDI AWAL
2,131/25/00,15 RAMD KEM SENAWANG,1.0,269,72,147,45,264,5,0,UNDI AWAL ,UNDI AWAL
2,131/25/00,15 RAMD KEM SENAWANG,2.0,220,37,139,43,219,1,0,UNDI AWAL ,UNDI AWAL
3,131/26/00,"DEWAN SERBAGUNA IPD REMBAU, BILIK A",1.0,265,14,226,24,264,1,0,UNDI AWAL ,UNDI AWAL
4,131/27/00,BALAI POLIS RANTAU,1.0,30,0,28,2,30,0,0,UNDI AWAL ,UNDI AWAL
5,131/28/00,"DEWAN SERBAGUNA IPD REMBAU, BILIK B",1.0,16,1,14,1,16,0,0,UNDI AWAL ,UNDI AWAL
6,131/25/01,SEKOLAH KEBANGSAAN PAROI,1.0,302,17,148,127,292,10,0,PAROI ,UNDI BIASA
6,131/25/01,SEKOLAH KEBANGSAAN PAROI,2.0,440,36,177,225,438,2,0,PAROI ,UNDI BIASA
6,131/25/01,SEKOLAH KEBANGSAAN PAROI,3.0,416,37,168,208,413,3,0,PAROI ,UNDI BIASA
6,131/25/01,SEKOLAH KEBANGSAAN PAROI,4.0,417,39,153,225,417,0,0,PAROI ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,1.0,317,18,218,76,312,5,0,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,2.0,614,59,334,210,603,10,1,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,3.0,601,72,275,248,595,6,0,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,4.0,567,95,209,260,564,3,0,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,5.0,533,69,230,231,530,3,0,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,6.0,532,59,259,212,530,1,1,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,7.0,553,65,240,245,550,3,0,TAMAN SATRIA ,UNDI BIASA
7,131/25/02,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,8.0,563,68,235,253,556,7,0,TAMAN SATRIA ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,1.0,293,12,167,99,278,15,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,2.0,583,33,318,228,579,4,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,3.0,571,44,216,309,569,2,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,4.0,541,53,179,308,540,1,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,5.0,490,50,187,252,489,1,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,6.0,501,59,193,249,501,0,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
8,131/25/03,SEKOLAH KEBANGSAAN TAMAN TUANKU JAAFAR,7.0,494,54,192,246,492,2,0,TAMAN TUANKU JAAFAR ,UNDI BIASA
