Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR HASAN BAHROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SHAZIMAN BIN ABU MANSOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1234,210,481,132,823,225,186,UNDI POS,UNDI POS
2,133/34/00,DEWAN BESAR BALAI POLIS GEMAS,1.0,30,1,28,1,30,0,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,1.0,508,108,291,101,500,8,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,2.0,498,99,269,119,487,11,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,3.0,525,112,228,176,516,9,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,4.0,517,81,260,167,508,9,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,5.0,510,92,303,111,506,4,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,6.0,446,99,249,92,440,6,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,7.0,437,64,241,114,419,18,0,UNDI AWAL ,UNDI AWAL
2,133/34/00,SEKOLAH KEBANGSAAN KEM SYED SIRAJUDDIN,8.0,454,69,260,122,451,3,0,UNDI AWAL ,UNDI AWAL
3,133/35/00,DEWAN KECIL BALAI POLIS GEMAS,1.0,22,1,18,3,22,0,0,UNDI AWAL ,UNDI AWAL
4,133/36/00,DEWAN SERBAGUNA IPD TAMPIN,1.0,310,23,271,12,306,4,0,UNDI AWAL ,UNDI AWAL
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,1.0,314,51,240,15,306,8,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,2.0,572,84,445,27,556,16,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,3.0,526,104,388,29,521,5,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,4.0,428,125,257,45,427,1,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,5.0,436,164,233,38,435,1,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,6.0,459,178,247,29,454,5,0,FELDA JELAI 1 & 3 ,UNDI BIASA
5,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,7.0,471,184,245,39,468,2,1,FELDA JELAI 1 & 3 ,UNDI BIASA
6,133/34/02,BALAI RAYA KAMPUNG PASIR BESAR GEMAS,1.0,494,165,277,46,488,6,0,PASIR BESAR ,UNDI BIASA
7,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,1.0,261,23,201,30,254,7,0,FELDA PASIR BESAR ,UNDI BIASA
7,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,2.0,528,106,298,113,517,11,0,FELDA PASIR BESAR ,UNDI BIASA
7,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,3.0,470,148,200,119,467,3,0,FELDA PASIR BESAR ,UNDI BIASA
8,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,1.0,305,42,221,35,298,7,0,KAMPONG LADANG ,UNDI BIASA
8,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,2.0,368,87,232,48,367,1,0,KAMPONG LADANG ,UNDI BIASA
8,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,3.0,351,117,172,60,349,2,0,KAMPONG LADANG ,UNDI BIASA
9,133/34/05,SEKOLAH KEBANGSAAN GEMAS,1.0,193,117,59,8,184,9,0,PEKAN GEMAS ,UNDI BIASA
9,133/34/05,SEKOLAH KEBANGSAAN GEMAS,2.0,434,277,131,19,427,7,0,PEKAN GEMAS ,UNDI BIASA
9,133/34/05,SEKOLAH KEBANGSAAN GEMAS,3.0,411,267,125,16,408,3,0,PEKAN GEMAS ,UNDI BIASA
9,133/34/05,SEKOLAH KEBANGSAAN GEMAS,4.0,398,291,82,25,398,0,0,PEKAN GEMAS ,UNDI BIASA
9,133/34/05,SEKOLAH KEBANGSAAN GEMAS,5.0,407,275,97,34,406,1,0,PEKAN GEMAS ,UNDI BIASA
10,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,1.0,244,66,148,23,237,7,0,TAMAN SENTOSA ,UNDI BIASA
10,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,2.0,472,165,229,72,466,6,0,TAMAN SENTOSA ,UNDI BIASA
10,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,3.0,424,205,150,67,422,2,0,TAMAN SENTOSA ,UNDI BIASA
10,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,4.0,405,232,122,51,405,0,0,TAMAN SENTOSA ,UNDI BIASA
10,133/34/06,SEKOLAH MENENGAH KEBANGSAAN GEMAS,5.0,443,240,132,68,440,3,0,TAMAN SENTOSA ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),1.0,326,30,272,20,322,4,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),2.0,636,78,508,24,610,26,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),3.0,596,80,437,62,579,17,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),4.0,518,166,288,57,511,7,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),5.0,504,149,285,62,496,8,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),6.0,501,178,264,57,499,2,0,FELDA JELAI 2 & 4 ,UNDI BIASA
11,133/34/07,SEKOLAH KEBANGSAAN JELAI 2 (FELDA),7.0,493,166,260,67,493,0,0,FELDA JELAI 2 & 4 ,UNDI BIASA
12,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',1.0,290,34,227,17,278,12,0,SUNGAI KELAMAH ,UNDI BIASA
12,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',2.0,495,98,320,67,485,10,0,SUNGAI KELAMAH ,UNDI BIASA
12,133/35/01,SEKOLAH KEBANGSAAN SUNGAI KELAMAH 'RKTP',3.0,457,120,230,106,456,1,0,SUNGAI KELAMAH ,UNDI BIASA
13,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,1.0,276,108,152,11,271,5,0,GEMENCHEH LAMA ,UNDI BIASA
13,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,2.0,436,180,231,22,433,3,0,GEMENCHEH LAMA ,UNDI BIASA
13,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,3.0,414,229,148,34,411,3,0,GEMENCHEH LAMA ,UNDI BIASA
13,133/35/02,SEKOLAH KEBANGSAAN DATUK ABDULLAH,4.0,395,228,133,33,394,0,1,GEMENCHEH LAMA ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,1.0,276,155,107,9,271,5,0,GEMENCHEH BAHRU ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,2.0,604,385,186,20,591,13,0,GEMENCHEH BAHRU ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,3.0,568,383,162,17,562,6,0,GEMENCHEH BAHRU ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,4.0,508,370,105,28,503,5,0,GEMENCHEH BAHRU ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,5.0,547,420,96,27,543,4,0,GEMENCHEH BAHRU ,UNDI BIASA
14,133/35/03,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD TAHA,6.0,532,379,115,32,526,6,0,GEMENCHEH BAHRU ,UNDI BIASA
15,133/35/04,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU GEDOK,1.0,444,315,119,3,437,7,0,KAMPONG BAHRU GEDOK ,UNDI BIASA
16,133/35/05,SEKOLAH KEBANGSAAN GEDOK,1.0,290,59,201,27,287,3,0,GEDOK ,UNDI BIASA
16,133/35/05,SEKOLAH KEBANGSAAN GEDOK,2.0,502,174,263,59,496,6,0,GEDOK ,UNDI BIASA
17,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,1.0,270,141,111,7,259,11,0,AYER KUNING SELATAN ,UNDI BIASA
17,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,2.0,453,272,168,7,447,6,0,AYER KUNING SELATAN ,UNDI BIASA
17,133/35/06,SEKOLAH JENIS KEBANGSAAN (CINA) AIR KUNING SELATAN,3.0,432,300,117,12,429,3,0,AYER KUNING SELATAN ,UNDI BIASA
18,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,1.0,284,25,220,24,269,15,0,BUKIT JALOR ,UNDI BIASA
18,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,2.0,438,103,275,55,433,5,0,BUKIT JALOR ,UNDI BIASA
18,133/35/07,SEKOLAH KEBANGSAAN (FELDA) BUKIT JALOR,3.0,393,120,209,64,393,0,0,BUKIT JALOR ,UNDI BIASA
19,133/35/08,SEKOLAH KEBANGSAAN AIR KUNING SELATAN,1.0,480,164,266,36,466,14,0,KAMPONG TENGAH ,UNDI BIASA
20,133/35/09,BALAI RAYA KAMPUNG MANTAI,1.0,117,44,58,11,113,4,0,KAMPUNG MANTAI ,UNDI BIASA
21,133/35/10,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG REGENT,1.0,385,268,88,13,369,16,0,LADANG REGENT ,UNDI BIASA
22,133/35/11,BALAI RAYA KAMPONG PUNGGOR BATANG MELAKA,1.0,482,323,144,6,473,9,0,PEKAN BATANG MELAKA ,UNDI BIASA
23,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,1.0,292,56,213,20,289,3,0,BUKIT ROKAN UTARA ,UNDI BIASA
23,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,2.0,444,92,287,43,422,22,0,BUKIT ROKAN UTARA ,UNDI BIASA
23,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,3.0,398,144,186,67,397,1,0,BUKIT ROKAN UTARA ,UNDI BIASA
23,133/35/12,SEKOLAH KEBANGSAAN BUKIT ROKAN UTARA,4.0,394,132,183,73,388,4,2,BUKIT ROKAN UTARA ,UNDI BIASA
24,133/35/13,SEKOLAH KEBANGSAAN BUKIT ROKAN (LKTP),1.0,271,58,177,28,263,8,0,BUKIT ROKAN ,UNDI BIASA
24,133/35/13,SEKOLAH KEBANGSAAN BUKIT ROKAN (LKTP),2.0,463,201,196,57,454,9,0,BUKIT ROKAN ,UNDI BIASA
24,133/35/13,SEKOLAH KEBANGSAAN BUKIT ROKAN (LKTP),3.0,430,184,172,69,425,5,0,BUKIT ROKAN ,UNDI BIASA
24,133/35/13,SEKOLAH KEBANGSAAN BUKIT ROKAN (LKTP),4.0,393,205,144,43,392,1,0,BUKIT ROKAN ,UNDI BIASA
25,133/35/14,SEKOLAH KEBANGSAAN ROKAN,1.0,516,50,308,152,510,6,0,KAMPONG ROKAN ,UNDI BIASA
