Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHIONG YOKE KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEONG TAK MAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' KUMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,219,35,94,10,139,25,55,UNDI POS,UNDI POS
2,078/01/00,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1.0,207,5,187,8,200,7,0,UNDI AWAL,UNDI AWAL
3,078/01/01,SK TERISU,1.0,278,27,225,9,261,17,0,POS TERISU ,UNDI BIASA
4,078/01/02,SK TELANOK,1.0,536,22,494,4,520,16,0,POS TELANUK ,UNDI BIASA
5,078/01/03,SK LEMOI,1.0,180,10,159,3,172,8,0,POS LEMOI ,UNDI BIASA
6,078/01/04,SK MENSON,1.0,493,15,449,1,465,28,0,POS MENSUN ,UNDI BIASA
7,078/01/05,SJK(C) BERTAM VALLEY,1.0,272,203,64,1,268,4,0,LEMBAH BERTAM ,UNDI BIASA
7,078/01/05,SJK(C) BERTAM VALLEY,2.0,489,357,117,6,480,8,1,LEMBAH BERTAM ,UNDI BIASA
7,078/01/05,SJK(C) BERTAM VALLEY,3.0,468,330,124,6,460,8,0,LEMBAH BERTAM ,UNDI BIASA
7,078/01/05,SJK(C) BERTAM VALLEY,4.0,471,343,104,10,457,14,0,LEMBAH BERTAM ,UNDI BIASA
8,078/01/06,SJK(C) CAMERON,1.0,265,161,87,8,256,9,0,BANDAR RINGLET ,UNDI BIASA
8,078/01/06,SJK(C) CAMERON,2.0,542,403,126,7,536,6,0,BANDAR RINGLET ,UNDI BIASA
8,078/01/06,SJK(C) CAMERON,3.0,538,435,86,12,533,5,0,BANDAR RINGLET ,UNDI BIASA
8,078/01/06,SJK(C) CAMERON,4.0,513,432,63,18,513,0,0,BANDAR RINGLET ,UNDI BIASA
9,078/01/07,SMK RINGLET,1.0,238,131,86,12,229,9,0,HABU ,UNDI BIASA
9,078/01/07,SMK RINGLET,2.0,381,237,125,14,376,4,1,HABU ,UNDI BIASA
10,078/01/08,SJK(T) LADANG BOH 1,1.0,108,50,46,11,107,1,0,LADANG BOH 1 ,UNDI BIASA
11,078/01/09,SJK(T) LADANG BOH 2,1.0,127,46,75,4,125,2,0,LADANG BOH 2 ,UNDI BIASA
12,078/01/10,SJK(C) KEA FARM,1.0,354,219,125,4,348,6,0,KEA FARM ,UNDI BIASA
13,078/01/11,SMK SULTAN AHMAD SHAH,1.0,226,123,82,14,219,7,0,TANAH RATA ,UNDI BIASA
13,078/01/11,SMK SULTAN AHMAD SHAH,2.0,517,275,188,48,511,6,0,TANAH RATA ,UNDI BIASA
13,078/01/11,SMK SULTAN AHMAD SHAH,3.0,516,283,164,59,506,10,0,TANAH RATA ,UNDI BIASA
13,078/01/11,SMK SULTAN AHMAD SHAH,4.0,477,279,138,55,472,5,0,TANAH RATA ,UNDI BIASA
13,078/01/11,SMK SULTAN AHMAD SHAH,5.0,474,253,147,70,470,3,1,TANAH RATA ,UNDI BIASA
14,078/01/12,SJK(C) BRINCHANG,1.0,224,126,81,11,218,6,0,BERINCHANG ,UNDI BIASA
14,078/01/12,SJK(C) BRINCHANG,2.0,417,260,126,22,408,9,0,BERINCHANG ,UNDI BIASA
14,078/01/12,SJK(C) BRINCHANG,3.0,413,229,155,21,405,8,0,BERINCHANG ,UNDI BIASA
14,078/01/12,SJK(C) BRINCHANG,4.0,379,190,154,29,373,6,0,BERINCHANG ,UNDI BIASA
14,078/01/12,SJK(C) BRINCHANG,5.0,385,160,189,29,378,7,0,BERINCHANG ,UNDI BIASA
15,078/01/13,SJK(T) LADANG SUNGAI PALAS,1.0,145,68,58,12,138,7,0,LADANG SUNGAI PALAS ,UNDI BIASA
16,078/01/14,SJK(T) LADANG BLUE VALLEY,1.0,246,157,72,5,234,12,0,LADANG BLUE VALLEY ,UNDI BIASA
17,078/01/15,SK KAMPUNG RAJA,1.0,268,185,79,1,265,3,0,KAMPUNG RAJA ,UNDI BIASA
17,078/01/15,SK KAMPUNG RAJA,2.0,464,334,116,8,458,6,0,KAMPUNG RAJA ,UNDI BIASA
17,078/01/15,SK KAMPUNG RAJA,3.0,480,363,98,16,477,3,0,KAMPUNG RAJA ,UNDI BIASA
17,078/01/15,SK KAMPUNG RAJA,4.0,470,385,66,17,468,2,0,KAMPUNG RAJA ,UNDI BIASA
18,078/01/16,SJK(C) KUALA TERLA,1.0,245,148,84,4,236,8,1,KUALA TERLA ,UNDI BIASA
18,078/01/16,SJK(C) KUALA TERLA,2.0,451,321,114,10,445,6,0,KUALA TERLA ,UNDI BIASA
18,078/01/16,SJK(C) KUALA TERLA,3.0,454,368,68,14,450,4,0,KUALA TERLA ,UNDI BIASA
19,078/01/17,SJK(C) TRINGKAP,1.0,286,184,93,2,279,7,0,TERINGKAP ,UNDI BIASA
19,078/01/17,SJK(C) TRINGKAP,2.0,399,321,73,2,396,3,0,TERINGKAP ,UNDI BIASA
19,078/01/17,SJK(C) TRINGKAP,3.0,402,348,51,3,402,0,0,TERINGKAP ,UNDI BIASA
