Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SALUDIN BIN ENDOL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE AH WONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RASID BIN MUHAMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,660,252,286,55,593,34,33,UNDI POS,UNDI POS
2,079/04/00,KELAB POLIS IBU PEJABAT POLIS DAERAH LIPIS,1.0,267,104,139,19,262,5,0,UNDI AWAL ,UNDI AWAL
2,079/04/00,DEWAN SERBAGUNA 8 RAMD,1.0,105,65,32,6,103,2,0,UNDI AWAL ,UNDI AWAL
2,079/04/00,DEWAN SERBAGUNA 8 RAMD,2.0,153,65,60,21,146,7,0,UNDI AWAL ,UNDI AWAL
3,079/04/01,SK KUALA LANAR,1.0,284,74,122,72,268,16,0,KUALA LANAR ,UNDI BIASA
3,079/04/01,SK KUALA LANAR,2.0,302,125,103,67,295,7,0,KUALA LANAR ,UNDI BIASA
3,079/04/01,SK KUALA LANAR,3.0,283,114,76,87,277,6,0,KUALA LANAR ,UNDI BIASA
4,079/04/02,SK BATU 9,1.0,253,81,138,22,241,12,0,KUALA KENONG ,UNDI BIASA
4,079/04/02,SK BATU 9,2.0,243,122,90,25,237,6,0,KUALA KENONG ,UNDI BIASA
5,079/04/03,SK MELA,1.0,278,81,158,24,263,15,0,MELA ,UNDI BIASA
5,079/04/03,SK MELA,2.0,416,181,185,44,410,6,0,MELA ,UNDI BIASA
5,079/04/03,SK MELA,3.0,355,148,157,46,351,4,0,MELA ,UNDI BIASA
6,079/04/04,SK KERAMBIT,1.0,294,103,151,21,275,19,0,KERAMBIT ,UNDI BIASA
6,079/04/04,SK KERAMBIT,2.0,346,200,103,41,344,2,0,KERAMBIT ,UNDI BIASA
6,079/04/04,SK KERAMBIT,3.0,309,193,81,32,306,3,0,KERAMBIT ,UNDI BIASA
7,079/04/05,SJK(C) PENJOM,1.0,237,1,98,130,229,8,0,KAMPUNG BARU PENJOM ,UNDI BIASA
7,079/04/05,SJK(C) PENJOM,2.0,230,5,63,161,229,1,0,KAMPUNG BARU PENJOM ,UNDI BIASA
8,079/04/06,SK PENJOM,1.0,289,102,132,42,276,13,0,PENJOM ,UNDI BIASA
8,079/04/06,SK PENJOM,2.0,348,154,112,79,345,3,0,PENJOM ,UNDI BIASA
8,079/04/06,SK PENJOM,3.0,344,139,103,96,338,6,0,PENJOM ,UNDI BIASA
9,079/04/07,SK CLIFFORD,1.0,255,71,92,85,248,7,0,CHENERAS ,UNDI BIASA
9,079/04/07,SK CLIFFORD,2.0,426,125,124,172,421,5,0,CHENERAS ,UNDI BIASA
9,079/04/07,SK CLIFFORD,3.0,425,159,105,158,422,3,0,CHENERAS ,UNDI BIASA
10,079/04/08,SJK(C) CHUNG HWA,1.0,241,42,97,93,232,9,0,SUNGAI KERPAN ,UNDI BIASA
10,079/04/08,SJK(C) CHUNG HWA,2.0,492,98,138,243,479,13,0,SUNGAI KERPAN ,UNDI BIASA
10,079/04/08,SJK(C) CHUNG HWA,3.0,444,103,105,235,443,1,0,SUNGAI KERPAN ,UNDI BIASA
10,079/04/08,SJK(C) CHUNG HWA,4.0,459,136,109,213,458,1,0,SUNGAI KERPAN ,UNDI BIASA
11,079/04/09,TADIKA KEKWA,1.0,315,69,84,155,308,7,0,BATU KURAP ,UNDI BIASA
12,079/04/10,SMK CLIFFORD,1.0,181,12,55,112,179,2,0,BANDAR LIPIS ,UNDI BIASA
12,079/04/10,SMK CLIFFORD,2.0,227,42,69,112,223,4,0,BANDAR LIPIS ,UNDI BIASA
12,079/04/10,SMK CLIFFORD,3.0,203,44,43,114,201,2,0,BANDAR LIPIS ,UNDI BIASA
13,079/04/11,SK WAN IBRAHIM,1.0,279,63,65,148,276,3,0,BUKIT BIUS ,UNDI BIASA
