Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SABARUDDIN MOHD YASSIM SABARUDDIN MOHD YASSIM DATO' SRI HJ MOHD SOFFI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BIN TAN SRI ABD RAZAK DATO' SRI HJ MOHD SOFFI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ANUAR BIN KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,171,17,91,19,127,13,31,UNDI POS,UNDI POS
2,079/05/00,BILIK MAKLUMAT BALAI POLIS BENTA,1.0,18,3,12,2,17,1,0,UNDI AWAL,UNDI AWAL
3,079/05/01,BALAI RAYA KAMPUNG LALANG,1.0,185,31,120,31,182,3,0,KAMPUNG LALANG ,UNDI BIASA
4,079/05/02,KOLEJ VOKASIONAL SULTAN HAJI AHMAD SHAH AL-MUSTA'IN BILLAH,1.0,254,93,116,40,249,5,0,RENGAI ,UNDI BIASA
5,079/05/03,SK TANJUNG BESAR,1.0,292,69,183,31,283,9,0,TANJUNG BESAR ,UNDI BIASA
5,079/05/03,SK TANJUNG BESAR,2.0,360,103,218,38,359,1,0,TANJUNG BESAR ,UNDI BIASA
6,079/05/04,SK JERANSANG,1.0,296,58,177,53,288,8,0,JERANSANG ,UNDI BIASA
6,079/05/04,SK JERANSANG,2.0,299,99,138,60,297,2,0,JERANSANG ,UNDI BIASA
7,079/05/05,SK KEMAHANG,1.0,427,184,204,34,422,4,1,KEMAHANG ,UNDI BIASA
8,079/05/06,SK CHAT,1.0,288,60,171,48,279,9,0,KAMPUNG CHAT ,UNDI BIASA
8,079/05/06,SK CHAT,2.0,475,118,231,120,469,6,0,KAMPUNG CHAT ,UNDI BIASA
9,079/05/07,SMK PANGLIMA GARANG ABDUL SAMAD,1.0,299,49,222,25,296,3,0,BUDU ,UNDI BIASA
9,079/05/07,SMK PANGLIMA GARANG ABDUL SAMAD,2.0,297,86,161,49,296,1,0,BUDU ,UNDI BIASA
10,079/05/08,SK BENTA,1.0,295,131,139,19,289,6,0,PEKAN BENTA ,UNDI BIASA
10,079/05/08,SK BENTA,2.0,475,245,176,54,475,0,0,PEKAN BENTA ,UNDI BIASA
11,079/05/09,SMK BENTA,1.0,261,143,93,16,252,9,0,KAMPUNG BARU BENTA ,UNDI BIASA
11,079/05/09,SMK BENTA,2.0,368,239,106,19,364,4,0,KAMPUNG BARU BENTA ,UNDI BIASA
11,079/05/09,SMK BENTA,3.0,350,235,88,25,348,2,0,KAMPUNG BARU BENTA ,UNDI BIASA
12,079/05/10,SJK(C) JERKOH,1.0,292,156,127,1,284,8,0,JERKOH ,UNDI BIASA
12,079/05/10,SJK(C) JERKOH,2.0,475,263,190,20,473,2,0,JERKOH ,UNDI BIASA
12,079/05/10,SJK(C) JERKOH,3.0,469,294,152,20,466,3,0,JERKOH ,UNDI BIASA
13,079/05/11,SJK(T) LADANG BENTA,1.0,316,177,121,12,310,6,0,LADANG BENTA ,UNDI BIASA
14,079/05/12,SJK(T) LADANG BUDU,1.0,96,68,25,3,96,0,0,LADANG BUDU ,UNDI BIASA
