Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG LEAP PONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHIN CHOY HEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHOW YU HUI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,420,175,55,72,302,4,114,UNDI POS,UNDI POS
2,080/07/00,DEWAN MELOR IBU PEJABAT POLIS DAERAH RAUB,1.0,390,345,23,16,384,6,0,UNDI AWAL,UNDI AWAL
3,080/07/01,SJK(C) SUNGAI RUAN,1.0,254,84,2,157,243,11,0,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,2.0,491,125,11,338,474,17,0,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,3.0,484,109,3,366,478,5,1,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,4.0,459,81,3,369,453,6,0,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,5.0,462,50,2,406,458,4,0,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,6.0,439,35,0,401,436,3,0,SUNGAI RUAN ,UNDI BIASA
3,080/07/01,SJK(C) SUNGAI RUAN,7.0,463,28,2,429,459,4,0,SUNGAI RUAN ,UNDI BIASA
4,080/07/02,SK ULU GALI,1.0,283,189,51,35,275,8,0,HULU GALI ,UNDI BIASA
4,080/07/02,SK ULU GALI,2.0,368,217,102,42,361,7,0,HULU GALI ,UNDI BIASA
4,080/07/02,SK ULU GALI,3.0,348,176,96,74,346,2,0,HULU GALI ,UNDI BIASA
5,080/07/03,SM SAINS TENGKU ABDULLAH,1.0,197,124,26,40,190,7,0,PINTU PADANG ,UNDI BIASA
5,080/07/03,SM SAINS TENGKU ABDULLAH,2.0,241,111,37,86,234,7,0,PINTU PADANG ,UNDI BIASA
5,080/07/03,SM SAINS TENGKU ABDULLAH,3.0,240,87,45,107,239,1,0,PINTU PADANG ,UNDI BIASA
6,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,1.0,284,44,6,230,280,4,0,KAMPUNG SEMPALIT ,UNDI BIASA
6,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,2.0,494,50,3,439,492,2,0,KAMPUNG SEMPALIT ,UNDI BIASA
6,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,3.0,473,26,4,440,470,3,0,KAMPUNG SEMPALIT ,UNDI BIASA
6,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,4.0,496,35,1,459,495,1,0,KAMPUNG SEMPALIT ,UNDI BIASA
6,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,5.0,491,18,5,466,489,2,0,KAMPUNG SEMPALIT ,UNDI BIASA
7,080/07/05,SJK(C) SEMPALIT,1.0,247,57,1,175,233,14,0,KAMPUNG BARU SEMPALIT ,UNDI BIASA
