Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU BEDU RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SHAHIRUDDIN BIN AB MOIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR HAMZAH JAAFFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,293,58,157,16,231,8,54,UNDI POS,UNDI POS
2,080/08/00,BILIK MAKLUMAT BALAI POLIS DONG,1.0,26,5,21,0,26,0,0,UNDI AWAL,UNDI AWAL
3,080/08/01,SK ULU DONG,1.0,313,76,210,19,305,8,0,PAMAH RAWAS ,UNDI BIASA
3,080/08/01,SK ULU DONG,2.0,368,114,207,44,365,3,0,PAMAH RAWAS ,UNDI BIASA
4,080/08/02,SK PAMAH KULAT,1.0,296,78,193,20,291,5,0,PAMAH KULAT ,UNDI BIASA
4,080/08/02,SK PAMAH KULAT,2.0,396,166,197,31,394,2,0,PAMAH KULAT ,UNDI BIASA
5,080/08/03,SJK(C) SUNGAI KLAU,1.0,257,12,103,133,248,9,0,JERAM ,UNDI BIASA
5,080/08/03,SJK(C) SUNGAI KLAU,2.0,473,16,135,314,465,8,0,JERAM ,UNDI BIASA
5,080/08/03,SJK(C) SUNGAI KLAU,3.0,476,10,97,366,473,3,0,JERAM ,UNDI BIASA
5,080/08/03,SJK(C) SUNGAI KLAU,4.0,469,24,87,355,466,3,0,JERAM ,UNDI BIASA
6,080/08/04,SK LKTP LEMBAH KLAU,1.0,289,53,213,16,282,7,0,FELDA LEMBAH KLAU ,UNDI BIASA
6,080/08/04,SK LKTP LEMBAH KLAU,2.0,574,122,382,57,561,13,0,FELDA LEMBAH KLAU ,UNDI BIASA
6,080/08/04,SK LKTP LEMBAH KLAU,3.0,511,159,270,68,497,14,0,FELDA LEMBAH KLAU ,UNDI BIASA
6,080/08/04,SK LKTP LEMBAH KLAU,4.0,545,171,301,61,533,12,0,FELDA LEMBAH KLAU ,UNDI BIASA
7,080/08/05,SK LKTP KRAU 1,1.0,323,29,245,43,317,6,0,FELDA KRAU ,UNDI BIASA
7,080/08/05,SK LKTP KRAU 1,2.0,437,56,303,76,435,2,0,FELDA KRAU ,UNDI BIASA
8,080/08/06,SK GALI,1.0,282,46,171,54,271,11,0,GALI TENGAH ,UNDI BIASA
8,080/08/06,SK GALI,2.0,357,89,185,79,353,4,0,GALI TENGAH ,UNDI BIASA
8,080/08/06,SK GALI,3.0,359,92,185,78,355,4,0,GALI TENGAH ,UNDI BIASA
9,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,1.0,306,44,230,31,305,1,0,GALI HILIR ,UNDI BIASA
9,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,2.0,317,68,191,54,313,4,0,GALI HILIR ,UNDI BIASA
9,080/08/07,DEWAN SERBAGUNA KAMPUNG GALI HILIR,3.0,288,79,164,43,286,2,0,GALI HILIR ,UNDI BIASA
10,080/08/08,BALAI RAYA DURIAN SEBATANG,1.0,344,96,193,44,333,11,0,DURIAN SEBATANG ,UNDI BIASA
11,080/08/09,SK TEMAU,1.0,296,60,209,15,284,12,0,KAMPUNG TEMAU ,UNDI BIASA
11,080/08/09,SK TEMAU,2.0,449,131,264,51,446,3,0,KAMPUNG TEMAU ,UNDI BIASA
12,080/08/10,SMK DONG,1.0,289,61,182,38,281,8,0,PEKAN DONG ,UNDI BIASA
12,080/08/10,SMK DONG,2.0,450,127,246,70,443,7,0,PEKAN DONG ,UNDI BIASA
12,080/08/10,SMK DONG,3.0,422,137,213,70,420,2,0,PEKAN DONG ,UNDI BIASA
13,080/08/11,SK TANJUNG PUTUS,1.0,310,52,212,20,284,26,0,TANJUNG PUTUS ,UNDI BIASA
13,080/08/11,SK TANJUNG PUTUS,2.0,429,116,269,37,422,7,0,TANJUNG PUTUS ,UNDI BIASA
13,080/08/11,SK TANJUNG PUTUS,3.0,418,115,259,39,413,5,0,TANJUNG PUTUS ,UNDI BIASA
