Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO SRI WAN AMIZAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ZAKUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORDIN BIN SAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,311,140,104,10,254,16,41,UNDI POS,UNDI POS
2,081/09/00,BILIK MAKLUMAT BALAI POLIS KUALA TEMBELING,1.0,83,49,31,2,82,1,0,UNDI AWAL,UNDI AWAL
3,081/09/01,SK KUALA SAT,1.0,259,202,44,3,249,10,0,KAMPUNG SAT ,UNDI BIASA
4,081/09/02,SK GUSAI,1.0,146,111,29,3,143,3,0,KAMPUNG GUSAI ,UNDI BIASA
5,081/09/03,SK ULU TEMBELING,1.0,193,127,53,7,187,6,0,KAMPUNG BANTAL ,UNDI BIASA
5,081/09/03,SK ULU TEMBELING,2.0,194,132,57,1,190,4,0,KAMPUNG BANTAL ,UNDI BIASA
6,081/09/04,SK BUKIT MAT DALING,1.0,292,202,66,19,287,5,0,KAMPUNG MAT DALING ,UNDI BIASA
7,081/09/05,SK KAMPUNG PAGI,1.0,208,136,57,12,205,3,0,KAMPUNG PAGI ,UNDI BIASA
8,081/09/06,SK LKTP SUNGAI RETANG,1.0,307,166,112,23,301,6,0,FELDA SUNGAI RETANG ,UNDI BIASA
8,081/09/06,SK LKTP SUNGAI RETANG,2.0,508,252,192,55,499,9,0,FELDA SUNGAI RETANG ,UNDI BIASA
8,081/09/06,SK LKTP SUNGAI RETANG,3.0,431,155,229,44,428,2,1,FELDA SUNGAI RETANG ,UNDI BIASA
8,081/09/06,SK LKTP SUNGAI RETANG,4.0,468,165,249,50,464,4,0,FELDA SUNGAI RETANG ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,1.0,289,162,107,14,283,6,0,FELDA PADANG PIOL ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,2.0,478,237,196,33,466,12,0,FELDA PADANG PIOL ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,3.0,439,165,241,29,435,3,1,FELDA PADANG PIOL ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,4.0,403,121,236,46,403,0,0,FELDA PADANG PIOL ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,5.0,394,112,234,46,392,2,0,FELDA PADANG PIOL ,UNDI BIASA
9,081/09/07,SK (FELDA) PADANG PIOL,6.0,421,122,250,46,418,3,0,FELDA PADANG PIOL ,UNDI BIASA
10,081/09/08,BALAI RAYA KAMPUNG GAJAH MATI,1.0,507,209,274,14,497,10,0,KAMPUNG GAJAH MATI ,UNDI BIASA
11,081/09/09,SK PULAU MANSOK,1.0,271,98,158,11,267,4,0,PULAU MANSUK ,UNDI BIASA
11,081/09/09,SK PULAU MANSOK,2.0,340,109,216,11,336,4,0,PULAU MANSUK ,UNDI BIASA
12,081/09/10,SK PEDAH,1.0,297,112,159,15,286,11,0,JERANTUT FERI ,UNDI BIASA
12,081/09/10,SK PEDAH,2.0,375,132,217,24,373,2,0,JERANTUT FERI ,UNDI BIASA
12,081/09/10,SK PEDAH,3.0,371,107,222,38,367,4,0,JERANTUT FERI ,UNDI BIASA
13,081/09/11,SK TANAH ROM,1.0,226,87,121,14,222,4,0,TANAH ROM ,UNDI BIASA
14,081/09/12,SK TEH,1.0,301,151,131,16,298,3,0,TEH ,UNDI BIASA
14,081/09/12,SK TEH,2.0,394,141,224,27,392,2,0,TEH ,UNDI BIASA
14,081/09/12,SK TEH,3.0,359,122,188,48,358,1,0,TEH ,UNDI BIASA
15,081/09/13,SK KUALA TEMBELING,1.0,280,131,122,16,269,11,0,KUALA TEMBELING ,UNDI BIASA
15,081/09/13,SK KUALA TEMBELING,2.0,291,99,150,31,280,11,0,KUALA TEMBELING ,UNDI BIASA
15,081/09/13,SK KUALA TEMBELING,3.0,262,86,163,13,262,0,0,KUALA TEMBELING ,UNDI BIASA
16,081/09/14,SK PASIR DURIAN,1.0,337,198,128,7,333,4,0,PASIR DURIAN ,UNDI BIASA
17,081/09/15,SK CHEBONG,1.0,290,164,89,25,278,12,0,KAMPUNG CHEBONG ,UNDI BIASA
17,081/09/15,SK CHEBONG,2.0,361,150,179,28,357,4,0,KAMPUNG CHEBONG ,UNDI BIASA
18,081/09/16,SK MERTING,1.0,273,145,66,47,258,15,0,KAMPUNG MERTING ,UNDI BIASA
18,081/09/16,SK MERTING,2.0,274,148,59,49,256,17,1,KAMPUNG MERTING ,UNDI BIASA
19,081/09/17,SK KUALA TAHAN,1.0,304,161,103,31,295,8,1,KUALA TAHAN ,UNDI BIASA
19,081/09/17,SK KUALA TAHAN,2.0,487,263,182,37,482,5,0,KUALA TAHAN ,UNDI BIASA
