Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO ALY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ZURIDAN M. DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG CHUN YUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,553,129,275,35,439,41,73,UNDI POS,UNDI POS
2,081/10/00,BILIK GERAKAN CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1.0,271,126,133,8,267,4,0,UNDI AWAL ,UNDI AWAL
3,081/10/01,SJK(C) BATU BALAI,1.0,270,97,76,80,253,17,0,BATU BALAI ,UNDI BIASA
3,081/10/01,SJK(C) BATU BALAI,2.0,533,99,280,149,528,5,0,BATU BALAI ,UNDI BIASA
3,081/10/01,SJK(C) BATU BALAI,3.0,486,92,282,108,482,4,0,BATU BALAI ,UNDI BIASA
4,081/10/02,SK DAMAK,1.0,268,81,93,82,256,12,0,KAMPUNG DAMAK ,UNDI BIASA
4,081/10/02,SK DAMAK,2.0,378,77,192,104,373,5,0,KAMPUNG DAMAK ,UNDI BIASA
4,081/10/02,SK DAMAK,3.0,353,44,225,84,353,0,0,KAMPUNG DAMAK ,UNDI BIASA
5,081/10/03,DEWAN ORANG RAMAI KG. KOI,1.0,263,94,133,28,255,8,0,KAMPUNG KOI ,UNDI BIASA
5,081/10/03,DEWAN ORANG RAMAI KG. KOI,2.0,308,98,165,37,300,8,0,KAMPUNG KOI ,UNDI BIASA
6,081/10/04,DEWAN JKKK KAMPUNG SOM,1.0,256,73,150,27,250,6,0,KAMPUNG SOM ,UNDI BIASA
7,081/10/05,SK KAMPUNG BAHARU,1.0,293,89,180,18,287,5,1,KAMPUNG BAHARU ,UNDI BIASA
8,081/10/06,BALAI RAYA LATA KASAH,1.0,375,115,190,63,368,7,0,KAMPUNG LATA KASAH ,UNDI BIASA
9,081/10/07,SK JERANTUT,1.0,262,78,82,91,251,11,0,BANDAR JERANTUT LUAR ,UNDI BIASA
9,081/10/07,SK JERANTUT,2.0,280,63,130,84,277,3,0,BANDAR JERANTUT LUAR ,UNDI BIASA
10,081/10/08,SK BANDAR JERANTUT,1.0,268,64,154,41,259,9,0,KAMPUNG MELAYU ,UNDI BIASA
10,081/10/08,SK BANDAR JERANTUT,2.0,450,86,258,84,428,22,0,KAMPUNG MELAYU ,UNDI BIASA
10,081/10/08,SK BANDAR JERANTUT,3.0,417,72,226,118,416,1,0,KAMPUNG MELAYU ,UNDI BIASA
10,081/10/08,SK BANDAR JERANTUT,4.0,386,57,211,115,383,3,0,KAMPUNG MELAYU ,UNDI BIASA
10,081/10/08,SK BANDAR JERANTUT,5.0,395,48,237,110,395,0,0,KAMPUNG MELAYU ,UNDI BIASA
11,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,1.0,296,70,82,129,281,15,0,BANDAR BARU ,UNDI BIASA
11,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,2.0,479,106,188,183,477,2,0,BANDAR BARU ,UNDI BIASA
11,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,3.0,433,58,180,190,428,5,0,BANDAR BARU ,UNDI BIASA
11,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,4.0,452,78,202,169,449,2,1,BANDAR BARU ,UNDI BIASA
12,081/10/10,SJK(C) SUNGAI JAN,1.0,269,79,7,163,249,20,0,SUNGAI JAN ,UNDI BIASA
12,081/10/10,SJK(C) SUNGAI JAN,2.0,424,110,19,289,418,6,0,SUNGAI JAN ,UNDI BIASA
12,081/10/10,SJK(C) SUNGAI JAN,3.0,426,106,31,289,426,0,0,SUNGAI JAN ,UNDI BIASA
12,081/10/10,SJK(C) SUNGAI JAN,4.0,405,70,38,295,403,2,0,SUNGAI JAN ,UNDI BIASA
12,081/10/10,SJK(C) SUNGAI JAN,5.0,382,35,72,273,380,2,0,SUNGAI JAN ,UNDI BIASA
13,081/10/11,SMK JERANTUT,1.0,288,77,35,170,282,6,0,TAMAN MUHIBBAH ,UNDI BIASA
13,081/10/11,SMK JERANTUT,2.0,562,102,118,335,555,7,0,TAMAN MUHIBBAH ,UNDI BIASA
13,081/10/11,SMK JERANTUT,3.0,557,87,117,350,554,3,0,TAMAN MUHIBBAH ,UNDI BIASA
13,081/10/11,SMK JERANTUT,4.0,530,78,84,366,528,2,0,TAMAN MUHIBBAH ,UNDI BIASA
13,081/10/11,SMK JERANTUT,5.0,510,50,119,336,505,4,1,TAMAN MUHIBBAH ,UNDI BIASA
13,081/10/11,SMK JERANTUT,6.0,533,61,141,329,531,2,0,TAMAN MUHIBBAH ,UNDI BIASA
14,081/10/12,SMK PADANG SAUJANA,1.0,252,78,34,131,243,9,0,INDERAPURA ,UNDI BIASA
14,081/10/12,SMK PADANG SAUJANA,2.0,469,107,157,201,465,4,0,INDERAPURA ,UNDI BIASA
14,081/10/12,SMK PADANG SAUJANA,3.0,469,70,196,199,465,4,0,INDERAPURA ,UNDI BIASA
14,081/10/12,SMK PADANG SAUJANA,4.0,437,54,212,168,434,3,0,INDERAPURA ,UNDI BIASA
14,081/10/12,SMK PADANG SAUJANA,5.0,455,49,293,112,454,1,0,INDERAPURA ,UNDI BIASA
15,081/10/13,SK TEMIN,1.0,297,49,212,19,280,17,0,KAMPUNG TEMIN ,UNDI BIASA
15,081/10/13,SK TEMIN,2.0,273,37,209,22,268,5,0,KAMPUNG TEMIN ,UNDI BIASA
15,081/10/13,SK TEMIN,3.0,300,16,264,20,300,0,0,KAMPUNG TEMIN ,UNDI BIASA
16,081/10/14,SK GINTONG,1.0,121,26,81,9,116,5,0,KAMPUNG GINTONG ,UNDI BIASA
17,081/10/15,SK TEBING TINGGI,1.0,443,79,329,24,432,11,0,KAMPUNG BATU KAWAH ,UNDI BIASA
18,081/10/16,SK BUKIT DINDING,1.0,280,89,134,44,267,13,0,BUKIT DINDING ,UNDI BIASA
18,081/10/16,SK BUKIT DINDING,2.0,322,79,178,55,312,10,0,BUKIT DINDING ,UNDI BIASA
19,081/10/17,DEWAN ORANG RAMAI KAMPUNG SIMPANG TEBING TINGGI,1.0,261,36,196,22,254,7,0,TEBING TINGGI ,UNDI BIASA
19,081/10/17,DEWAN ORANG RAMAI KAMPUNG SIMPANG TEBING TINGGI,2.0,263,36,194,31,261,2,0,TEBING TINGGI ,UNDI BIASA
