Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE CHEAN CHUNG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD YUSOF HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) QUEK TAI SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,926,68,322,355,745,75,106,UNDI POS,UNDI POS
2,082/13/00,DEWAN SERBAGUNA PGA KEM GALING,1.0,384,25,131,221,377,7,0,UNDI AWAL,UNDI AWAL
2,082/13/00,DEWAN SERBAGUNA PGA KEM GALING,2.0,408,23,116,267,406,2,0,UNDI AWAL,UNDI AWAL
3,082/13/01,SK KAMPONG PADANG,1.0,315,76,92,138,306,9,0,KAMPUNG PADANG ,UNDI BIASA
3,082/13/01,SK KAMPONG PADANG,2.0,587,120,284,178,582,5,0,KAMPUNG PADANG ,UNDI BIASA
3,082/13/01,SK KAMPONG PADANG,3.0,542,187,201,151,539,3,0,KAMPUNG PADANG ,UNDI BIASA
3,082/13/01,SK KAMPONG PADANG,4.0,495,189,213,89,491,4,0,KAMPUNG PADANG ,UNDI BIASA
3,082/13/01,SK KAMPONG PADANG,5.0,504,129,256,118,503,1,0,KAMPUNG PADANG ,UNDI BIASA
4,082/13/02,SK RTP BUKIT GOH,1.0,271,37,83,141,261,10,0,RTP BUKIT GOH ,UNDI BIASA
4,082/13/02,SK RTP BUKIT GOH,2.0,288,38,144,106,288,0,0,RTP BUKIT GOH ,UNDI BIASA
5,082/13/03,SK SUNGAI TALAM,1.0,285,120,71,88,279,6,0,BUKIT ISTANA ,UNDI BIASA
5,082/13/03,SK SUNGAI TALAM,2.0,518,180,253,83,516,1,1,BUKIT ISTANA ,UNDI BIASA
5,082/13/03,SK SUNGAI TALAM,3.0,450,177,217,56,450,0,0,BUKIT ISTANA ,UNDI BIASA
5,082/13/03,SK SUNGAI TALAM,4.0,455,192,206,57,455,0,0,BUKIT ISTANA ,UNDI BIASA
5,082/13/03,SK SUNGAI TALAM,5.0,481,218,200,63,481,0,0,BUKIT ISTANA ,UNDI BIASA
6,082/13/04,SK SEMAMBU,1.0,277,161,19,86,266,11,0,SEMAMBU ,UNDI BIASA
6,082/13/04,SK SEMAMBU,2.0,568,314,55,187,556,12,0,SEMAMBU ,UNDI BIASA
6,082/13/04,SK SEMAMBU,3.0,560,394,61,101,556,4,0,SEMAMBU ,UNDI BIASA
6,082/13/04,SK SEMAMBU,4.0,540,353,98,84,535,5,0,SEMAMBU ,UNDI BIASA
6,082/13/04,SK SEMAMBU,5.0,526,347,94,82,523,3,0,SEMAMBU ,UNDI BIASA
