Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJAH SABRINA MD YUSOFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ROSLI BIN ABDUL JABAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) T. ZULKIFLY BIN T. AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,573,35,151,196,382,90,101,UNDI POS,UNDI POS
2,083/15/01,SJK(C) CHUNG CHING,1.0,238,145,14,70,229,9,0,MEDAN WARISAN ,UNDI BIASA
2,083/15/01,SJK(C) CHUNG CHING,2.0,505,335,34,131,500,5,0,MEDAN WARISAN ,UNDI BIASA
2,083/15/01,SJK(C) CHUNG CHING,3.0,509,332,60,107,499,10,0,MEDAN WARISAN ,UNDI BIASA
2,083/15/01,SJK(C) CHUNG CHING,4.0,488,330,79,79,488,0,0,MEDAN WARISAN ,UNDI BIASA
2,083/15/01,SJK(C) CHUNG CHING,5.0,481,309,107,64,480,1,0,MEDAN WARISAN ,UNDI BIASA
3,083/15/02,SMK TANAH PUTIH,1.0,251,186,9,52,247,4,0,MEDAN MAKMUR ,UNDI BIASA
3,083/15/02,SMK TANAH PUTIH,2.0,403,299,24,79,402,1,0,MEDAN MAKMUR ,UNDI BIASA
3,083/15/02,SMK TANAH PUTIH,3.0,423,337,24,59,420,3,0,MEDAN MAKMUR ,UNDI BIASA
3,083/15/02,SMK TANAH PUTIH,4.0,392,307,31,52,390,2,0,MEDAN MAKMUR ,UNDI BIASA
4,083/15/03,DEWAN JABATAN PENGAIRAN DAN SALIRAN DAERAH KUANTAN,1.0,281,132,38,108,278,3,0,SERI KEMUNTING ,UNDI BIASA
4,083/15/03,DEWAN JABATAN PENGAIRAN DAN SALIRAN DAERAH KUANTAN,2.0,531,221,135,172,528,3,0,SERI KEMUNTING ,UNDI BIASA
5,083/15/04,SK TANJUNG LUMPUR,1.0,264,24,76,157,257,7,0,TANJUNG LUMPUR ,UNDI BIASA
5,083/15/04,SK TANJUNG LUMPUR,2.0,416,33,171,203,407,9,0,TANJUNG LUMPUR ,UNDI BIASA
5,083/15/04,SK TANJUNG LUMPUR,3.0,391,43,197,147,387,4,0,TANJUNG LUMPUR ,UNDI BIASA
6,083/15/05,SK KEMPADANG,1.0,311,60,87,141,288,23,0,KEMPADANG ,UNDI BIASA
6,083/15/05,SK KEMPADANG,2.0,619,96,272,245,613,6,0,KEMPADANG ,UNDI BIASA
6,083/15/05,SK KEMPADANG,3.0,561,94,279,186,559,2,0,KEMPADANG ,UNDI BIASA
6,083/15/05,SK KEMPADANG,4.0,558,83,301,174,558,0,0,KEMPADANG ,UNDI BIASA
