Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NUR ADDIN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD NOR HISAM BIN MUHAMMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD RAHIM BIN MUDA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,231,22,47,100,169,27,35,UNDI POS,UNDI POS
2,084/18/00,BILIK MAKLUMAT BALAI POLIS GAMBANG,1.0,40,4,2,34,40,0,0,UNDI AWAL,UNDI AWAL
3,084/18/01,SK SERI MAHKOTA,1.0,277,91,49,133,273,4,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,2.0,540,172,147,214,533,7,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,3.0,542,145,185,209,539,3,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,4.0,508,178,171,156,505,3,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,5.0,440,182,136,121,439,1,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,6.0,467,179,157,129,465,2,0,MAHKOTA JAYA ,UNDI BIASA
3,084/18/01,SK SERI MAHKOTA,7.0,501,166,162,172,500,1,0,MAHKOTA JAYA ,UNDI BIASA
4,084/18/02,SK GAMBANG,1.0,216,39,32,131,202,14,0,SERI FAJAR ,UNDI BIASA
4,084/18/02,SK GAMBANG,2.0,294,53,69,163,285,9,0,SERI FAJAR ,UNDI BIASA
5,084/18/03,SJK(C) GAMBANG,1.0,260,152,6,98,256,4,0,GAMBANG ,UNDI BIASA
5,084/18/03,SJK(C) GAMBANG,2.0,507,361,9,121,491,16,0,GAMBANG ,UNDI BIASA
5,084/18/03,SJK(C) GAMBANG,3.0,492,377,17,92,486,6,0,GAMBANG ,UNDI BIASA
5,084/18/03,SJK(C) GAMBANG,4.0,483,352,45,82,479,4,0,GAMBANG ,UNDI BIASA
6,084/18/04,DEWAN ORANG RAMAI GAMBANG,1.0,259,179,8,70,257,2,0,JALAN BESAR ,UNDI BIASA
7,084/18/05,SK LKTP LEPAR HILIR 1,1.0,315,30,77,200,307,8,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
7,084/18/05,SK LKTP LEPAR HILIR 1,2.0,641,68,142,425,635,6,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
7,084/18/05,SK LKTP LEPAR HILIR 1,3.0,505,71,202,224,497,8,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
7,084/18/05,SK LKTP LEPAR HILIR 1,4.0,496,74,205,213,492,4,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
8,084/18/06,SK LKTP LEPAR HILIR 2,1.0,331,33,75,216,324,7,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
8,084/18/06,SK LKTP LEPAR HILIR 2,2.0,397,54,87,256,397,0,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
8,084/18/06,SK LKTP LEPAR HILIR 2,3.0,351,57,115,176,348,3,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
8,084/18/06,SK LKTP LEPAR HILIR 2,4.0,362,72,131,155,358,4,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
9,084/18/07,SK LKTP LEPAR HILIR 3,1.0,312,35,66,206,307,5,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
9,084/18/07,SK LKTP LEPAR HILIR 3,2.0,470,75,131,263,469,1,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
9,084/18/07,SK LKTP LEPAR HILIR 3,3.0,436,94,147,189,430,6,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
9,084/18/07,SK LKTP LEPAR HILIR 3,4.0,428,85,137,202,424,4,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
10,084/18/08,SK PAYA BUNGOR,1.0,290,30,27,191,248,42,0,PAYA BUNGOR ,UNDI BIASA
10,084/18/08,SK PAYA BUNGOR,2.0,398,70,63,259,392,6,0,PAYA BUNGOR ,UNDI BIASA
10,084/18/08,SK PAYA BUNGOR,3.0,392,82,66,236,384,8,0,PAYA BUNGOR ,UNDI BIASA
11,084/18/09,SMK LEPAR UTARA,1.0,312,7,90,204,301,11,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
11,084/18/09,SMK LEPAR UTARA,2.0,470,18,146,302,466,4,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
11,084/18/09,SMK LEPAR UTARA,3.0,417,28,121,267,416,1,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
11,084/18/09,SMK LEPAR UTARA,4.0,331,40,135,153,328,3,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
11,084/18/09,SMK LEPAR UTARA,5.0,352,46,164,138,348,4,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
