Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ. MOHD ZAILI BIN HJ. BESAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMARZAMAN MOHAMED YUNUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD TARMIZI YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BENZIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,467,181,31,114,1,327,41,99,UNDI POS,UNDI POS
2,084/19/00,BILIK MAKLUMAT BALAI POLIS PANCHING,1.0,12,7,1,4,0,12,0,0,UNDI AWAL,UNDI AWAL
3,084/19/01,SMK BUKIT RANGIN,1.0,302,163,30,102,2,297,5,0,BUKIT RANGIN ,UNDI BIASA
3,084/19/01,SMK BUKIT RANGIN,2.0,572,239,95,232,0,566,6,0,BUKIT RANGIN ,UNDI BIASA
3,084/19/01,SMK BUKIT RANGIN,3.0,525,168,79,271,2,520,5,0,BUKIT RANGIN ,UNDI BIASA
3,084/19/01,SMK BUKIT RANGIN,4.0,505,171,69,262,0,502,3,0,BUKIT RANGIN ,UNDI BIASA
3,084/19/01,SMK BUKIT RANGIN,5.0,532,128,126,276,0,530,2,0,BUKIT RANGIN ,UNDI BIASA
3,084/19/01,SMK BUKIT RANGIN,6.0,561,121,164,271,3,559,2,0,BUKIT RANGIN ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,1.0,260,146,24,85,2,257,3,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,2.0,481,225,69,180,1,475,6,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,3.0,476,175,81,211,4,471,5,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,4.0,458,146,96,213,2,457,1,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,5.0,435,114,115,200,4,433,2,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
4,084/19/02,SK PERMATANG BADAK,6.0,434,136,86,209,2,433,1,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
5,084/19/03,SK PANDAN,1.0,288,147,37,98,0,282,6,0,PANDAN PERMAI ,UNDI BIASA
5,084/19/03,SK PANDAN,2.0,545,237,110,190,0,537,8,0,PANDAN PERMAI ,UNDI BIASA
