Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) ZAINUDDIN BIN NOH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' KHAIRUDDIN BIN MAHMUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABU BAKAR BIN LEBAI SUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,976,229,495,82,806,102,68,UNDI POS,UNDI POS
2,085/20/00,SK PENGKALAN TENTERA,1.0,404,133,197,61,391,13,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,2.0,397,114,237,45,396,1,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,3.0,403,135,209,48,392,11,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,4.0,435,120,261,51,432,3,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,5.0,419,124,239,55,418,1,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,6.0,460,142,256,55,453,7,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,7.0,430,147,228,46,421,9,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,1.0,377,180,123,72,375,2,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,2.0,381,189,124,68,381,0,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,3.0,375,154,144,76,374,1,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,4.0,274,118,121,30,269,5,0,UNDI AWAL ,UNDI AWAL
3,085/20/01,SK WIRA,1.0,258,49,136,65,250,8,0,SERI MAHKOTA,UNDI BIASA
3,085/20/01,SK WIRA,2.0,261,92,101,65,258,3,0,SERI MAHKOTA,UNDI BIASA
4,085/20/02,SK JAYA GADING,1.0,281,97,130,38,265,16,0,JAYA GADING ,UNDI BIASA
4,085/20/02,SK JAYA GADING,2.0,532,203,242,74,519,13,0,JAYA GADING ,UNDI BIASA
4,085/20/02,SK JAYA GADING,3.0,501,235,186,76,497,4,0,JAYA GADING ,UNDI BIASA
4,085/20/02,SK JAYA GADING,4.0,451,230,158,59,447,4,0,JAYA GADING ,UNDI BIASA
4,085/20/02,SK JAYA GADING,5.0,411,216,131,64,411,0,0,JAYA GADING ,UNDI BIASA
4,085/20/02,SK JAYA GADING,6.0,456,234,147,75,456,0,0,JAYA GADING ,UNDI BIASA
5,085/20/03,SMK SERI DAMAI,1.0,278,80,121,57,258,20,0,KAMPUNG SERI DAMAI ,UNDI BIASA
5,085/20/03,SMK SERI DAMAI,2.0,592,188,297,97,582,10,0,KAMPUNG SERI DAMAI ,UNDI BIASA
5,085/20/03,SMK SERI DAMAI,3.0,560,246,232,79,557,3,0,KAMPUNG SERI DAMAI ,UNDI BIASA
5,085/20/03,SMK SERI DAMAI,4.0,518,218,201,97,516,1,1,KAMPUNG SERI DAMAI ,UNDI BIASA
5,085/20/03,SMK SERI DAMAI,5.0,527,300,149,75,524,3,0,KAMPUNG SERI DAMAI ,UNDI BIASA
6,085/20/04,SK MAT KILAU,1.0,308,79,182,38,299,9,0,GUDANG RASAU ,UNDI BIASA
6,085/20/04,SK MAT KILAU,2.0,427,188,187,52,427,0,0,GUDANG RASAU ,UNDI BIASA
6,085/20/04,SK MAT KILAU,3.0,385,151,161,70,382,3,0,GUDANG RASAU ,UNDI BIASA
6,085/20/04,SK MAT KILAU,4.0,390,162,149,78,389,1,0,GUDANG RASAU ,UNDI BIASA
7,085/20/05,SK PULAU RUSA,1.0,258,63,173,15,251,7,0,PULAU RUSA ,UNDI BIASA
7,085/20/05,SK PULAU RUSA,2.0,254,84,148,18,250,4,0,PULAU RUSA ,UNDI BIASA
8,085/20/06,SK GANCHONG,1.0,310,97,183,24,304,6,0,GANCHONG ,UNDI BIASA
8,085/20/06,SK GANCHONG,2.0,534,234,249,48,531,3,0,GANCHONG ,UNDI BIASA
9,085/20/07,SK PULAU MANIS,1.0,306,65,222,18,305,1,0,PULAU MANIS ,UNDI BIASA
10,085/20/08,SK LEPAR,1.0,294,53,224,11,288,6,0,LEPAR ,UNDI BIASA
10,085/20/08,SK LEPAR,2.0,394,119,249,14,382,12,0,LEPAR ,UNDI BIASA
10,085/20/08,SK LEPAR,3.0,392,127,240,20,387,5,0,LEPAR ,UNDI BIASA
11,085/20/09,SK PELAK,1.0,338,69,238,27,334,4,0,PELAK ,UNDI BIASA
12,085/20/10,SK SERI MAKMUR,1.0,291,46,233,8,287,4,0,SERI MAKMUR ,UNDI BIASA
12,085/20/10,SK SERI MAKMUR,2.0,360,104,231,23,358,2,0,SERI MAKMUR ,UNDI BIASA
12,085/20/10,SK SERI MAKMUR,3.0,339,109,206,22,337,2,0,SERI MAKMUR ,UNDI BIASA
13,085/20/11,SK BELIMBING,1.0,172,25,142,5,172,0,0,BELIMBING ,UNDI BIASA
