Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO HJ SALIM BIN HJ ABD MAJID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI SH MOHMED PUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ABU KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,871,38,448,189,675,95,101,UNDI POS,UNDI POS
2,085/21/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON A),1.0,308,18,233,55,306,2,0,UNDI AWAL ,UNDI AWAL
2,085/21/00,BILIK SYARAHAN KEM FORCE 136 REJIMEN 505 (AW),1.0,163,16,100,45,161,2,0,UNDI AWAL ,UNDI AWAL
3,085/21/01,PUSAT PERPINDAHAN BANJIR KAMPUNG LAMIR,1.0,317,19,205,82,306,11,0,KAMPUNG LAMIR ,UNDI BIASA
3,085/21/01,PUSAT PERPINDAHAN BANJIR KAMPUNG LAMIR,2.0,465,44,263,155,462,3,0,KAMPUNG LAMIR ,UNDI BIASA
4,085/21/02,SMK DATO' MAHMUD MAT,1.0,299,23,174,96,293,6,0,TANAH PUTIH ,UNDI BIASA
4,085/21/02,SMK DATO' MAHMUD MAT,2.0,319,30,177,111,318,1,0,TANAH PUTIH ,UNDI BIASA
4,085/21/02,SMK DATO' MAHMUD MAT,3.0,319,39,155,122,316,3,0,TANAH PUTIH ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,1.0,308,23,219,59,301,7,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,2.0,586,50,346,181,577,9,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,3.0,529,48,276,203,527,2,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,4.0,459,48,245,163,456,3,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,5.0,480,60,247,171,478,2,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,6.0,479,54,242,180,476,3,0,PERAMU JAYA ,UNDI BIASA
5,085/21/03,SK PERAMU JAYA,7.0,507,74,242,188,504,3,0,PERAMU JAYA ,UNDI BIASA
6,085/21/04,SK SERANDU,1.0,318,18,230,64,312,6,0,SERANDU ,UNDI BIASA
6,085/21/04,SK SERANDU,2.0,354,21,236,96,353,1,0,SERANDU ,UNDI BIASA
