Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMMAD FAKHRUDDIN BIN MOHD ARIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AFIF SYAIROL BIN ABDUL RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NAZHAR OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,228,111,11,42,164,16,48,UNDI POS,UNDI POS
2,085/22/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON B),1.0,6,5,0,1,6,0,0,UNDI AWAL ,UNDI AWAL
3,085/22/01,SK SERAMBI,1.0,415,225,47,136,408,7,0,SERAMBI ,UNDI BIASA
4,085/22/02,SK PADANG RUMBIA,1.0,316,151,20,141,312,4,0,PADANG RUMBIA ,UNDI BIASA
5,085/22/03,SK TEMAI,1.0,292,200,19,65,284,8,0,TEMAI ,UNDI BIASA
5,085/22/03,SK TEMAI,2.0,468,272,41,150,463,5,0,TEMAI ,UNDI BIASA
6,085/22/04,SK KAMPUNG ACHEH,1.0,236,109,10,112,231,5,0,ACHEH ,UNDI BIASA
7,085/22/05,SK TANJUNG MEDANG,1.0,304,230,14,49,293,11,0,TANJUNG MEDANG ,UNDI BIASA
7,085/22/05,SK TANJUNG MEDANG,2.0,560,352,43,163,558,2,0,TANJUNG MEDANG ,UNDI BIASA
8,085/22/06,SK SERI TERENTANG,1.0,294,195,15,77,287,7,0,PADANG POLO ,UNDI BIASA
8,085/22/06,SK SERI TERENTANG,2.0,405,209,38,155,402,3,0,PADANG POLO ,UNDI BIASA
8,085/22/06,SK SERI TERENTANG,3.0,363,176,32,155,363,0,0,PADANG POLO ,UNDI BIASA
8,085/22/06,SK SERI TERENTANG,4.0,374,195,52,126,373,1,0,PADANG POLO ,UNDI BIASA
9,085/22/07,SK TANJUNG BATU,1.0,290,211,23,55,289,1,0,TANJUNG BATU ,UNDI BIASA
9,085/22/07,SK TANJUNG BATU,2.0,285,199,17,57,273,12,0,TANJUNG BATU ,UNDI BIASA
10,085/22/08,SK NENASI,1.0,282,226,18,29,273,9,0,LANDAI ,UNDI BIASA
10,085/22/08,SK NENASI,2.0,349,268,30,35,333,16,0,LANDAI ,UNDI BIASA
11,085/22/09,SMK NENASI,1.0,262,196,25,33,254,8,0,NENASI ,UNDI BIASA
11,085/22/09,SMK NENASI,2.0,396,245,42,101,388,8,0,NENASI ,UNDI BIASA
11,085/22/09,SMK NENASI,3.0,347,222,37,81,340,7,0,NENASI ,UNDI BIASA
11,085/22/09,SMK NENASI,4.0,327,185,58,77,320,7,0,NENASI ,UNDI BIASA
12,085/22/10,SK MERCHONG JAYA,1.0,267,187,27,34,248,19,0,MERCHONG ,UNDI BIASA
12,085/22/10,SK MERCHONG JAYA,2.0,508,352,35,85,472,35,1,MERCHONG ,UNDI BIASA
12,085/22/10,SK MERCHONG JAYA,3.0,483,358,25,83,466,17,0,MERCHONG ,UNDI BIASA
12,085/22/10,SK MERCHONG JAYA,4.0,419,279,42,85,406,13,0,MERCHONG ,UNDI BIASA
12,085/22/10,SK MERCHONG JAYA,5.0,419,254,56,103,413,6,0,MERCHONG ,UNDI BIASA
13,085/22/11,DEWAN ORANG RAMAI KAMPUNG API LARAT,1.0,324,311,11,0,322,2,0,API LARAT ,UNDI BIASA
14,085/22/12,BALAI RAYA KAMPUNG SAWAH BATU,1.0,336,305,9,3,317,19,0,SAWAH BATU ,UNDI BIASA
15,085/22/13,SK KOTA PERDANA,1.0,389,217,41,120,378,11,0,KOTA PERDANA ,UNDI BIASA
16,085/22/14,SK SIMPAI,1.0,185,156,15,4,175,10,0,SIMPAI ,UNDI BIASA
16,085/22/14,SK SIMPAI,2.0,257,232,16,2,250,7,0,SIMPAI ,UNDI BIASA
17,085/22/15,SK RUNCHANG,1.0,300,273,10,5,288,12,0,RUNCHANG ,UNDI BIASA
17,085/22/15,SK RUNCHANG,2.0,290,262,10,3,275,15,0,RUNCHANG ,UNDI BIASA
17,085/22/15,SK RUNCHANG,3.0,293,272,12,2,286,7,0,RUNCHANG ,UNDI BIASA
18,085/22/16,SK BANDAR 2 PALOH HINAI,1.0,281,218,32,25,275,6,0,BANDAR DUA ,UNDI BIASA
18,085/22/16,SK BANDAR 2 PALOH HINAI,2.0,420,314,35,58,407,13,0,BANDAR DUA ,UNDI BIASA
