Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD RAZALI ITHNAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI ABU BAKAR BIN HARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD FADHIL NOOR USTAZ MOHD FADHIL NOOR Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,336,10,156,76,242,26,68,UNDI POS,UNDI POS
2,085/23/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON C),1.0,17,1,14,2,17,0,0,UNDI AWAL ,UNDI AWAL
3,085/23/01,SK KINCHIR,1.0,421,48,336,26,410,11,0,TERPAI ,UNDI BIASA
4,085/23/02,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,1.0,310,16,197,92,305,5,0,SALONG ,UNDI BIASA
5,085/23/03,SK MAMBANG,1.0,280,20,221,34,275,5,0,MAMBANG ,UNDI BIASA
5,085/23/03,SK MAMBANG,2.0,508,28,391,71,490,18,0,MAMBANG ,UNDI BIASA
6,085/23/04,SMK PALOH HINAI,1.0,272,15,224,27,266,6,0,PALOH HINAI ,UNDI BIASA
6,085/23/04,SMK PALOH HINAI,2.0,314,19,232,60,311,3,0,PALOH HINAI ,UNDI BIASA
6,085/23/04,SMK PALOH HINAI,3.0,293,17,224,52,293,0,0,PALOH HINAI ,UNDI BIASA
7,085/23/05,BALAI RAYA DAN PERPUSTAKAAN DESA KAMPUNG DUSUN,1.0,221,16,176,7,199,22,0,KAMPUNG DUSUN ,UNDI BIASA
7,085/23/05,BALAI RAYA DAN PERPUSTAKAAN DESA KAMPUNG DUSUN,2.0,289,17,261,3,281,8,0,KAMPUNG DUSUN ,UNDI BIASA
8,085/23/06,SK LKTP CHINI TIMUR 2,1.0,319,6,209,100,315,4,0,FELDA CHINI TIMUR 3 & 4 ,UNDI BIASA
8,085/23/06,SK LKTP CHINI TIMUR 2,2.0,385,15,217,153,385,0,0,FELDA CHINI TIMUR 3 & 4 ,UNDI BIASA
9,085/23/07,SK LKTP CHINI TIMUR 1,1.0,322,13,244,62,319,2,1,FELDA CHINI TIMUR 1 ,UNDI BIASA
9,085/23/07,SK LKTP CHINI TIMUR 1,2.0,523,24,380,117,521,2,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
9,085/23/07,SK LKTP CHINI TIMUR 1,3.0,444,25,282,136,443,1,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
9,085/23/07,SK LKTP CHINI TIMUR 1,4.0,494,27,290,168,485,9,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
10,085/23/08,SMK CHINI TIMUR,1.0,321,9,193,114,316,5,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
10,085/23/08,SMK CHINI TIMUR,2.0,398,17,211,164,392,6,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
10,085/23/08,SMK CHINI TIMUR,3.0,352,18,189,144,351,1,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
10,085/23/08,SMK CHINI TIMUR,4.0,371,16,166,186,368,3,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
11,085/23/09,SK LKTP CHINI 3 & 5,1.0,320,8,234,76,318,2,0,FELDA CHINI 5 ,UNDI BIASA
11,085/23/09,SK LKTP CHINI 3 & 5,2.0,461,16,306,136,458,3,0,FELDA CHINI 5 ,UNDI BIASA
11,085/23/09,SK LKTP CHINI 3 & 5,3.0,401,23,223,154,400,1,0,FELDA CHINI 5 ,UNDI BIASA
11,085/23/09,SK LKTP CHINI 3 & 5,4.0,422,23,226,171,420,2,0,FELDA CHINI 5 ,UNDI BIASA
12,085/23/10,SK LKTP CHINI 1 & 4,1.0,301,30,181,90,301,0,0,FELDA CHINI 4 ,UNDI BIASA
12,085/23/10,SK LKTP CHINI 1 & 4,2.0,417,30,239,141,410,7,0,FELDA CHINI 4 ,UNDI BIASA
12,085/23/10,SK LKTP CHINI 1 & 4,3.0,350,34,182,134,350,0,0,FELDA CHINI 4 ,UNDI BIASA
12,085/23/10,SK LKTP CHINI 1 & 4,4.0,343,27,169,146,342,1,0,FELDA CHINI 4 ,UNDI BIASA
12,085/23/10,SK LKTP CHINI 1 & 4,5.0,365,20,177,165,362,3,0,FELDA CHINI 4 ,UNDI BIASA
13,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,1.0,312,9,183,111,303,9,0,FELDA CHINI 1 ,UNDI BIASA
13,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,2.0,465,26,286,146,458,7,0,FELDA CHINI 1 ,UNDI BIASA
13,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,3.0,390,36,185,169,390,0,0,FELDA CHINI 1 ,UNDI BIASA
13,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,4.0,370,48,163,159,370,0,0,FELDA CHINI 1 ,UNDI BIASA
13,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,5.0,376,31,182,158,371,5,0,FELDA CHINI 1 ,UNDI BIASA
14,085/23/12,SMK CHINI,1.0,306,16,176,96,288,18,0,FELDA CHINI 2 ,UNDI BIASA
14,085/23/12,SMK CHINI,2.0,438,34,265,129,428,10,0,FELDA CHINI 2 ,UNDI BIASA
14,085/23/12,SMK CHINI,3.0,352,31,182,138,351,1,0,FELDA CHINI 2 ,UNDI BIASA
14,085/23/12,SMK CHINI,4.0,356,30,170,155,355,1,0,FELDA CHINI 2 ,UNDI BIASA
14,085/23/12,SMK CHINI,5.0,331,26,154,150,330,1,0,FELDA CHINI 2 ,UNDI BIASA
14,085/23/12,SMK CHINI,6.0,357,25,174,158,357,0,0,FELDA CHINI 2 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,1.0,329,21,201,98,320,9,0,FELDA CHINI 3 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,2.0,432,29,272,121,422,10,0,FELDA CHINI 3 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,3.0,348,37,166,144,347,1,0,FELDA CHINI 3 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,4.0,342,28,173,139,340,2,0,FELDA CHINI 3 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,5.0,358,26,165,165,356,2,0,FELDA CHINI 3 ,UNDI BIASA
15,085/23/13,KAFA KELAS AL-QURAN DAN FARDU AIN FELDA CHINI 03,6.0,366,24,180,162,366,0,0,FELDA CHINI 3 ,UNDI BIASA
