Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SOFIAN BIN ABD JALIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PN.NURHIDAYAH SHAHAIMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ROSLI BIN AMIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,323,97,141,10,248,43,32,UNDI POS,UNDI POS
2,086/24/00,BILIK NARKOTIK IBU PEJABAT POLIS DAERAH MARAN,1.0,198,33,152,9,194,4,0,UNDI AWAL,UNDI AWAL
3,086/24/01,SJK(C) PEI MIN SERI JAYA,1.0,254,7,60,182,249,5,0,KAMPUNG SERI JAYA ,UNDI BIASA
3,086/24/01,SJK(C) PEI MIN SERI JAYA,2.0,330,11,80,236,327,3,0,KAMPUNG SERI JAYA ,UNDI BIASA
3,086/24/01,SJK(C) PEI MIN SERI JAYA,3.0,324,12,70,241,323,1,0,KAMPUNG SERI JAYA ,UNDI BIASA
3,086/24/01,SJK(C) PEI MIN SERI JAYA,4.0,327,37,84,200,321,6,0,KAMPUNG SERI JAYA ,UNDI BIASA
4,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,1.0,290,105,167,15,287,3,0,KAMPUNG NEW ZEALAND ,UNDI BIASA
4,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,2.0,274,153,107,13,273,1,0,KAMPUNG NEW ZEALAND ,UNDI BIASA
4,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,3.0,266,132,96,34,262,4,0,KAMPUNG NEW ZEALAND ,UNDI BIASA
5,086/24/03,SK ULU LUIT,1.0,304,140,148,8,296,8,0,KAMPUNG LUIT ,UNDI BIASA
5,086/24/03,SK ULU LUIT,2.0,442,235,182,21,438,4,0,KAMPUNG LUIT ,UNDI BIASA
5,086/24/03,SK ULU LUIT,3.0,423,286,108,27,421,2,0,KAMPUNG LUIT ,UNDI BIASA
6,086/24/04,SK SERENGKAM,1.0,339,154,144,38,336,3,0,SERENGKAM ,UNDI BIASA
7,086/24/05,SK KUALA WAU,1.0,172,53,104,12,169,3,0,KUALA WAU ,UNDI BIASA
8,086/24/06,DEWAN MINI KAMPUNG LUBUK PAKU,1.0,366,174,160,23,357,9,0,LUBUK PAKU ,UNDI BIASA
9,086/24/07,SK SENGGORA,1.0,303,190,103,8,301,2,0,KAMPUNG SENGGORA ,UNDI BIASA
10,086/24/08,SK SRI KERAMAT,1.0,296,128,141,23,292,4,0,SRI KERAMAT ,UNDI BIASA
10,086/24/08,SK SRI KERAMAT,2.0,504,294,147,61,502,2,0,SRI KERAMAT ,UNDI BIASA
10,086/24/08,SK SRI KERAMAT,3.0,492,309,122,59,490,2,0,SRI KERAMAT ,UNDI BIASA
11,086/24/09,SK MARAN,1.0,247,86,115,33,234,13,0,BANDAR MARAN ,UNDI BIASA
11,086/24/09,SK MARAN,2.0,533,257,199,72,528,5,0,BANDAR MARAN ,UNDI BIASA
11,086/24/09,SK MARAN,3.0,469,235,171,60,466,3,0,BANDAR MARAN ,UNDI BIASA
11,086/24/09,SK MARAN,4.0,469,237,159,68,464,5,0,BANDAR MARAN ,UNDI BIASA
12,086/24/10,SK LKTP BUKIT TAJAU,1.0,289,78,189,10,277,12,0,FELDA BUKIT TAJAU ,UNDI BIASA
12,086/24/10,SK LKTP BUKIT TAJAU,2.0,497,220,232,43,495,2,0,FELDA BUKIT TAJAU ,UNDI BIASA
12,086/24/10,SK LKTP BUKIT TAJAU,3.0,447,211,192,41,444,3,0,FELDA BUKIT TAJAU ,UNDI BIASA
13,086/24/11,SK SENTOSA,1.0,303,136,154,11,301,2,0,KAMPUNG SENTOSA ,UNDI BIASA
13,086/24/11,SK SENTOSA,2.0,494,228,239,24,491,3,0,KAMPUNG SENTOSA ,UNDI BIASA
