Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI BOSTAMIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI SHAHANIZA BT SHAMSUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FAZIL AZMI BIN NADZRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,188,10,78,43,131,14,43,UNDI POS,UNDI POS
2,086/25/00,DEWAN RUANG LEGAR UTAMA TINGKAT 1 BALAI POLIS SUNGAI JERIK,1.0,12,0,11,1,12,0,0,UNDI AWAL,UNDI AWAL
3,086/25/01,SK LKTP JENGKA 1,1.0,293,28,213,41,282,11,0,FELDA JENGKA 1 ,UNDI BIASA
3,086/25/01,SK LKTP JENGKA 1,2.0,449,71,280,82,433,16,0,FELDA JENGKA 1 ,UNDI BIASA
3,086/25/01,SK LKTP JENGKA 1,3.0,396,64,213,117,394,2,0,FELDA JENGKA 1 ,UNDI BIASA
3,086/25/01,SK LKTP JENGKA 1,4.0,398,95,188,113,396,2,0,FELDA JENGKA 1 ,UNDI BIASA
4,086/25/02,SJK(C) JERIK,1.0,245,105,129,4,238,7,0,SUNGAI JERIK ,UNDI BIASA
4,086/25/02,SJK(C) JERIK,2.0,299,125,156,6,287,12,0,SUNGAI JERIK ,UNDI BIASA
4,086/25/02,SJK(C) JERIK,3.0,315,179,125,9,313,2,0,SUNGAI JERIK ,UNDI BIASA
5,086/25/03,SK KUALA SENTUL,1.0,235,31,130,67,228,7,0,KUALA SENTUL ,UNDI BIASA
5,086/25/03,SK KUALA SENTUL,2.0,306,18,157,122,297,9,0,KUALA SENTUL ,UNDI BIASA
5,086/25/03,SK KUALA SENTUL,3.0,313,26,183,103,312,1,0,KUALA SENTUL ,UNDI BIASA
6,086/25/04,SK LKTP JENGKA 5,1.0,311,12,204,84,300,11,0,FELDA JENGKA 5 ,UNDI BIASA
6,086/25/04,SK LKTP JENGKA 5,2.0,433,30,198,199,427,6,0,FELDA JENGKA 5 ,UNDI BIASA
6,086/25/04,SK LKTP JENGKA 5,3.0,434,34,181,217,432,2,0,FELDA JENGKA 5 ,UNDI BIASA
7,086/25/05,SK LKTP JENGKA 4,1.0,302,7,143,141,291,11,0,FELDA JENGKA 4 ,UNDI BIASA
7,086/25/05,SK LKTP JENGKA 4,2.0,542,23,253,262,538,4,0,FELDA JENGKA 4 ,UNDI BIASA
7,086/25/05,SK LKTP JENGKA 4,3.0,524,24,194,305,523,1,0,FELDA JENGKA 4 ,UNDI BIASA
8,086/25/06,SK LKTP JENGKA 3,1.0,287,9,184,83,276,11,0,FELDA JENGKA 3 ,UNDI BIASA
8,086/25/06,SK LKTP JENGKA 3,2.0,394,22,210,152,384,10,0,FELDA JENGKA 3 ,UNDI BIASA
8,086/25/06,SK LKTP JENGKA 3,3.0,369,28,163,169,360,9,0,FELDA JENGKA 3 ,UNDI BIASA
8,086/25/06,SK LKTP JENGKA 3,4.0,367,42,136,188,366,1,0,FELDA JENGKA 3 ,UNDI BIASA
9,086/25/07,SK LKTP JENGKA 2,1.0,284,15,203,60,278,6,0,FELDA JENGKA 2 ,UNDI BIASA
9,086/25/07,SK LKTP JENGKA 2,2.0,434,26,260,146,432,2,0,FELDA JENGKA 2 ,UNDI BIASA
9,086/25/07,SK LKTP JENGKA 2,3.0,415,48,211,152,411,4,0,FELDA JENGKA 2 ,UNDI BIASA
9,086/25/07,SK LKTP JENGKA 2,4.0,409,53,196,158,407,2,0,FELDA JENGKA 2 ,UNDI BIASA
10,086/25/08,SK LKTP ULU JEMPOL,1.0,271,16,202,48,266,5,0,ULU JEMPOL ,UNDI BIASA
10,086/25/08,SK LKTP ULU JEMPOL,2.0,494,44,316,126,486,7,1,ULU JEMPOL ,UNDI BIASA
10,086/25/08,SK LKTP ULU JEMPOL,3.0,417,55,220,141,416,1,0,ULU JEMPOL ,UNDI BIASA
10,086/25/08,SK LKTP ULU JEMPOL,4.0,428,59,204,163,426,2,0,ULU JEMPOL ,UNDI BIASA
