Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI ABDULLAH BIN YUSOH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FAIZAH BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HJ. MOHAMED BIN HJ. JAAFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,184,47,11,65,123,20,41,UNDI POS,UNDI POS
2,087/27/00,BILIK MAKLUMAT BALAI POLIS KUALA KRAU,1.0,10,1,0,9,10,0,0,UNDI AWAL,UNDI AWAL
3,087/27/01,DEWAN ORANG RAMAI KAMPUNG PIAN,1.0,375,5,47,290,342,33,0,KAMPUNG PIAN ,UNDI BIASA
4,087/27/02,TABIKA KEMAS KAMPUNG GONG HALT,1.0,300,113,23,150,286,14,0,SUNGAI MAI ,UNDI BIASA
4,087/27/02,TABIKA KEMAS KAMPUNG GONG HALT,2.0,467,246,38,179,463,4,0,SUNGAI MAI ,UNDI BIASA
5,087/27/03,SK KUALA MAI BHARU,1.0,391,166,27,192,385,6,0,KUALA MAI ,UNDI BIASA
6,087/27/04,SK PAYA LUAS,1.0,303,49,50,197,296,7,0,PAYA LUAS ,UNDI BIASA
6,087/27/04,SK PAYA LUAS,2.0,475,88,91,291,470,5,0,PAYA LUAS ,UNDI BIASA
7,087/27/05,SJK(C) KUALA KRAU,1.0,274,26,101,142,269,5,0,KUALA KRAU ,UNDI BIASA
7,087/27/05,SJK(C) KUALA KRAU,2.0,372,63,148,155,366,6,0,KUALA KRAU ,UNDI BIASA
7,087/27/05,SJK(C) KUALA KRAU,3.0,326,53,144,125,322,4,0,KUALA KRAU ,UNDI BIASA
7,087/27/05,SJK(C) KUALA KRAU,4.0,329,88,149,88,325,4,0,KUALA KRAU ,UNDI BIASA
7,087/27/05,SJK(C) KUALA KRAU,5.0,331,114,115,100,329,2,0,KUALA KRAU ,UNDI BIASA
8,087/27/06,SK LKTP JENDERAK UTARA,1.0,296,102,16,173,291,5,0,FELDA JENDERAK UTARA ,UNDI BIASA
8,087/27/06,SK LKTP JENDERAK UTARA,2.0,467,189,30,241,460,7,0,FELDA JENDERAK UTARA ,UNDI BIASA
8,087/27/06,SK LKTP JENDERAK UTARA,3.0,436,225,49,161,435,1,0,FELDA JENDERAK UTARA ,UNDI BIASA
8,087/27/06,SK LKTP JENDERAK UTARA,4.0,439,226,48,159,433,6,0,FELDA JENDERAK UTARA ,UNDI BIASA
9,087/27/07,SK JENDERAK,1.0,372,136,39,188,363,9,0,KAMPUNG JENDERAK ,UNDI BIASA
10,087/27/08,DEWAN SERBAGUNA KAMPUNG DATO' SHARIF AHMAD,1.0,278,58,65,150,273,5,0,KAMPUNG DATO SHARIFF ,UNDI BIASA
10,087/27/08,DEWAN SERBAGUNA KAMPUNG DATO' SHARIF AHMAD,2.0,291,76,80,130,286,5,0,KAMPUNG DATO SHARIFF ,UNDI BIASA
11,087/27/09,SK LKTP JENDERAK SELATAN,1.0,303,94,20,179,293,10,0,FELDA JENDERAK SELATAN ,UNDI BIASA
11,087/27/09,SK LKTP JENDERAK SELATAN,2.0,372,141,35,188,364,8,0,FELDA JENDERAK SELATAN ,UNDI BIASA
11,087/27/09,SK LKTP JENDERAK SELATAN,3.0,384,163,43,162,368,16,0,FELDA JENDERAK SELATAN ,UNDI BIASA
12,087/27/10,BALAI RAYA KAMPUNG PAYA PELONG,1.0,258,11,71,158,240,18,0,PAYA PELONG ,UNDI BIASA
13,087/27/11,SK PENDERAS,1.0,258,10,78,147,235,23,0,PENDERAS ,UNDI BIASA
13,087/27/11,SK PENDERAS,2.0,319,10,104,194,308,11,0,PENDERAS ,UNDI BIASA
