Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABIRERAH AWANG CHIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHUAH BOON SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG TAT CHEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WOO CHEE WAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,413,117,8,116,38,279,38,96,UNDI POS,UNDI POS
2,088/30/00,BILIK MESYUARAT BALAI POLIS MENTAKAB,1.0,94,24,2,60,5,91,3,0,UNDI AWAL,UNDI AWAL
3,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,1.0,290,3,23,50,208,284,6,0,TAMAN RIMBA ,UNDI BIASA
3,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,2.0,466,12,34,51,364,461,3,2,TAMAN RIMBA ,UNDI BIASA
3,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,3.0,441,9,31,50,346,436,5,0,TAMAN RIMBA ,UNDI BIASA
3,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,4.0,416,14,26,28,346,414,2,0,TAMAN RIMBA ,UNDI BIASA
3,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,5.0,434,31,35,33,333,432,2,0,TAMAN RIMBA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,1.0,296,33,9,96,144,282,14,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,2.0,514,89,20,129,273,511,3,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,3.0,473,53,23,96,298,470,3,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,4.0,471,65,27,82,294,468,3,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,5.0,439,62,30,66,278,436,3,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,6.0,471,88,29,64,288,469,2,0,BUKIT BENDERA ,UNDI BIASA
4,088/30/02,SMK HWA LIAN,7.0,483,105,32,73,273,483,0,0,BUKIT BENDERA ,UNDI BIASA
5,088/30/03,SJK(T) MENTAKAB,1.0,220,3,23,57,135,218,2,0,BANDAR MENTAKAB ,UNDI BIASA
5,088/30/03,SJK(T) MENTAKAB,2.0,291,16,22,50,200,288,3,0,BANDAR MENTAKAB ,UNDI BIASA
5,088/30/03,SJK(T) MENTAKAB,3.0,267,29,21,40,173,263,4,0,BANDAR MENTAKAB ,UNDI BIASA
6,088/30/04,DEWAN SERI MENTAKAB,1.0,393,41,17,98,235,391,2,0,SUNGAI SEMANTAN ,UNDI BIASA
7,088/30/05,SK ABU BAKAR,1.0,288,39,14,105,116,274,14,0,TANJUNG KERAYONG ,UNDI BIASA
7,088/30/05,SK ABU BAKAR,2.0,462,102,21,147,185,455,7,0,TANJUNG KERAYONG ,UNDI BIASA
7,088/30/05,SK ABU BAKAR,3.0,441,138,6,123,171,438,3,0,TANJUNG KERAYONG ,UNDI BIASA
8,088/30/06,SJK(C) MENTAKAB 1,1.0,262,5,25,61,161,252,10,0,KAMPUNG BAHARU ,UNDI BIASA
8,088/30/06,SJK(C) MENTAKAB 1,2.0,440,2,33,81,313,429,11,0,KAMPUNG BAHARU ,UNDI BIASA
8,088/30/06,SJK(C) MENTAKAB 1,3.0,438,0,35,54,344,433,5,0,KAMPUNG BAHARU ,UNDI BIASA
8,088/30/06,SJK(C) MENTAKAB 1,4.0,414,4,51,31,324,410,4,0,KAMPUNG BAHARU ,UNDI BIASA
8,088/30/06,SJK(C) MENTAKAB 1,5.0,399,1,32,28,336,397,2,0,KAMPUNG BAHARU ,UNDI BIASA
