Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI ABAS AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIDIR AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,449,39,199,1,85,324,44,81,UNDI POS,UNDI POS
2,088/31/00,RUMAH BAKAT 7 RRD (MEK),1.0,488,111,270,1,78,460,28,0,UNDI AWAL,UNDI AWAL
2,088/31/00,RUMAH BAKAT 7 RRD (MEK),2.0,442,99,244,5,59,407,35,0,UNDI AWAL,UNDI AWAL
3,088/31/01,SK LEBAK,1.0,302,31,166,4,92,293,9,0,TANJUNG BELENGU ,UNDI BIASA
3,088/31/01,SK LEBAK,2.0,514,58,262,3,179,502,12,0,TANJUNG BELENGU ,UNDI BIASA
3,088/31/01,SK LEBAK,3.0,488,98,196,10,183,487,1,0,TANJUNG BELENGU ,UNDI BIASA
4,088/31/02,MADRASAH AD-DINIAH KG PANGSENAM,1.0,561,66,179,3,306,554,7,0,PANGSENAM ,UNDI BIASA
5,088/31/03,SK KAMPUNG TENGAH,1.0,289,30,150,2,104,286,3,0,BUNTUT PULAU ,UNDI BIASA
5,088/31/03,SK KAMPUNG TENGAH,2.0,338,51,143,3,138,335,3,0,BUNTUT PULAU ,UNDI BIASA
5,088/31/03,SK KAMPUNG TENGAH,3.0,323,54,133,3,133,323,0,0,BUNTUT PULAU ,UNDI BIASA
6,088/31/04,SJK(C) YEOW CHENG LUAN,1.0,107,65,35,0,0,100,7,0,LADANG YEOW CHENG LUAN ,UNDI BIASA
7,088/31/05,SK DESA BAKTI,1.0,263,112,116,2,24,254,9,0,DESA BAKTI ,UNDI BIASA
7,088/31/05,SK DESA BAKTI,2.0,521,211,210,1,88,510,11,0,DESA BAKTI ,UNDI BIASA
7,088/31/05,SK DESA BAKTI,3.0,460,207,172,1,74,454,6,0,DESA BAKTI ,UNDI BIASA
7,088/31/05,SK DESA BAKTI,4.0,442,162,163,2,112,439,3,0,DESA BAKTI ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,1.0,308,153,114,1,37,305,3,0,SRI LAYANG ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,2.0,490,270,164,0,51,485,5,0,SRI LAYANG ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,3.0,450,305,106,0,36,447,3,0,SRI LAYANG ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,4.0,415,270,88,1,53,412,3,0,SRI LAYANG ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,5.0,406,274,72,0,56,402,4,0,SRI LAYANG ,UNDI BIASA
8,088/31/06,SMK SERI SEMANTAN,6.0,439,252,123,1,63,439,0,0,SRI LAYANG ,UNDI BIASA
9,088/31/07,SK BATU KAPOR,1.0,292,103,124,1,53,281,11,0,BATU KAPUR ,UNDI BIASA
9,088/31/07,SK BATU KAPOR,2.0,560,190,262,4,96,552,8,0,BATU KAPUR ,UNDI BIASA
9,088/31/07,SK BATU KAPOR,3.0,531,165,219,1,144,529,2,0,BATU KAPUR ,UNDI BIASA
10,088/31/08,SJK(T) LADANG EDENSOR,1.0,247,114,98,0,29,241,6,0,LADANG EDENSOR ,UNDI BIASA
11,088/31/09,BALAI RAYA SUNGAI KEPONG,1.0,298,19,223,0,52,294,4,0,SUNGAI KEPONG ,UNDI BIASA
11,088/31/09,BALAI RAYA SUNGAI KEPONG,2.0,366,36,244,0,83,363,3,0,SUNGAI KEPONG ,UNDI BIASA
12,088/31/10,SK RANTAU PANJANG,1.0,275,58,165,1,32,256,19,0,RANTAU PANJANG ,UNDI BIASA
12,088/31/10,SK RANTAU PANJANG,2.0,371,57,233,0,51,341,30,0,RANTAU PANJANG ,UNDI BIASA
12,088/31/10,SK RANTAU PANJANG,3.0,340,51,223,3,54,331,9,0,RANTAU PANJANG ,UNDI BIASA
13,088/31/11,BALAI RAYA KAMPUNG DALA,1.0,389,55,208,7,112,382,7,0,KAMPUNG DALA ,UNDI BIASA
14,088/31/12,SK KUALA KAUNG,1.0,233,78,121,1,26,226,7,0,KUALA KAWANG ,UNDI BIASA
14,088/31/12,SK KUALA KAUNG,2.0,344,120,137,0,82,339,5,0,KUALA KAWANG ,UNDI BIASA
15,088/31/13,SMK LANCHANG,1.0,270,127,107,1,28,263,7,0,BANDAR LANCHANG ,UNDI BIASA
15,088/31/13,SMK LANCHANG,2.0,422,176,179,1,64,420,2,0,BANDAR LANCHANG ,UNDI BIASA
15,088/31/13,SMK LANCHANG,3.0,405,183,158,0,64,405,0,0,BANDAR LANCHANG ,UNDI BIASA
16,088/31/14,SK LUBOK TERUA,1.0,287,30,151,3,97,281,6,0,MEMPATIH ,UNDI BIASA
16,088/31/14,SK LUBOK TERUA,2.0,438,56,189,0,186,431,7,0,MEMPATIH ,UNDI BIASA
16,088/31/14,SK LUBOK TERUA,3.0,426,56,171,1,186,414,12,0,MEMPATIH ,UNDI BIASA
17,088/31/15,SK BOLOK,1.0,262,29,169,2,51,251,11,0,BOLOK ,UNDI BIASA
17,088/31/15,SK BOLOK,2.0,379,43,231,1,99,374,5,0,BOLOK ,UNDI BIASA
17,088/31/15,SK BOLOK,3.0,340,46,196,3,87,332,8,0,BOLOK ,UNDI BIASA
18,088/31/16,SK LKTP BUKIT DAMAR,1.0,311,16,189,2,92,299,12,0,FELDA BUKIT DAMAR ,UNDI BIASA
18,088/31/16,SK LKTP BUKIT DAMAR,2.0,465,44,227,0,187,458,7,0,FELDA BUKIT DAMAR ,UNDI BIASA
18,088/31/16,SK LKTP BUKIT DAMAR,3.0,419,42,193,2,177,414,5,0,FELDA BUKIT DAMAR ,UNDI BIASA
18,088/31/16,SK LKTP BUKIT DAMAR,4.0,424,48,181,1,193,423,1,0,FELDA BUKIT DAMAR ,UNDI BIASA
19,088/31/17,SK LKTP LAKUM,1.0,312,20,190,0,82,292,20,0,FELDA LAKUM ,UNDI BIASA
19,088/31/17,SK LKTP LAKUM,2.0,519,66,289,0,157,512,7,0,FELDA LAKUM ,UNDI BIASA
19,088/31/17,SK LKTP LAKUM,3.0,469,81,220,1,162,464,5,0,FELDA LAKUM ,UNDI BIASA
19,088/31/17,SK LKTP LAKUM,4.0,459,72,222,0,159,453,6,0,FELDA LAKUM ,UNDI BIASA
