Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SYED HAMID B SYED MOHAMED,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' NOR AZMI BIN MAT LUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASSANUDDIN SALIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,795,66,370,193,629,54,112,UNDI POS,UNDI POS
2,088/32/00,DEWAN MAKAN MARKAS STESEN STAFF KEM BATU 3,1.0,410,80,185,135,400,10,0,UNDI AWAL ,UNDI AWAL
2,088/32/00,DEWAN MAKAN MARKAS STESEN STAFF KEM BATU 3,2.0,407,62,197,140,399,8,0,UNDI AWAL ,UNDI AWAL
2,088/32/00,BILIK MESYUARAT BALAI POLIS TEMERLOH,1.0,375,35,270,65,370,5,0,UNDI AWAL ,UNDI AWAL
3,088/32/01,SK MENTAKAB JAYA,1.0,308,80,123,104,307,1,0,SRI SEMANTAN ,UNDI BIASA
3,088/32/01,SK MENTAKAB JAYA,2.0,566,185,176,200,561,4,1,SRI SEMANTAN ,UNDI BIASA
3,088/32/01,SK MENTAKAB JAYA,3.0,556,210,149,193,552,4,0,SRI SEMANTAN ,UNDI BIASA
4,088/32/02,SK SANGGANG,1.0,293,14,205,73,292,1,0,SANGGANG ,UNDI BIASA
4,088/32/02,SK SANGGANG,2.0,469,50,239,172,461,8,0,SANGGANG ,UNDI BIASA
4,088/32/02,SK SANGGANG,3.0,446,88,181,176,445,1,0,SANGGANG ,UNDI BIASA
5,088/32/03,KOLEJ VOKASIONAL TEMERLOH,1.0,284,31,165,80,276,8,0,SONGSANG ,UNDI BIASA
5,088/32/03,KOLEJ VOKASIONAL TEMERLOH,2.0,409,55,198,150,403,6,0,SONGSANG ,UNDI BIASA
5,088/32/03,KOLEJ VOKASIONAL TEMERLOH,3.0,406,74,202,126,402,4,0,SONGSANG ,UNDI BIASA
5,088/32/03,KOLEJ VOKASIONAL TEMERLOH,4.0,402,72,184,138,394,8,0,SONGSANG ,UNDI BIASA
6,088/32/04,SK SANGGANG SEBERANG,1.0,305,15,146,135,296,9,0,SANGGANG SEBERANG ,UNDI BIASA
6,088/32/04,SK SANGGANG SEBERANG,2.0,537,40,218,273,531,6,0,SANGGANG SEBERANG ,UNDI BIASA
7,088/32/05,SK SUNGAI GAU,1.0,310,39,148,116,303,7,0,KAMPUNG GAU ,UNDI BIASA
7,088/32/05,SK SUNGAI GAU,2.0,371,66,128,174,368,3,0,KAMPUNG GAU ,UNDI BIASA
7,088/32/05,SK SUNGAI GAU,3.0,371,82,96,192,370,1,0,KAMPUNG GAU ,UNDI BIASA
8,088/32/06,SK TELOK IRA,1.0,361,34,178,149,361,0,0,TELUK IRA ,UNDI BIASA
9,088/32/07,SK BANGAU,1.0,264,39,145,77,261,3,0,BANGAU ,UNDI BIASA
9,088/32/07,SK BANGAU,2.0,298,93,93,112,298,0,0,BANGAU ,UNDI BIASA
10,088/32/08,SJK(C) KHEE CHEE,1.0,264,170,70,13,253,11,0,BANDAR TEMERLOH ,UNDI BIASA
10,088/32/08,SJK(C) KHEE CHEE,2.0,445,300,85,58,443,2,0,BANDAR TEMERLOH ,UNDI BIASA
10,088/32/08,SJK(C) KHEE CHEE,3.0,449,338,62,46,446,3,0,BANDAR TEMERLOH ,UNDI BIASA
11,088/32/09,SMK TEMERLOH,1.0,270,77,109,80,266,4,0,KAMPUNG BATU ,UNDI BIASA
11,088/32/09,SMK TEMERLOH,2.0,440,146,133,160,439,1,0,KAMPUNG BATU ,UNDI BIASA
11,088/32/09,SMK TEMERLOH,3.0,430,171,82,174,427,3,0,KAMPUNG BATU ,UNDI BIASA
12,088/32/10,SK JALAN BAHAGIA,1.0,260,181,46,29,256,4,0,JALAN BAHAGIA ,UNDI BIASA
12,088/32/10,SK JALAN BAHAGIA,2.0,539,349,84,103,536,3,0,JALAN BAHAGIA ,UNDI BIASA
12,088/32/10,SK JALAN BAHAGIA,3.0,502,335,75,91,501,0,1,JALAN BAHAGIA ,UNDI BIASA
12,088/32/10,SK JALAN BAHAGIA,4.0,484,317,70,96,483,1,0,JALAN BAHAGIA ,UNDI BIASA
12,088/32/10,SK JALAN BAHAGIA,5.0,520,327,64,125,516,4,0,JALAN BAHAGIA ,UNDI BIASA
13,088/32/11,SMK SERI BAHAGIA,1.0,274,67,133,66,266,8,0,SRI BAHAGIA ,UNDI BIASA
13,088/32/11,SMK SERI BAHAGIA,2.0,391,132,140,115,387,3,1,SRI BAHAGIA ,UNDI BIASA
13,088/32/11,SMK SERI BAHAGIA,3.0,365,125,131,109,365,0,0,SRI BAHAGIA ,UNDI BIASA
13,088/32/11,SMK SERI BAHAGIA,4.0,354,134,94,124,352,2,0,SRI BAHAGIA ,UNDI BIASA
13,088/32/11,SMK SERI BAHAGIA,5.0,376,153,108,113,374,2,0,SRI BAHAGIA ,UNDI BIASA
14,088/32/12,SK BANDAR TEMERLOH,1.0,248,128,74,46,248,0,0,LUBUK PASU ,UNDI BIASA
14,088/32/12,SK BANDAR TEMERLOH,2.0,313,162,74,77,313,0,0,LUBUK PASU ,UNDI BIASA
14,088/32/12,SK BANDAR TEMERLOH,3.0,296,138,61,96,295,1,0,LUBUK PASU ,UNDI BIASA
15,088/32/13,SMK SEBERANG TEMERLOH,1.0,291,41,142,101,284,7,0,TANJUNG BATU ,UNDI BIASA
15,088/32/13,SMK SEBERANG TEMERLOH,2.0,497,80,173,242,495,2,0,TANJUNG BATU ,UNDI BIASA
15,088/32/13,SMK SEBERANG TEMERLOH,3.0,478,112,138,227,477,1,0,TANJUNG BATU ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,1.0,249,11,138,94,243,6,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,2.0,564,71,270,217,558,6,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,3.0,564,48,209,305,562,2,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,4.0,523,56,224,241,521,2,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,5.0,512,70,180,260,510,2,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,6.0,500,99,176,222,497,3,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,7.0,502,116,156,228,500,2,0,PAYA PULAI ,UNDI BIASA
16,088/32/14,SK PAYA PULAI,8.0,526,79,170,274,523,3,0,PAYA PULAI ,UNDI BIASA
17,088/32/15,TABIKA KEMAS KAMPUNG LEBAK SEBERANG,1.0,373,52,213,101,366,7,0,LEBAK SEBERANG ,UNDI BIASA
