Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE CHIN CHEN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) POO MUN HOONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD ZAMRI BIN NONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,276,26,105,48,179,53,44,UNDI POS,UNDI POS
2,089/33/00,KELAB POLIS IBU PEJABAT POLIS DAERAH BENTONG,1.0,286,14,230,39,283,3,0,UNDI AWAL ,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,1.0,329,27,174,118,319,10,0,UNDI AWAL ,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,2.0,288,16,173,99,288,0,0,UNDI AWAL ,UNDI AWAL
3,089/33/01,SMK LKTP LURAH BILUT,1.0,258,67,150,33,250,8,0,FELDA LURAH BILUT ,UNDI BIASA
3,089/33/01,SMK LKTP LURAH BILUT,2.0,446,160,194,91,445,0,1,FELDA LURAH BILUT ,UNDI BIASA
3,089/33/01,SMK LKTP LURAH BILUT,3.0,428,147,166,113,426,2,0,FELDA LURAH BILUT ,UNDI BIASA
3,089/33/01,SMK LKTP LURAH BILUT,4.0,412,171,129,104,404,8,0,FELDA LURAH BILUT ,UNDI BIASA
3,089/33/01,SMK LKTP LURAH BILUT,5.0,404,143,127,133,403,1,0,FELDA LURAH BILUT ,UNDI BIASA
4,089/33/02,SK LEBU,1.0,301,22,208,68,298,3,0,KAMPUNG LEBU ,UNDI BIASA
4,089/33/02,SK LEBU,2.0,386,63,182,136,381,5,0,KAMPUNG LEBU ,UNDI BIASA
5,089/33/03,SK SULAIMAN,1.0,263,147,111,2,260,3,0,BANDAR BENTONG ,UNDI BIASA
5,089/33/03,SK SULAIMAN,2.0,585,375,190,18,583,2,0,BANDAR BENTONG ,UNDI BIASA
5,089/33/03,SK SULAIMAN,3.0,594,439,120,33,592,2,0,BANDAR BENTONG ,UNDI BIASA
5,089/33/03,SK SULAIMAN,4.0,569,425,93,48,566,3,0,BANDAR BENTONG ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,1.0,278,140,126,5,271,7,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,2.0,502,348,139,10,497,5,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,3.0,498,353,124,20,497,1,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,4.0,501,399,91,6,496,5,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,5.0,479,408,60,10,478,1,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,6.0,472,384,62,25,471,1,0,KEMANSUR ,UNDI BIASA
6,089/33/04,SJK(C) KHAI MUN PAGI,7.0,484,385,57,41,483,1,0,KEMANSUR ,UNDI BIASA
7,089/33/05,SJK(T) BENTONG,1.0,267,167,86,11,264,3,0,CHAMANG ,UNDI BIASA
7,089/33/05,SJK(T) BENTONG,2.0,514,367,128,14,509,5,0,CHAMANG ,UNDI BIASA
7,089/33/05,SJK(T) BENTONG,3.0,498,409,66,23,498,0,0,CHAMANG ,UNDI BIASA
8,089/33/06,SJK(C) KHAI MUN REPAS,1.0,287,148,117,15,280,7,0,REPAS ,UNDI BIASA
8,089/33/06,SJK(C) KHAI MUN REPAS,2.0,484,313,124,44,481,3,0,REPAS ,UNDI BIASA
8,089/33/06,SJK(C) KHAI MUN REPAS,3.0,474,332,97,43,472,2,0,REPAS ,UNDI BIASA
9,089/33/07,SJK(C) KHAI MUN CHAMANG,1.0,273,102,138,22,262,11,0,CHAMANG LUAR ,UNDI BIASA
9,089/33/07,SJK(C) KHAI MUN CHAMANG,2.0,430,219,158,48,425,5,0,CHAMANG LUAR ,UNDI BIASA
9,089/33/07,SJK(C) KHAI MUN CHAMANG,3.0,399,192,130,70,392,7,0,CHAMANG LUAR ,UNDI BIASA
9,089/33/07,SJK(C) KHAI MUN CHAMANG,4.0,391,212,101,74,387,4,0,CHAMANG LUAR ,UNDI BIASA
10,089/33/08,SMK KHAI MUN,1.0,289,161,109,19,289,0,0,CHAMANG BAHARU ,UNDI BIASA
10,089/33/08,SMK KHAI MUN,2.0,433,237,128,63,428,5,0,CHAMANG BAHARU ,UNDI BIASA
10,089/33/08,SMK KHAI MUN,3.0,413,204,119,86,409,4,0,CHAMANG BAHARU ,UNDI BIASA
11,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,1.0,304,150,118,23,291,11,2,DESA DAMAI ,UNDI BIASA
11,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,2.0,573,338,152,82,572,1,0,DESA DAMAI ,UNDI BIASA
11,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,3.0,552,330,118,102,550,2,0,DESA DAMAI ,UNDI BIASA
12,089/33/10,SJK(C) SUNGAI PENJURING,1.0,186,90,87,4,181,5,0,SUNGAI PENJURING ,UNDI BIASA
