Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' R.GOONASAKAREN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMACHE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) T. KARUNANEETHI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD KHAIRUDDIN BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,128,51,15,1,28,95,14,19,UNDI POS,UNDI POS
2,089/35/00,BILIK MAKLUMAT BALAI POLIS KARAK,1.0,23,20,0,0,2,22,1,0,UNDI AWAL,UNDI AWAL
3,089/35/01,SK LKTP KAMPUNG SERTIK,1.0,306,225,22,0,39,286,20,0,FELDA SERTIK ,UNDI BIASA
3,089/35/01,SK LKTP KAMPUNG SERTIK,2.0,454,278,41,5,127,451,3,0,FELDA SERTIK ,UNDI BIASA
3,089/35/01,SK LKTP KAMPUNG SERTIK,3.0,412,227,48,1,130,406,6,0,FELDA SERTIK ,UNDI BIASA
3,089/35/01,SK LKTP KAMPUNG SERTIK,4.0,431,240,66,3,115,424,7,0,FELDA SERTIK ,UNDI BIASA
4,089/35/02,SK JAMBU RIAS,1.0,272,169,58,4,34,265,7,0,JAMBU RIAS ,UNDI BIASA
4,089/35/02,SK JAMBU RIAS,2.0,398,237,62,2,91,392,6,0,JAMBU RIAS ,UNDI BIASA
4,089/35/02,SK JAMBU RIAS,3.0,395,181,71,4,131,387,8,0,JAMBU RIAS ,UNDI BIASA
5,089/35/03,SJK(T) SRI TELEMONG,1.0,229,91,122,5,4,222,7,0,SRI TELEMONG ,UNDI BIASA
5,089/35/03,SJK(T) SRI TELEMONG,2.0,338,91,225,8,4,328,10,0,SRI TELEMONG ,UNDI BIASA
6,089/35/04,SMK KARAK,1.0,283,123,130,2,21,276,7,0,PEKAN KARAK ,UNDI BIASA
6,089/35/04,SMK KARAK,2.0,522,206,251,12,40,509,13,0,PEKAN KARAK ,UNDI BIASA
6,089/35/04,SMK KARAK,3.0,496,154,274,11,53,492,4,0,PEKAN KARAK ,UNDI BIASA
6,089/35/04,SMK KARAK,4.0,500,120,332,7,40,499,1,0,PEKAN KARAK ,UNDI BIASA
6,089/35/04,SMK KARAK,5.0,465,102,305,12,41,460,5,0,PEKAN KARAK ,UNDI BIASA
6,089/35/04,SMK KARAK,6.0,502,126,304,14,55,499,3,0,PEKAN KARAK ,UNDI BIASA
7,089/35/05,SMK KARAK SETIA,1.0,294,165,63,1,57,286,8,0,KARAK SETIA ,UNDI BIASA
7,089/35/05,SMK KARAK SETIA,2.0,302,129,68,3,99,299,3,0,KARAK SETIA ,UNDI BIASA
7,089/35/05,SMK KARAK SETIA,3.0,297,106,79,1,111,297,0,0,KARAK SETIA ,UNDI BIASA
8,089/35/06,SJK(T) KARAK,1.0,274,133,120,7,12,272,2,0,BUKIT DINDING ,UNDI BIASA
8,089/35/06,SJK(T) KARAK,2.0,434,159,221,3,41,424,10,0,BUKIT DINDING ,UNDI BIASA
9,089/35/07,SJK(C) KARAK,1.0,283,102,157,8,14,281,2,0,TAMAN KARAK ,UNDI BIASA
9,089/35/07,SJK(C) KARAK,2.0,337,58,252,13,12,335,2,0,TAMAN KARAK ,UNDI BIASA
10,089/35/08,SK KARAK,1.0,260,113,135,3,2,253,7,0,KAMPUNG BARU KARAK ,UNDI BIASA
10,089/35/08,SK KARAK,2.0,445,150,284,3,1,438,7,0,KAMPUNG BARU KARAK ,UNDI BIASA
10,089/35/08,SK KARAK,3.0,413,76,327,6,3,412,1,0,KAMPUNG BARU KARAK ,UNDI BIASA
10,089/35/08,SK KARAK,4.0,398,47,342,6,1,396,2,0,KAMPUNG BARU KARAK ,UNDI BIASA
