Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAHARIM BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI DIRAJA ADNAN BIN YAAKOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU NOR HAIZAN @ CIKGU ENAB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,171,29,62,22,113,18,40,UNDI POS,UNDI POS
2,089/36/00,RUMAH REHAT BALAI POLIS MANCHIS,1.0,36,0,33,0,33,2,1,UNDI AWAL,UNDI AWAL
3,089/36/01,SK LKTP KEMASUL,1.0,323,96,199,20,315,8,0,FELDA SUNGAI KEMASUL ,UNDI BIASA
3,089/36/01,SK LKTP KEMASUL,2.0,519,181,304,28,513,6,0,FELDA SUNGAI KEMASUL ,UNDI BIASA
3,089/36/01,SK LKTP KEMASUL,3.0,437,141,210,84,435,2,0,FELDA SUNGAI KEMASUL ,UNDI BIASA
3,089/36/01,SK LKTP KEMASUL,4.0,456,193,205,57,455,1,0,FELDA SUNGAI KEMASUL ,UNDI BIASA
4,089/36/02,SMK LKTP CHEMOMOI,1.0,306,46,220,24,290,1,15,FELDA CHEMOMOI ,UNDI BIASA
4,089/36/02,SMK LKTP CHEMOMOI,2.0,567,119,383,63,565,2,0,FELDA CHEMOMOI ,UNDI BIASA
4,089/36/02,SMK LKTP CHEMOMOI,3.0,497,118,269,109,496,1,0,FELDA CHEMOMOI ,UNDI BIASA
4,089/36/02,SMK LKTP CHEMOMOI,4.0,483,122,206,154,482,1,0,FELDA CHEMOMOI ,UNDI BIASA
5,089/36/03,SK LKTP SUNGAI KEMAHAL,1.0,296,38,211,38,287,9,0,FELDA SUNGAI KEMAHAL ,UNDI BIASA
5,089/36/03,SK LKTP SUNGAI KEMAHAL,2.0,518,122,285,102,509,9,0,FELDA SUNGAI KEMAHAL ,UNDI BIASA
5,089/36/03,SK LKTP SUNGAI KEMAHAL,3.0,464,163,178,122,463,1,0,FELDA SUNGAI KEMAHAL ,UNDI BIASA
6,089/36/04,SK PELANGAI JAWI-JAWI,1.0,306,35,218,43,296,10,0,KAMPUNG JAWI-JAWI ,UNDI BIASA
6,089/36/04,SK PELANGAI JAWI-JAWI,2.0,334,57,215,58,330,4,0,KAMPUNG JAWI-JAWI ,UNDI BIASA
6,089/36/04,SK PELANGAI JAWI-JAWI,3.0,326,54,178,91,323,2,1,KAMPUNG JAWI-JAWI ,UNDI BIASA
7,089/36/05,SMK SERI PELANGAI,1.0,294,39,182,65,286,8,0,SIMPANG PELANGAI ,UNDI BIASA
7,089/36/05,SMK SERI PELANGAI,2.0,457,86,224,147,457,0,0,SIMPANG PELANGAI ,UNDI BIASA
7,089/36/05,SMK SERI PELANGAI,3.0,456,87,195,171,453,3,0,SIMPANG PELANGAI ,UNDI BIASA
8,089/36/06,SJK(C) MANCHIS,1.0,300,9,161,124,294,6,0,MANCHIS ,UNDI BIASA
8,089/36/06,SJK(C) MANCHIS,2.0,347,24,145,173,342,5,0,MANCHIS ,UNDI BIASA
8,089/36/06,SJK(C) MANCHIS,3.0,354,23,166,162,351,3,0,MANCHIS ,UNDI BIASA
9,089/36/07,DEWAN SERBAGUNA SUNGAI GAPOI,1.0,256,9,108,129,246,10,0,SUNGAI GAPOI ,UNDI BIASA
9,089/36/07,DEWAN SERBAGUNA SUNGAI GAPOI,2.0,586,13,335,226,574,10,2,SUNGAI GAPOI ,UNDI BIASA
10,089/36/08,SJK(C) TELEMONG,1.0,288,4,134,147,285,3,0,TELEMONG ,UNDI BIASA
10,089/36/08,SJK(C) TELEMONG,2.0,436,1,155,270,426,10,0,TELEMONG ,UNDI BIASA
10,089/36/08,SJK(C) TELEMONG,3.0,409,2,75,329,406,3,0,TELEMONG ,UNDI BIASA
11,089/36/09,BALAI RAYA KG. SUNGAI PERDAK,1.0,320,6,154,140,300,20,0,SUNGAI PERDAK ,UNDI BIASA
