Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SHAHRUL BIN MOHAMED,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAJDIL FAUZI ABD AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NOROL AZALI BIN SULAIMANJumlah undian NOROL AZALI BIN SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,372,61,22,176,259,25,88,UNDI POS,UNDI POS
2,090/37/00,BILIK DARJAH 1 BANGUNAN PERKEP IBU PEJABAT POLIS DAERAH BERA,1.0,12,1,0,11,12,0,0,UNDI AWAL,UNDI AWAL
3,090/37/01,SK CHARUK PUTING,1.0,302,77,11,205,293,9,0,CHAROK PUTING ,UNDI BIASA
3,090/37/01,SK CHARUK PUTING,2.0,416,171,53,187,411,5,0,CHAROK PUTING ,UNDI BIASA
4,090/37/02,SK BATU BOR,1.0,248,73,21,138,232,16,0,BATU BOR ,UNDI BIASA
5,090/37/03,SK BOHOR BAHARU,1.0,259,66,31,158,255,4,0,BOHOR BAHARU ,UNDI BIASA
5,090/37/03,SK BOHOR BAHARU,2.0,296,76,41,176,293,3,0,BOHOR BAHARU ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,1.0,306,96,20,167,283,23,0,FELDA PURUN ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,2.0,496,172,40,279,491,5,0,FELDA PURUN ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,3.0,427,193,43,189,425,2,0,FELDA PURUN ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,4.0,393,163,44,182,389,4,0,FELDA PURUN ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,5.0,399,184,35,178,397,2,0,FELDA PURUN ,UNDI BIASA
6,090/37/04,SK LKTP PURUN,6.0,439,214,52,171,437,2,0,FELDA PURUN ,UNDI BIASA
7,090/37/05,SK LKTP MAYAM,1.0,287,89,16,177,282,5,0,FELDA MAYAM ,UNDI BIASA
7,090/37/05,SK LKTP MAYAM,2.0,543,188,48,299,535,8,0,FELDA MAYAM ,UNDI BIASA
7,090/37/05,SK LKTP MAYAM,3.0,476,213,50,210,473,3,0,FELDA MAYAM ,UNDI BIASA
7,090/37/05,SK LKTP MAYAM,4.0,487,210,72,203,485,2,0,FELDA MAYAM ,UNDI BIASA
8,090/37/06,SK LKTP KUMAI,1.0,307,105,10,181,296,10,1,FELDA KUMAI ,UNDI BIASA
8,090/37/06,SK LKTP KUMAI,2.0,524,161,25,316,502,22,0,FELDA KUMAI ,UNDI BIASA
8,090/37/06,SK LKTP KUMAI,3.0,436,148,61,226,435,1,0,FELDA KUMAI ,UNDI BIASA
8,090/37/06,SK LKTP KUMAI,4.0,433,166,52,208,426,7,0,FELDA KUMAI ,UNDI BIASA
8,090/37/06,SK LKTP KUMAI,5.0,440,177,47,211,435,5,0,FELDA KUMAI ,UNDI BIASA
9,090/37/07,SK LKTP BUKIT KEPAYANG,1.0,303,90,5,196,291,12,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
9,090/37/07,SK LKTP BUKIT KEPAYANG,2.0,425,166,20,236,422,3,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
9,090/37/07,SK LKTP BUKIT KEPAYANG,3.0,386,186,36,163,385,1,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
9,090/37/07,SK LKTP BUKIT KEPAYANG,4.0,389,170,43,172,385,4,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
10,090/37/08,SK BUKIT ROK,1.0,245,6,85,142,233,12,0,BUKIT ROK ,UNDI BIASA
10,090/37/08,SK BUKIT ROK,2.0,317,4,134,174,312,5,0,BUKIT ROK ,UNDI BIASA
11,090/37/09,SK BATU PAPAN,1.0,283,42,25,206,273,10,0,KUALA BERA ,UNDI BIASA
11,090/37/09,SK BATU PAPAN,2.0,340,61,42,224,327,13,0,KUALA BERA ,UNDI BIASA
11,090/37/09,SK BATU PAPAN,3.0,317,72,44,199,315,2,0,KUALA BERA ,UNDI BIASA
12,090/37/10,SK KUALA TRIANG,1.0,298,124,31,138,293,5,0,KUALA TRIANG ,UNDI BIASA
12,090/37/10,SK KUALA TRIANG,2.0,379,126,49,202,377,2,0,KUALA TRIANG ,UNDI BIASA
12,090/37/10,SK KUALA TRIANG,3.0,380,137,57,186,380,0,0,KUALA TRIANG ,UNDI BIASA
13,090/37/11,SK GUAI,1.0,337,59,50,222,331,6,0,SENYUM JEMPOL ,UNDI BIASA
14,090/37/12,SK DURIAN TAWAR,1.0,286,57,29,195,281,5,0,DURIAN TAWAR ,UNDI BIASA
14,090/37/12,SK DURIAN TAWAR,2.0,541,154,69,315,538,3,0,DURIAN TAWAR ,UNDI BIASA
15,090/37/13,SJK(C) MENGKARAK,1.0,261,3,155,102,260,1,0,MENGKARAK ,UNDI BIASA
15,090/37/13,SJK(C) MENGKARAK,2.0,476,5,334,128,467,9,0,MENGKARAK ,UNDI BIASA
15,090/37/13,SJK(C) MENGKARAK,3.0,481,6,373,98,477,4,0,MENGKARAK ,UNDI BIASA
16,090/37/14,SMK SERI BERA,1.0,304,92,34,176,302,2,0,PADANG LUAS ,UNDI BIASA
16,090/37/14,SMK SERI BERA,2.0,438,152,63,220,435,3,0,PADANG LUAS ,UNDI BIASA
16,090/37/14,SMK SERI BERA,3.0,420,136,75,205,416,4,0,PADANG LUAS ,UNDI BIASA
