Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BOB MANOLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MD YUSOF BIN CHE DIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD FADIL BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,295,25,43,126,194,21,80,UNDI POS,UNDI POS
2,090/39/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH BERA (ZON B),1.0,32,11,4,15,30,2,0,UNDI AWAL ,UNDI AWAL
2,090/39/00,"KOMPLEKS SAJIAN BATALION KE 11, REJIMEN SEMPADAN, KEM BERA",1.0,633,40,106,476,622,8,3,UNDI AWAL ,UNDI AWAL
2,090/39/00,"KOMPLEKS SAJIAN BATALION KE 11, REJIMEN SEMPADAN, KEM BERA",2.0,602,54,106,435,595,7,0,UNDI AWAL ,UNDI AWAL
3,090/39/01,SK BUKIT GEMURUH,1.0,488,96,9,333,438,50,0,BUKIT GEMUROH ,UNDI BIASA
4,090/39/02,SMK TRIANG 3,1.0,310,27,78,199,304,6,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
4,090/39/02,SMK TRIANG 3,2.0,389,50,92,244,386,3,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
4,090/39/02,SMK TRIANG 3,3.0,349,63,104,180,347,2,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
5,090/39/03,SK LKTP TEMENTI,1.0,308,11,74,210,295,13,0,FELDA TEMENTI ,UNDI BIASA
5,090/39/03,SK LKTP TEMENTI,2.0,493,47,177,256,480,13,0,FELDA TEMENTI ,UNDI BIASA
5,090/39/03,SK LKTP TEMENTI,3.0,464,63,198,198,459,5,0,FELDA TEMENTI ,UNDI BIASA
5,090/39/03,SK LKTP TEMENTI,4.0,463,68,219,175,462,1,0,FELDA TEMENTI ,UNDI BIASA
6,090/39/04,SK LKTP RENTAM,1.0,323,19,98,198,315,8,0,FELDA RENTAM ,UNDI BIASA
6,090/39/04,SK LKTP RENTAM,2.0,458,40,145,267,452,6,0,FELDA RENTAM ,UNDI BIASA
6,090/39/04,SK LKTP RENTAM,3.0,422,51,169,200,420,2,0,FELDA RENTAM ,UNDI BIASA
6,090/39/04,SK LKTP RENTAM,4.0,442,65,195,171,431,11,0,FELDA RENTAM ,UNDI BIASA
7,090/39/05,SK LKTP SEBERTAK,1.0,317,18,45,248,311,6,0,FELDA SEBERTAK ,UNDI BIASA
7,090/39/05,SK LKTP SEBERTAK,2.0,417,38,96,279,413,4,0,FELDA SEBERTAK ,UNDI BIASA
7,090/39/05,SK LKTP SEBERTAK,3.0,379,48,134,190,372,7,0,FELDA SEBERTAK ,UNDI BIASA
7,090/39/05,SK LKTP SEBERTAK,4.0,352,51,132,167,350,2,0,FELDA SEBERTAK ,UNDI BIASA
8,090/39/06,DEWAN ORANG RAMAI BERA SELATAN 4 & 7,1.0,187,43,16,121,180,7,0,FELDA BERA SELATAN ,UNDI BIASA
9,090/39/07,DEWAN KAMPUNG PASAL,1.0,256,20,23,202,245,11,0,KAMPUNG PASAL ,UNDI BIASA
10,090/39/08,SK ISKANDAR,1.0,270,56,8,185,249,21,0,POS ISKANDAR ,UNDI BIASA
10,090/39/08,SK ISKANDAR,2.0,350,99,6,227,332,18,0,POS ISKANDAR ,UNDI BIASA
10,090/39/08,SK ISKANDAR,3.0,329,115,0,204,319,10,0,POS ISKANDAR ,UNDI BIASA
11,090/39/09,SK LKTP TEMBANGAU 1,1.0,319,51,46,213,310,9,0,FELDA TEMBANGAU ,UNDI BIASA
11,090/39/09,SK LKTP TEMBANGAU 1,2.0,593,91,110,369,570,23,0,FELDA TEMBANGAU ,UNDI BIASA
11,090/39/09,SK LKTP TEMBANGAU 1,3.0,531,95,90,343,528,3,0,FELDA TEMBANGAU ,UNDI BIASA
11,090/39/09,SK LKTP TEMBANGAU 1,4.0,536,118,142,274,534,2,0,FELDA TEMBANGAU ,UNDI BIASA
11,090/39/09,SK LKTP TEMBANGAU 1,5.0,569,100,155,314,569,0,0,FELDA TEMBANGAU ,UNDI BIASA
12,090/39/10,SK LKTP TRIANG 2,1.0,323,45,57,181,283,40,0,FELDA TRIANG SATU ,UNDI BIASA
12,090/39/10,SK LKTP TRIANG 2,2.0,483,89,150,229,468,15,0,FELDA TRIANG SATU ,UNDI BIASA
13,090/39/11,SK KEMAYAN,1.0,251,35,38,173,246,5,0,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
13,090/39/11,SK KEMAYAN,2.0,316,59,52,198,309,7,0,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
13,090/39/11,SK KEMAYAN,3.0,284,36,76,165,277,6,1,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
14,090/39/12,SMK KEMAYAN,1.0,261,196,4,55,255,6,0,KEMAYAN ,UNDI BIASA
14,090/39/12,SMK KEMAYAN,2.0,528,386,19,109,514,14,0,KEMAYAN ,UNDI BIASA
14,090/39/12,SMK KEMAYAN,3.0,513,391,14,104,509,4,0,KEMAYAN ,UNDI BIASA
14,090/39/12,SMK KEMAYAN,4.0,501,428,11,60,499,2,0,KEMAYAN ,UNDI BIASA
14,090/39/12,SMK KEMAYAN,5.0,516,422,17,76,515,1,0,KEMAYAN ,UNDI BIASA
15,090/39/13,SJK(C) KEMAYAN,1.0,126,52,7,61,120,6,0,LADANG KEMAYAN ,UNDI BIASA
