Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SAMSIAH BINTI ARSHAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NAZRI BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULKURNAIN BIN MOHAMAD RIDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,363,144,91,11,246,29,88,UNDI POS,UNDI POS
2,091/40/00,DEWAN SERI IBAM SKN 322 TUDM,1.0,296,117,126,50,293,3,0,UNDI AWAL,UNDI AWAL
3,091/40/01,SEKOLAH MENENGAH AGAMA BUKIT IBAM,1.0,206,119,32,38,189,17,0,BANDAR BUKIT IBAM ,UNDI BIASA
3,091/40/01,SEKOLAH MENENGAH AGAMA BUKIT IBAM,2.0,287,147,54,70,271,15,1,BANDAR BUKIT IBAM ,UNDI BIASA
3,091/40/01,SEKOLAH MENENGAH AGAMA BUKIT IBAM,3.0,281,143,76,56,275,6,0,BANDAR BUKIT IBAM ,UNDI BIASA
3,091/40/01,SEKOLAH MENENGAH AGAMA BUKIT IBAM,4.0,276,103,94,73,270,6,0,BANDAR BUKIT IBAM ,UNDI BIASA
4,091/40/02,SK KAMPUNG AUR,1.0,180,124,38,15,177,3,0,KAMPUNG AUR ,UNDI BIASA
4,091/40/02,SK KAMPUNG AUR,2.0,225,147,35,20,202,23,0,KAMPUNG AUR ,UNDI BIASA
4,091/40/02,SK BULUH NIPIS,1.0,274,142,17,90,249,25,0,KAMPUNG AUR ,UNDI BIASA
5,091/40/03,SK LADANG KOTA BAHAGIA,1.0,233,158,43,21,222,11,0,KOTA BAHAGIA ,UNDI BIASA
5,091/40/03,SK LADANG KOTA BAHAGIA,2.0,235,138,67,30,235,0,0,KOTA BAHAGIA ,UNDI BIASA
5,091/40/03,SK LADANG KOTA BAHAGIA,3.0,251,118,86,46,250,1,0,KOTA BAHAGIA ,UNDI BIASA
6,091/40/04,SK BUKIT SEROK,1.0,206,132,9,53,194,12,0,BUKIT SEROK ,UNDI BIASA
6,091/40/04,SK BUKIT SEROK,2.0,262,167,11,78,256,6,0,BUKIT SEROK ,UNDI BIASA
6,091/40/04,SK MELATI,1.0,273,113,123,31,267,6,0,BUKIT SEROK ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,1.0,306,164,124,13,301,5,0,FELDA KERATONG 2 ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,2.0,446,230,188,18,436,10,0,FELDA KERATONG 2 ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,3.0,407,167,198,40,405,2,0,FELDA KERATONG 2 ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,4.0,410,152,218,39,409,1,0,FELDA KERATONG 2 ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,5.0,396,157,199,36,392,4,0,FELDA KERATONG 2 ,UNDI BIASA
7,091/40/05,SK LKTP KERATONG 2,6.0,395,153,213,24,390,5,0,FELDA KERATONG 2 ,UNDI BIASA
8,091/40/06,SK LKTP KERATONG 3,1.0,320,186,113,16,315,5,0,FELDA KERATONG 3 ,UNDI BIASA
8,091/40/06,SK LKTP KERATONG 3,2.0,458,240,196,22,458,0,0,FELDA KERATONG 3 ,UNDI BIASA
8,091/40/06,SK LKTP KERATONG 3,3.0,406,191,176,38,405,1,0,FELDA KERATONG 3 ,UNDI BIASA
8,091/40/06,SK LKTP KERATONG 3,4.0,384,185,159,39,383,1,0,FELDA KERATONG 3 ,UNDI BIASA
8,091/40/06,SK LKTP KERATONG 3,5.0,419,165,209,44,418,1,0,FELDA KERATONG 3 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,1.0,324,183,124,9,316,8,0,FELDA KERATONG 5 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,2.0,402,214,165,15,394,8,0,FELDA KERATONG 5 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,3.0,351,141,179,28,348,3,0,FELDA KERATONG 5 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,4.0,351,145,182,24,351,0,0,FELDA KERATONG 5 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,5.0,352,132,190,30,352,0,0,FELDA KERATONG 5 ,UNDI BIASA
9,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,6.0,363,127,215,20,362,1,0,FELDA KERATONG 5 ,UNDI BIASA
10,091/40/08,SK LKTP  KERATONG 7,1.0,329,254,49,22,325,4,0,FELDA KERATONG 7 ,UNDI BIASA
10,091/40/08,SK LKTP  KERATONG 7,2.0,378,267,89,20,376,2,0,FELDA KERATONG 7 ,UNDI BIASA
10,091/40/08,SK LKTP  KERATONG 7,3.0,295,169,83,43,295,0,0,FELDA KERATONG 7 ,UNDI BIASA
10,091/40/08,SK LKTP  KERATONG 7,4.0,293,160,80,50,290,3,0,FELDA KERATONG 7 ,UNDI BIASA
10,091/40/08,SK LKTP  KERATONG 7,5.0,323,174,104,44,322,1,0,FELDA KERATONG 7 ,UNDI BIASA
11,091/40/09,SK LKTP KERATONG 4,1.0,303,150,139,11,300,3,0,FELDA KERATONG 4 ,UNDI BIASA
11,091/40/09,SK LKTP KERATONG 4,2.0,418,241,147,21,409,9,0,FELDA KERATONG 4 ,UNDI BIASA
