Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MD YUNUS BIN RAMLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) IMAM ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SAZILI MOHD NOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD JOHARI BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,372,105,1,43,123,272,22,78,UNDI POS,UNDI POS
2,091/42/00,BILIK REHAT IBU PEJABAT POLIS DAERAH ROMPIN,1.0,245,86,0,51,106,243,1,1,UNDI AWAL ,UNDI AWAL
2,091/42/00,BILIK MAKLUMAT BALAI POLIS TEKEK PULAU TIOMAN,1.0,17,4,0,11,2,17,0,0,UNDI AWAL ,UNDI AWAL
3,091/42/01,SK SUNGAI PUTERI,1.0,299,104,1,32,156,293,6,0,SUNGAI PUTERI ,UNDI BIASA
3,091/42/01,SK SUNGAI PUTERI,2.0,576,265,3,68,237,573,3,0,SUNGAI PUTERI ,UNDI BIASA
3,091/42/01,SK SUNGAI PUTERI,3.0,525,230,2,94,199,525,0,0,SUNGAI PUTERI ,UNDI BIASA
3,091/42/01,SK SUNGAI PUTERI,4.0,518,265,1,93,148,507,11,0,SUNGAI PUTERI ,UNDI BIASA
4,091/42/02,SMK ROMPIN,1.0,212,35,0,56,113,204,8,0,KUALA ROMPIN ,UNDI BIASA
4,091/42/02,SMK ROMPIN,2.0,285,90,1,88,101,280,5,0,KUALA ROMPIN ,UNDI BIASA
4,091/42/02,SMK ROMPIN,3.0,253,95,0,99,56,250,3,0,KUALA ROMPIN ,UNDI BIASA
5,091/42/03,SK ROMPIN,1.0,270,91,3,51,118,263,7,0,BANDAR BARU ROMPIN ,UNDI BIASA
5,091/42/03,SK ROMPIN,2.0,493,185,2,128,174,489,3,1,BANDAR BARU ROMPIN ,UNDI BIASA
5,091/42/03,SK ROMPIN,3.0,463,178,3,147,129,457,5,1,BANDAR BARU ROMPIN ,UNDI BIASA
5,091/42/03,SK ROMPIN,4.0,436,186,2,137,110,435,1,0,BANDAR BARU ROMPIN ,UNDI BIASA
5,091/42/03,SK ROMPIN,5.0,444,172,2,177,89,440,4,0,BANDAR BARU ROMPIN ,UNDI BIASA
6,091/42/04,SK PONTIAN,1.0,283,57,4,34,184,279,4,0,PONTIAN ,UNDI BIASA
6,091/42/04,SK PONTIAN,2.0,550,118,2,109,313,542,8,0,PONTIAN ,UNDI BIASA
6,091/42/04,SK PONTIAN,3.0,480,143,2,114,214,473,7,0,PONTIAN ,UNDI BIASA
6,091/42/04,SK PONTIAN,4.0,457,101,0,175,169,445,12,0,PONTIAN ,UNDI BIASA
