Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MANOGARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU WAN MAHADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SIVARRAAJH CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SURESH KUMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,362,28,30,116,0,3,177,27,158,UNDI POS,UNDI POS
2,078/01/00,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1.0,207,4,13,184,0,1,202,5,0,UNDI AWAL ,UNDI AWAL
3,078/02/00,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1.0,12,1,5,6,0,0,12,0,0,UNDI AWAL ,UNDI AWAL
4,078/01/01,SK TERISU,1.0,278,20,5,218,4,4,251,27,0,POS TERISU ,UNDI BIASA
5,078/01/02,SK TELANOK,1.0,536,13,9,466,2,10,500,36,0,POS TELANUK ,UNDI BIASA
6,078/01/03,SK LEMOI,1.0,180,8,7,158,0,1,174,6,0,POS LEMOI ,UNDI BIASA
7,078/01/04,SK MENSON,1.0,493,12,4,432,1,1,450,43,0,POS MENSUN ,UNDI BIASA
8,078/01/05,SJK(C) BERTAM VALLEY,1.0,272,194,5,62,0,3,264,8,0,LEMBAH BERTAM ,UNDI BIASA
8,078/01/05,SJK(C) BERTAM VALLEY,2.0,489,370,3,82,4,6,465,13,11,LEMBAH BERTAM ,UNDI BIASA
8,078/01/05,SJK(C) BERTAM VALLEY,3.0,468,343,2,111,1,5,462,6,0,LEMBAH BERTAM ,UNDI BIASA
