Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO BADARUDIN ABD RAHAMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL RAHMAN BIN MOHAMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU HJ SOBIRIN BIN HJ DULI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1145,75,735,175,985,49,111,UNDI POS,UNDI POS
2,079/03/00,BILIK MAKLUMAT BALAI POLIS PADANG TENGKU,1.0,30,2,17,11,30,0,0,UNDI AWAL ,UNDI AWAL
3,079/04/00,KELAB POLIS IBU PEJABAT POLIS DAERAH LIPIS,1.0,267,13,215,37,265,2,0,UNDI AWAL ,UNDI AWAL
3,079/04/00,DEWAN SERBAGUNA 8 RAMD,1.0,105,6,65,33,104,1,0,UNDI AWAL ,UNDI AWAL
3,079/04/00,DEWAN SERBAGUNA 8 RAMD,2.0,153,17,100,34,151,2,0,UNDI AWAL ,UNDI AWAL
4,079/05/00,BILIK MAKLUMAT BALAI POLIS BENTA,1.0,18,3,10,3,16,2,0,UNDI AWAL ,UNDI AWAL
5,079/03/01,SK MERAPOH,1.0,289,43,144,98,285,4,0,MERAPOH ,UNDI BIASA
5,079/03/01,SK MERAPOH,2.0,285,44,123,114,281,4,0,MERAPOH ,UNDI BIASA
5,079/03/01,SK MERAPOH,3.0,264,56,89,118,263,1,0,MERAPOH ,UNDI BIASA
6,079/03/02,SMK MERAPOH,1.0,315,18,142,146,306,9,0,MENTARA ,UNDI BIASA
7,079/03/03,SK TELUK GUNUNG,1.0,306,21,147,134,302,4,0,TELUK GUNUNG ,UNDI BIASA
7,079/03/03,SK TELUK GUNUNG,2.0,470,44,160,264,468,2,0,TELUK GUNUNG ,UNDI BIASA
8,079/03/04,BALAI RAYA KAMPUNG PETOLA,1.0,338,24,184,124,332,6,0,KAMPUNG PETOLA ,UNDI BIASA
9,079/03/05,SK PAGAR SASAK,1.0,298,18,158,115,291,7,0,PAGAR SASAK ,UNDI BIASA
9,079/03/05,SK PAGAR SASAK,2.0,405,40,177,181,398,7,0,PAGAR SASAK ,UNDI BIASA
10,079/03/06,SK LKTP KECAU 1,1.0,301,33,206,55,294,7,0,FELDA SUNGAI KECHAU ,UNDI BIASA
10,079/03/06,SK LKTP KECAU 1,2.0,320,43,197,76,316,4,0,FELDA SUNGAI KECHAU ,UNDI BIASA
10,079/03/06,SK LKTP KECAU 1,3.0,307,49,167,86,302,5,0,FELDA SUNGAI KECHAU ,UNDI BIASA
11,079/03/07,SJK(T) LADANG SELBORNE,1.0,260,93,133,30,256,4,0,LADANG SELBORNE ,UNDI BIASA
12,079/03/08,SMK PADANG TENGKU,1.0,261,57,137,56,250,11,0,PADANG TENGKU ,UNDI BIASA
12,079/03/08,SMK PADANG TENGKU,2.0,350,97,132,116,345,5,0,PADANG TENGKU ,UNDI BIASA
12,079/03/08,SMK PADANG TENGKU,3.0,340,79,127,133,339,1,0,PADANG TENGKU ,UNDI BIASA
13,079/03/09,SK GUA,1.0,298,17,197,74,288,10,0,GUA ,UNDI BIASA
13,079/03/09,SK GUA,2.0,360,45,214,100,359,1,0,GUA ,UNDI BIASA
13,079/03/09,SK GUA,3.0,317,44,172,96,312,5,0,GUA ,UNDI BIASA
14,079/03/10,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,1.0,307,66,167,65,298,9,0,TEMPOYANG ,UNDI BIASA
14,079/03/10,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,2.0,293,91,133,69,293,0,0,TEMPOYANG ,UNDI BIASA
14,079/03/10,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,3.0,294,98,126,69,293,1,0,TEMPOYANG ,UNDI BIASA
15,079/03/11,BALAI RAYA KAMPUNG BAPONG,1.0,423,38,234,145,417,6,0,BAPONG ,UNDI BIASA
16,079/03/12,SK RELONG,1.0,308,38,165,99,302,6,0,RELONG ,UNDI BIASA
16,079/03/12,SK RELONG,2.0,359,85,162,112,359,0,0,RELONG ,UNDI BIASA
17,079/03/13,SK BERCHANG,1.0,265,19,111,133,263,2,0,BERCHANG ,UNDI BIASA
17,079/03/13,SK BERCHANG,2.0,252,20,62,170,252,0,0,BERCHANG ,UNDI BIASA
18,079/03/14,SK KUALA TELANG,1.0,391,35,235,111,381,10,0,TELANG ,UNDI BIASA
19,079/03/15,BALAI RAYA KAMPUNG SEBERANG JELAI,1.0,254,19,102,129,250,4,0,SEBERANG JELAI ,UNDI BIASA
20,079/03/16,SK KECHOR TUI,1.0,272,9,190,67,266,6,0,KECHUR ,UNDI BIASA
20,079/03/16,SK KECHOR TUI,2.0,251,17,141,90,248,3,0,KECHUR ,UNDI BIASA
21,079/03/17,SK AUR GADING,1.0,254,2,105,146,253,1,0,AUR GADING ,UNDI BIASA
22,079/03/18,SK CHEGAR PERAH,1.0,435,13,248,167,428,7,0,CHEGAR PERAH ,UNDI BIASA
23,079/03/19,SK (LKTP) CHEGAR PERAH,1.0,314,15,213,79,307,7,0,SUNGAI TEMAU ,UNDI BIASA
23,079/03/19,SK (LKTP) CHEGAR PERAH,2.0,293,24,182,84,290,3,0,SUNGAI TEMAU ,UNDI BIASA
23,079/03/19,SK (LKTP) CHEGAR PERAH,3.0,273,25,156,89,270,3,0,SUNGAI TEMAU ,UNDI BIASA
24,079/04/01,SK KUALA LANAR,1.0,284,79,161,30,270,14,0,KUALA LANAR ,UNDI BIASA
24,079/04/01,SK KUALA LANAR,2.0,302,61,183,51,295,7,0,KUALA LANAR ,UNDI BIASA
24,079/04/01,SK KUALA LANAR,3.0,283,86,134,60,280,3,0,KUALA LANAR ,UNDI BIASA
25,079/04/02,SK BATU 9,1.0,253,21,178,47,246,7,0,KUALA KENONG ,UNDI BIASA
25,079/04/02,SK BATU 9,2.0,243,30,143,68,241,2,0,KUALA KENONG ,UNDI BIASA
26,079/04/03,SK MELA,1.0,278,27,183,45,255,23,0,MELA ,UNDI BIASA
26,079/04/03,SK MELA,2.0,416,46,280,83,409,7,0,MELA ,UNDI BIASA
26,079/04/03,SK MELA,3.0,355,54,208,91,353,2,0,MELA ,UNDI BIASA
27,079/04/04,SK KERAMBIT,1.0,294,18,171,89,278,16,0,KERAMBIT ,UNDI BIASA
27,079/04/04,SK KERAMBIT,2.0,346,47,173,123,343,3,0,KERAMBIT ,UNDI BIASA
27,079/04/04,SK KERAMBIT,3.0,309,32,128,147,307,2,0,KERAMBIT ,UNDI BIASA
28,079/04/05,SJK(C) PENJOM,1.0,237,149,81,1,231,6,0,KAMPUNG BARU PENJOM ,UNDI BIASA
28,079/04/05,SJK(C) PENJOM,2.0,230,182,44,1,227,3,0,KAMPUNG BARU PENJOM ,UNDI BIASA
29,079/04/06,SK PENJOM,1.0,289,45,183,47,275,14,0,PENJOM ,UNDI BIASA
29,079/04/06,SK PENJOM,2.0,348,90,194,64,348,0,0,PENJOM ,UNDI BIASA
29,079/04/06,SK PENJOM,3.0,344,120,162,60,342,2,0,PENJOM ,UNDI BIASA
30,079/04/07,SK CLIFFORD,1.0,255,85,127,36,248,7,0,CHENERAS ,UNDI BIASA
30,079/04/07,SK CLIFFORD,2.0,426,165,192,63,420,6,0,CHENERAS ,UNDI BIASA
30,079/04/07,SK CLIFFORD,3.0,424,161,167,93,421,3,0,CHENERAS ,UNDI BIASA
31,079/04/08,SJK(C) CHUNG HWA,1.0,241,98,113,24,235,6,0,SUNGAI KERPAN ,UNDI BIASA
31,079/04/08,SJK(C) CHUNG HWA,2.0,492,238,197,50,485,7,0,SUNGAI KERPAN ,UNDI BIASA
31,079/04/08,SJK(C) CHUNG HWA,3.0,444,235,160,48,443,1,0,SUNGAI KERPAN ,UNDI BIASA
31,079/04/08,SJK(C) CHUNG HWA,4.0,459,220,146,93,459,0,0,SUNGAI KERPAN ,UNDI BIASA
32,079/04/09,TADIKA KEKWA,1.0,315,156,95,54,305,10,0,BATU KURAP ,UNDI BIASA
33,079/04/10,SMK CLIFFORD,1.0,181,107,66,6,179,2,0,BANDAR LIPIS ,UNDI BIASA
33,079/04/10,SMK CLIFFORD,2.0,227,112,90,24,226,1,0,BANDAR LIPIS ,UNDI BIASA
33,079/04/10,SMK CLIFFORD,3.0,203,116,66,20,202,1,0,BANDAR LIPIS ,UNDI BIASA
34,079/04/11,SK WAN IBRAHIM,1.0,279,149,89,38,276,3,0,BUKIT BIUS ,UNDI BIASA
35,079/05/01,BALAI RAYA KAMPUNG LALANG,1.0,185,25,128,28,181,4,0,KAMPUNG LALANG ,UNDI BIASA
36,079/05/02,KOLEJ VOKASIONAL SULTAN HAJI AHMAD SHAH AL-MUSTA'IN BILLAH,1.0,254,92,119,40,251,3,0,RENGAI ,UNDI BIASA
37,079/05/03,SK TANJUNG BESAR,1.0,292,73,160,53,286,6,0,TANJUNG BESAR ,UNDI BIASA
37,079/05/03,SK TANJUNG BESAR,2.0,360,102,182,75,359,1,0,TANJUNG BESAR ,UNDI BIASA
38,079/05/04,SK JERANSANG,1.0,296,54,172,64,290,6,0,JERANSANG ,UNDI BIASA
38,079/05/04,SK JERANSANG,2.0,299,94,133,71,298,1,0,JERANSANG ,UNDI BIASA
