Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AHMAD NAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ YOHANIS AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN MOHD SHAHRIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1340,689,287,86,1062,67,211,UNDI POS,UNDI POS
2,081/09/00,BILIK MAKLUMAT BALAI POLIS KUALA TEMBELING,1.0,83,56,22,4,82,1,0,UNDI AWAL ,UNDI AWAL
3,081/10/00,BILIK GERAKAN CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1.0,272,209,51,10,270,1,1,UNDI AWAL ,UNDI AWAL
4,081/11/00,BILIK KETUA CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1.0,2,0,2,0,2,0,0,UNDI AWAL ,UNDI AWAL
5,081/09/01,SK KUALA SAT,1.0,259,202,45,2,249,10,0,KAMPUNG SAT ,UNDI BIASA
6,081/09/02,SK GUSAI,1.0,146,110,28,2,140,6,0,KAMPUNG GUSAI ,UNDI BIASA
7,081/09/03,SK ULU TEMBELING,1.0,193,119,53,9,181,12,0,KAMPUNG BANTAL ,UNDI BIASA
7,081/09/03,SK ULU TEMBELING,2.0,194,129,59,2,190,4,0,KAMPUNG BANTAL ,UNDI BIASA
8,081/09/04,SK BUKIT MAT DALING,1.0,292,205,54,27,286,6,0,KAMPUNG MAT DALING ,UNDI BIASA
9,081/09/05,SK KAMPUNG PAGI,1.0,208,148,49,9,206,2,0,KAMPUNG PAGI ,UNDI BIASA
10,081/09/06,SK LKTP SUNGAI RETANG,1.0,307,178,99,24,301,6,0,FELDA SUNGAI RETANG ,UNDI BIASA
10,081/09/06,SK LKTP SUNGAI RETANG,2.0,508,292,149,55,496,12,0,FELDA SUNGAI RETANG ,UNDI BIASA
10,081/09/06,SK LKTP SUNGAI RETANG,3.0,431,205,176,45,426,4,1,FELDA SUNGAI RETANG ,UNDI BIASA
10,081/09/06,SK LKTP SUNGAI RETANG,4.0,468,210,189,61,460,6,2,FELDA SUNGAI RETANG ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,1.0,289,169,98,16,283,6,0,FELDA PADANG PIOL ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,2.0,478,252,178,36,466,12,0,FELDA PADANG PIOL ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,3.0,439,199,204,32,435,4,0,FELDA PADANG PIOL ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,4.0,403,144,206,51,401,2,0,FELDA PADANG PIOL ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,5.0,394,132,202,57,391,3,0,FELDA PADANG PIOL ,UNDI BIASA
11,081/09/07,SK (FELDA) PADANG PIOL,6.0,421,138,220,58,416,5,0,FELDA PADANG PIOL ,UNDI BIASA
12,081/09/08,BALAI RAYA KAMPUNG GAJAH MATI,1.0,508,234,247,19,500,7,1,KAMPUNG GAJAH MATI ,UNDI BIASA
13,081/09/09,SK PULAU MANSOK,1.0,271,123,131,11,265,6,0,PULAU MANSUK ,UNDI BIASA
13,081/09/09,SK PULAU MANSOK,2.0,340,141,178,18,337,3,0,PULAU MANSUK ,UNDI BIASA
14,081/09/10,SK PEDAH,1.0,297,129,130,26,285,12,0,JERANTUT FERI ,UNDI BIASA
14,081/09/10,SK PEDAH,2.0,375,168,171,28,367,8,0,JERANTUT FERI ,UNDI BIASA
14,081/09/10,SK PEDAH,3.0,371,139,183,39,361,10,0,JERANTUT FERI ,UNDI BIASA
15,081/09/11,SK TANAH ROM,1.0,226,91,97,12,200,26,0,TANAH ROM ,UNDI BIASA
16,081/09/12,SK TEH,1.0,301,170,107,19,296,5,0,TEH ,UNDI BIASA
16,081/09/12,SK TEH,2.0,394,184,182,28,394,0,0,TEH ,UNDI BIASA
16,081/09/12,SK TEH,3.0,359,163,141,53,357,2,0,TEH ,UNDI BIASA
17,081/09/13,SK KUALA TEMBELING,1.0,280,157,90,20,267,13,0,KUALA TEMBELING ,UNDI BIASA
17,081/09/13,SK KUALA TEMBELING,2.0,291,141,124,23,288,3,0,KUALA TEMBELING ,UNDI BIASA
17,081/09/13,SK KUALA TEMBELING,3.0,262,110,135,16,261,1,0,KUALA TEMBELING ,UNDI BIASA
18,081/09/14,SK PASIR DURIAN,1.0,337,219,102,10,331,6,0,PASIR DURIAN ,UNDI BIASA
19,081/09/15,SK CHEBONG,1.0,290,161,88,23,272,18,0,KAMPUNG CHEBONG ,UNDI BIASA
19,081/09/15,SK CHEBONG,2.0,361,153,168,31,352,9,0,KAMPUNG CHEBONG ,UNDI BIASA
20,081/09/16,SK MERTING,1.0,273,160,56,46,262,11,0,KAMPUNG MERTING ,UNDI BIASA
20,081/09/16,SK MERTING,2.0,275,159,60,38,257,16,2,KAMPUNG MERTING ,UNDI BIASA
21,081/09/17,SK KUALA TAHAN,1.0,304,195,76,24,295,9,0,KUALA TAHAN ,UNDI BIASA
21,081/09/17,SK KUALA TAHAN,2.0,487,294,157,31,482,5,0,KUALA TAHAN ,UNDI BIASA
