Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SULAIMAN MD DERUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FUZIAH SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG KEAN HWEE DATO' WONG KEAN HWEE Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1216,313,175,370,858,163,195,UNDI POS,UNDI POS
2,083/14/00,DEWAN BADMINTON PERUMAHAN POLIS ALOR AKAR KUANTAN,1.0,515,109,92,299,500,15,0,UNDI AWAL ,UNDI AWAL
2,083/14/00,DEWAN BADMINTON PERUMAHAN POLIS ALOR AKAR KUANTAN,2.0,563,142,79,329,550,13,0,UNDI AWAL ,UNDI AWAL
2,083/14/00,DEWAN BADMINTON PERUMAHAN POLIS ALOR AKAR KUANTAN,3.0,528,100,78,330,508,20,0,UNDI AWAL ,UNDI AWAL
3,083/14/01,SK GALING,1.0,226,5,154,62,221,4,1,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,2.0,485,16,363,104,483,2,0,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,3.0,492,14,403,73,490,2,0,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,4.0,497,16,421,58,495,2,0,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,5.0,481,31,399,50,480,1,0,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,6.0,462,28,391,42,461,0,1,SERI KUANTAN ,UNDI BIASA
3,083/14/01,SK GALING,7.0,471,24,403,43,470,1,0,SERI KUANTAN ,UNDI BIASA
4,083/14/02,SMK ALOR AKAR,1.0,285,40,172,69,281,4,0,PERKAMPUNGAN TERATAI ,UNDI BIASA
4,083/14/02,SMK ALOR AKAR,2.0,388,44,278,65,387,1,0,PERKAMPUNGAN TERATAI ,UNDI BIASA
4,083/14/02,SMK ALOR AKAR,3.0,350,55,243,52,350,0,0,PERKAMPUNGAN TERATAI ,UNDI BIASA
4,083/14/02,SMK ALOR AKAR,4.0,361,63,247,51,361,0,0,PERKAMPUNGAN TERATAI ,UNDI BIASA
5,083/14/03,SMK TOK SERA,1.0,247,30,141,75,246,1,0,MEDAN TOK SIRA ,UNDI BIASA
5,083/14/03,SMK TOK SERA,2.0,312,50,178,80,308,4,0,MEDAN TOK SIRA ,UNDI BIASA
5,083/14/03,SMK TOK SERA,3.0,318,46,212,59,317,1,0,MEDAN TOK SIRA ,UNDI BIASA
5,083/14/03,SMK TOK SERA,4.0,306,61,179,65,305,1,0,MEDAN TOK SIRA ,UNDI BIASA
5,083/14/03,SMK TOK SERA,5.0,306,58,195,51,304,2,0,MEDAN TOK SIRA ,UNDI BIASA
6,083/14/04,MAKTAB RENDAH SAINS MARA KUANTAN,1.0,247,13,163,65,241,6,0,KUBANG BUAYA ,UNDI BIASA
6,083/14/04,MAKTAB RENDAH SAINS MARA KUANTAN,2.0,531,25,413,92,530,1,0,KUBANG BUAYA ,UNDI BIASA
6,083/14/04,MAKTAB RENDAH SAINS MARA KUANTAN,3.0,511,29,407,73,509,2,0,KUBANG BUAYA ,UNDI BIASA
6,083/14/04,MAKTAB RENDAH SAINS MARA KUANTAN,4.0,491,29,414,47,490,1,0,KUBANG BUAYA ,UNDI BIASA
6,083/14/04,MAKTAB RENDAH SAINS MARA KUANTAN,5.0,492,25,433,33,491,1,0,KUBANG BUAYA ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,1.0,240,39,91,101,231,9,0,KAMPUNG SELAMAT ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,2.0,421,96,172,141,409,12,0,KAMPUNG SELAMAT ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,3.0,431,124,176,126,426,5,0,KAMPUNG SELAMAT ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,4.0,413,145,165,101,411,2,0,KAMPUNG SELAMAT ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,5.0,389,147,156,83,386,3,0,KAMPUNG SELAMAT ,UNDI BIASA
7,083/14/05,SEKOLAH MENENGAH AGAMA AL-IHSAN KUANTAN,6.0,388,133,160,95,388,0,0,KAMPUNG SELAMAT ,UNDI BIASA
8,083/14/06,SK (P) METHODIST KUANTAN,1.0,204,2,145,54,201,3,0,BANDAR KUANTAN ,UNDI BIASA
8,083/14/06,SK (P) METHODIST KUANTAN,2.0,382,8,300,69,377,5,0,BANDAR KUANTAN ,UNDI BIASA
8,083/14/06,SK (P) METHODIST KUANTAN,3.0,381,16,301,62,379,2,0,BANDAR KUANTAN ,UNDI BIASA
