Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD ASHRAF MUSTAQIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SHAHAR BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD AZHAR BIN MOHD NOOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,910,81,376,194,651,89,170,UNDI POS,UNDI POS
2,084/17/00,BILIK MESYUARAT BALAI POLIS SUNGAI LEMBING,1.0,16,0,16,0,16,0,0,UNDI AWAL ,UNDI AWAL
3,084/18/00,BILIK MAKLUMAT BALAI POLIS GAMBANG,1.0,40,5,33,2,40,0,0,UNDI AWAL ,UNDI AWAL
4,084/19/00,BILIK MAKLUMAT BALAI POLIS PANCHING,1.0,12,1,7,3,11,1,0,UNDI AWAL ,UNDI AWAL
5,084/17/01,SK NADAK,1.0,299,42,182,69,293,6,0,KAMPUNG NADAK ,UNDI BIASA
5,084/17/01,SK NADAK,2.0,461,98,186,172,456,5,0,KAMPUNG NADAK ,UNDI BIASA
6,084/17/02,SMK SUNGAI LEMBING,1.0,213,107,84,8,199,14,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
6,084/17/02,SMK SUNGAI LEMBING,2.0,398,258,127,7,392,6,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
6,084/17/02,SMK SUNGAI LEMBING,3.0,360,231,112,15,358,2,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
6,084/17/02,SMK SUNGAI LEMBING,4.0,384,249,111,23,383,1,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
