Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD ZAHID MD ARIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KADIR BIN SAINUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) AHIATUDIN BIN DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,2411,158,1240,1,475,1874,253,284,UNDI POS,UNDI POS
2,085/20/00,SK PENGKALAN TENTERA,1.0,404,63,220,1,113,397,7,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,2.0,397,57,234,1,102,394,3,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,3.0,403,55,214,0,128,397,6,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,4.0,435,64,255,1,111,431,4,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,5.0,419,55,246,3,110,414,5,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,6.0,460,59,260,1,133,453,7,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,7.0,430,47,240,1,135,423,7,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,1.0,377,83,140,1,151,375,2,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,2.0,381,78,139,0,160,377,4,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,3.0,375,86,148,1,136,371,4,0,UNDI AWAL ,UNDI AWAL
2,085/20/00,SK PENGKALAN TENTERA,4.0,274,32,126,0,110,268,6,0,UNDI AWAL ,UNDI AWAL
3,085/21/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON A),1.0,308,18,238,0,52,308,0,0,UNDI AWAL ,UNDI AWAL
3,085/21/00,BILIK SYARAHAN KEM FORCE 136 REJIMEN 505 (AW),1.0,163,17,98,0,46,161,2,0,UNDI AWAL ,UNDI AWAL
4,085/22/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON B),1.0,6,0,6,0,0,6,0,0,UNDI AWAL ,UNDI AWAL
5,085/23/00,DEWAN SRI TEMENGGONG PERUMAHAN POLIS DIRAJA MALAYSIA (PDRM) IPD PEKAN (ZON C),1.0,17,1,16,0,0,17,0,0,UNDI AWAL ,UNDI AWAL
6,085/20/01,SK WIRA,1.0,258,67,148,0,36,251,7,0,SERI MAHKOTA ,UNDI BIASA
6,085/20/01,SK WIRA,2.0,261,73,101,1,83,258,3,0,SERI MAHKOTA ,UNDI BIASA
7,085/20/02,SK JAYA GADING,1.0,281,39,142,1,83,265,16,0,JAYA GADING ,UNDI BIASA
7,085/20/02,SK JAYA GADING,2.0,532,89,248,1,181,519,13,0,JAYA GADING ,UNDI BIASA
7,085/20/02,SK JAYA GADING,3.0,501,84,202,0,212,498,3,0,JAYA GADING ,UNDI BIASA
7,085/20/02,SK JAYA GADING,4.0,451,72,175,0,199,446,5,0,JAYA GADING ,UNDI BIASA
7,085/20/02,SK JAYA GADING,5.0,411,75,132,0,200,407,4,0,JAYA GADING ,UNDI BIASA
7,085/20/02,SK JAYA GADING,6.0,452,84,150,1,217,452,0,0,JAYA GADING ,UNDI BIASA
8,085/20/03,SMK SERI DAMAI,1.0,278,59,130,0,69,258,20,0,KAMPUNG SERI DAMAI ,UNDI BIASA
8,085/20/03,SMK SERI DAMAI,2.0,592,111,307,1,159,578,0,14,KAMPUNG SERI DAMAI ,UNDI BIASA
8,085/20/03,SMK SERI DAMAI,3.0,560,90,241,0,225,556,4,0,KAMPUNG SERI DAMAI ,UNDI BIASA
8,085/20/03,SMK SERI DAMAI,4.0,518,102,217,0,195,514,4,0,KAMPUNG SERI DAMAI ,UNDI BIASA
8,085/20/03,SMK SERI DAMAI,5.0,527,116,157,2,250,525,2,0,KAMPUNG SERI DAMAI ,UNDI BIASA
9,085/20/04,SK MAT KILAU,1.0,308,38,191,0,74,303,5,0,GUDANG RASAU ,UNDI BIASA
9,085/20/04,SK MAT KILAU,2.0,427,61,202,0,163,426,1,0,GUDANG RASAU ,UNDI BIASA
9,085/20/04,SK MAT KILAU,3.0,385,77,175,2,130,384,1,0,GUDANG RASAU ,UNDI BIASA
9,085/20/04,SK MAT KILAU,4.0,390,102,146,0,140,388,2,0,GUDANG RASAU ,UNDI BIASA
10,085/20/05,SK PULAU RUSA,1.0,258,16,192,0,44,252,6,0,PULAU RUSA ,UNDI BIASA
10,085/20/05,SK PULAU RUSA,2.0,254,16,175,0,61,252,2,0,PULAU RUSA ,UNDI BIASA
11,085/20/06,SK GANCHONG,1.0,310,28,204,0,70,302,8,0,GANCHONG ,UNDI BIASA
