Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI LIOW TIONG LAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BALASUBRAMANIAM A/L NACHIAPPAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG TACK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,956,450,107,104,661,135,160,UNDI POS,UNDI POS
2,089/33/00,KELAB POLIS IBU PEJABAT POLIS DAERAH BENTONG,1.0,286,252,17,15,284,2,0,UNDI AWAL ,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,1.0,329,220,75,26,321,8,0,UNDI AWAL ,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,2.0,288,210,60,17,287,1,0,UNDI AWAL ,UNDI AWAL
3,089/34/00,DEWAN KOMPLEKS SUKAN KEM MEMPAGA,1.0,369,225,86,51,362,7,0,UNDI AWAL ,UNDI AWAL
3,089/34/00,BILIK MAKLUMAT BALAI POLIS BUKIT TINGGI,1.0,34,33,0,0,33,1,0,UNDI AWAL ,UNDI AWAL
4,089/35/00,BILIK MAKLUMAT BALAI POLIS KARAK,1.0,23,22,0,0,22,1,0,UNDI AWAL ,UNDI AWAL
5,089/36/00,RUMAH REHAT BALAI POLIS MANCHIS,1.0,35,32,0,0,32,3,0,UNDI AWAL ,UNDI AWAL
6,089/33/01,SMK LKTP LURAH BILUT,1.0,258,160,28,64,252,6,0,FELDA LURAH BILUT ,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,2.0,446,218,58,165,441,4,1,FELDA LURAH BILUT ,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,3.0,428,195,77,154,426,2,0,FELDA LURAH BILUT ,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,4.0,412,165,68,171,404,8,0,FELDA LURAH BILUT ,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,5.0,404,162,76,166,404,0,0,FELDA LURAH BILUT ,UNDI BIASA
7,089/33/02,SK LEBU,1.0,301,219,52,25,296,5,0,KAMPUNG LEBU ,UNDI BIASA
7,089/33/02,SK LEBU,2.0,386,211,110,63,384,2,0,KAMPUNG LEBU ,UNDI BIASA
8,089/33/03,SK SULAIMAN,1.0,263,121,0,137,258,5,0,BANDAR BENTONG ,UNDI BIASA
8,089/33/03,SK SULAIMAN,2.0,585,227,7,350,584,1,0,BANDAR BENTONG ,UNDI BIASA
8,089/33/03,SK SULAIMAN,3.0,594,153,16,424,593,1,0,BANDAR BENTONG ,UNDI BIASA
8,089/33/03,SK SULAIMAN,4.0,569,126,29,413,568,1,0,BANDAR BENTONG ,UNDI BIASA
