id,kno,sid,pid,t,pb
00101,N.01,9,00100,TITI TINGGI,10111
00102,N.02,9,00100,BESERI,8914
00103,N.03,9,00100,CHUPING,10542
00104,N.04,9,00100,MATA AYER,7617
00105,N.05,9,00100,SANTAN,8912
00206,N.06,9,00200,BINTONG,12136
00207,N.07,9,00200,SENA,12303
00208,N.08,9,00200,INDERA KAYANGAN,11018
00209,N.09,9,00200,KUALA PERLIS,10654
00210,N.10,9,00200,KAYANG,9827
00311,N.11,9,00300,PAUH,11200
00312,N.12,9,00300,TAMBUN TULANG,10535
00313,N.13,9,00300,GUAR SANJI,9233
00314,N.14,9,00300,SIMPANG EMPAT,8547
00315,N.15,9,00300,SANGLANG,8672
00401,N.01,2,00400,AYER HANGAT,21297
00402,N.02,2,00400,KUAH,21400
00503,N.03,2,00500,KOTA SIPUTEH,23544
00504,N.04,2,00500,AYER HITAM,30588
00605,N.05,2,00600,BUKIT KAYU HITAM,32614
00606,N.06,2,00600,JITRA,41267
00707,N.07,2,00700,KUALA NERANG,24094
00708,N.08,2,00700,PEDU,22550
00809,N.09,2,00800,BUKIT LADA,30002
00810,N.10,2,00800,BUKIT PINANG,29041
00811,N.11,2,00800,DERGA,27849
00912,N.12,2,00900,SUKA MENANTI,31305
00913,N.13,2,00900,KOTA DARUL AMAN,21835
00914,N.14,2,00900,ALOR MENGKUDU,27132
01015,N.15,2,01000,ANAK BUKIT,28223
01016,N.16,2,01000,KUBANG ROTAN,36253
01017,N.17,2,01000,PENGKALAN KUNDOR,33277
01118,N.18,2,01100,TOKAI,36366
01119,N.19,2,01100,SUNGAI TIANG,38501
01220,N.20,2,01200,SUNGAI LIMAU,28800
01221,N.21,2,01200,GUAR CHEMPEDAK,22646
01222,N.22,2,01200,GURUN,28530
01323,N.23,2,01300,BELANTEK,22744
01324,N.24,2,01300,JENERI,27641
01425,N.25,2,01400,BUKIT SELAMBAU,48367
01426,N.26,2,01400,TANJONG DAWAI,39415
01527,N.27,2,01500,PANTAI MERDEKA,36810
01528,N.28,2,01500,BAKAR ARANG,38991
01529,N.29,2,01500,SIDAM,36776
01630,N.30,2,01600,BAYU,38985
01631,N.31,2,01600,KUPANG,34430
01632,N.32,2,01600,KUALA KETIL,33798
01733,N.33,2,01700,MERBAU PULAS,34498
01734,N.34,2,01700,LUNAS,50336
01835,N.35,2,01800,KULIM,38572
01836,N.36,2,01800,BANDAR BAHARU,28015
01901,N.01,3,01900,PENGKALAN KUBOR,27395
01902,N.02,3,01900,KELABORAN,28498
01903,N.03,3,01900,PASIR PEKAN,28075
01904,N.04,3,01900,WAKAF BHARU,26956
02005,N.05,3,02000,KIJANG,22173
02006,N.06,3,02000,CHEMPAKA,24702
02007,N.07,3,02000,PANCHOR,28509
02108,N.08,3,02100,TANJONG MAS,32114
02109,N.09,3,02100,KOTA LAMA,28157
02110,N.10,3,02100,BUNUT PAYONG,28437
02211,N.11,3,02200,TENDONG,23906
02212,N.12,3,02200,PENGKALAN PASIR,25817
02213,N.13,3,02200,MERANTI,21499
02314,N.14,3,02300,CHETOK,22149
02315,N.15,3,02300,GUAL PERIOK,24046
02316,N.16,3,02300,APAM PUTRA,19920
02417,N.17,3,02400,SALOR,27164
02418,N.18,3,02400,PASIR TUMBOH,26257
02419,N.19,3,02400,DEMIT,28597
02520,N.20,3,02500,TAWANG,31434
02521,N.21,3,02500,PANTAI IRAMA,30719
02522,N.22,3,02500,JELAWAT,30453
02623,N.23,3,02600,MELOR,21240
02624,N.24,3,02600,KADOK,16583
02625,N.25,3,02600,KOK LANAS,27415
02726,N.26,3,02700,BUKIT PANAU,35135
02727,N.27,3,02700,GUAL IPOH,20048
02728,N.28,3,02700,KEMAHANG,17989
02829,N.29,3,02800,SELISING,21348
02830,N.30,3,02800,LIMBONGAN,25629
02831,N.31,3,02800,SEMERAK,20690
02832,N.32,3,02800,GAAL,17744
02933,N.33,3,02900,PULAI CHONDONG,21644
02934,N.34,3,02900,TEMANGAN,20354
02935,N.35,3,02900,KEMUNING,26389
03036,N.36,3,03000,BUKIT BUNGA,17352
03037,N.37,3,03000,AIR LANAS,17711
03038,N.38,3,03000,KUALA BALAH,12407
03139,N.39,3,03100,MENGKEBANG,20218
03140,N.40,3,03100,GUCHIL,20560
03141,N.41,3,03100,MANEK URAI,17722
03142,N.42,3,03100,DABONG,11848
03243,N.43,3,03200,NENGGIRI,15010
03244,N.44,3,03200,PALOH,17115
03245,N.45,3,03200,GALAS,20399
03301,N.01,11,03300,KUALA BESUT,20762
03302,N.02,11,03300,KOTA PUTERA,24182
03303,N.03,11,03300,JERTIH,22880
03304,N.04,11,03300,HULU BESUT,18803
03405,N.05,11,03400,JABI,20041
03406,N.06,11,03400,PERMAISURI,23839
03407,N.07,11,03400,LANGKAP,18296
03408,N.08,11,03400,BATU RAKIT,24071
03509,N.09,11,03500,TEPUH,23111
03510,N.10,11,03500,BULUH GADING,22528
03511,N.11,11,03500,SEBERANG TAKIR,20607
03512,N.12,11,03500,BUKIT TUNGGAL,17417
03613,N.13,11,03600,WAKAF MEMPELAM,28059
03614,N.14,11,03600,BANDAR,20268
03615,N.15,11,03600,LADANG,22570
03616,N.16,11,03600,BATU BURUK,32714
03717,N.17,11,03700,ALUR LIMBAT,28038
03718,N.18,11,03700,BUKIT PAYUNG,22661
03719,N.19,11,03700,RU RENDANG,25999
03720,N.20,11,03700,PENGKALAN BERANGAN,28200
03821,N.21,11,03800,TELEMUNG,17868
03822,N.22,11,03800,MANIR,17239
03823,N.23,11,03800,KUALA BERANG,17848
03824,N.24,11,03800,AJIL,20532
03925,N.25,11,03900,BUKIT BESI,14493
03926,N.26,11,03900,RANTAU ABANG,24819
03927,N.27,11,03900,SURA,24761
03928,N.28,11,03900,PAKA,26433
04029,N.29,11,04000,KEMASIK,22132
04030,N.30,11,04000,KIJAL,22580
04031,N.31,11,04000,CUKAI,30374
04032,N.32,11,04000,AIR PUTIH,32507
04101,N.01,7,04100,PENAGA,19089
04102,N.02,7,04100,BERTAM,18378
04103,N.03,7,04100,PINANG TUNGGAL,23056
04204,N.04,7,04200,PERMATANG BERANGAN,21120
04205,N.05,7,04200,SUNGAI DUA,20558
04206,N.06,7,04200,TELOK AYER TAWAR,19172
04307,N.07,7,04300,SUNGAI PUYU,27671
04308,N.08,7,04300,BAGAN JERMAL,25621
04309,N.09,7,04300,BAGAN DALAM,18291
04410,N.10,7,04400,SEBERANG JAYA,35541
04411,N.11,7,04400,PERMATANG PASIR,24811
04412,N.12,7,04400,PENANTI,21437
04513,N.13,7,04500,BERAPIT,23779
04514,N.14,7,04500,MACHANG BUBUK,37260
04515,N.15,7,04500,PADANG LALANG,27959
04616,N.16,7,04600,PERAI,17032
04617,N.17,7,04600,BUKIT TENGAH,22276
04618,N.18,7,04600,BUKIT TAMBUN,26086
04719,N.19,7,04700,JAWI,26699
04720,N.20,7,04700,SUNGAI BAKAP,26666
04721,N.21,7,04700,SUNGAI ACHEH,20018
04822,N.22,7,04800,TANJONG BUNGA,21768
04823,N.23,7,04800,AIR PUTIH,13509
04824,N.24,7,04800,KEBUN BUNGA,21369
04825,N.25,7,04800,PULAU TIKUS,18423
04926,N.26,7,04900,PADANG KOTA,14476
04927,N.27,7,04900,PENGKALAN KOTA,20069
04928,N.28,7,04900,KOMTAR,15041
05029,N.29,7,05000,DATOK KERAMAT,22630
05030,N.30,7,05000,SUNGAI PINANG,26917
05031,N.31,7,05000,BATU LANCANG,27444
05132,N.32,7,05100,SERI DELIMA,25232
05133,N.33,7,05100,AIR ITAM,19622
05134,N.34,7,05100,PAYA TERUBONG,46741
05235,N.35,7,05200,BATU UBAN,31924
05236,N.36,7,05200,PANTAI JEREJAK,23646
05237,N.37,7,05200,BATU MAUNG,35210
05338,N.38,7,05300,BAYAN LEPAS,26570
05339,N.39,7,05300,PULAU BETONG,18177
05340,N.40,7,05300,TELOK BAHANG,14339
05401,N.01,8,05400,PENGKALAN HULU,15369
05402,N.02,8,05400,TEMENGOR,20534
05503,N.03,8,05500,KENERING,16965
05504,N.04,8,05500,KOTA TAMPAN,12787
05605,N.05,8,05600,SELAMA,16483
05606,N.06,8,05600,KUBU GAJAH,16615
05607,N.07,8,05600,BATU KURAU,16355
05708,N.08,8,05700,TITI SERONG,26726
05709,N.09,8,05700,KUALA KURAU,25134
05810,N.10,8,05800,ALOR PONGSU,20901
05811,N.11,8,05800,GUNONG SEMANGGOL,20510
05812,N.12,8,05800,SELINSING,17882
05913,N.13,8,05900,KUALA SEPETANG,29294
05914,N.14,8,05900,CHANGKAT JERING,26848
05915,N.15,8,05900,TRONG,13731
06016,N.16,8,06000,KAMUNTING,30000
06017,N.17,8,06000,POKOK ASSAM,28590
06018,N.18,8,06000,AULONG,32139
06119,N.19,8,06100,CHENDEROH,14420
