id,kno,sid,pid,t,pb
00100,P.001,9,00100,PADANG BESAR,46096
00200,P.002,9,00200,KANGAR,55938
00300,P.003,9,00300,ARAU,48187
00400,P.004,2,00400,LANGKAWI,42697
00500,P.005,2,00500,JERLUN,54132
00600,P.006,2,00600,KUBANG PASU,73881
00700,P.007,2,00700,PADANG TERAP,46644
00800,P.008,2,00800,POKOK SENA,86892
00900,P.009,2,00900,ALOR SETAR,80272
01000,P.010,2,01000,KUALA KEDAH,97753
01100,P.011,2,01100,PENDANG,74867
01200,P.012,2,01200,JERAI,79976
01300,P.013,2,01300,SIK,50385
01400,P.014,2,01400,MERBOK,87782
01500,P.015,2,01500,SUNGAI PETANI,112577
01600,P.016,2,01600,BALING,107213
01700,P.017,2,01700,PADANG SERAI,84834
01800,P.018,2,01800,KULIM-BANDAR BAHARU,66587
01900,P.019,3,01900,TUMPAT,110924
02000,P.020,3,02000,PENGKALAN CHEPA,75384
02100,P.021,3,02100,KOTA BHARU,88708
02200,P.022,3,02200,PASIR MAS,71222
02300,P.023,3,02300,RANTAU PANJANG,66115
02400,P.024,3,02400,KUBANG KERIAN,82018
02500,P.025,3,02500,BACHOK,92606
02600,P.026,3,02600,KETEREH,65238
02700,P.027,3,02700,TANAH MERAH,73172
02800,P.028,3,02800,PASIR PUTEH,85411
02900,P.029,3,02900,MACHANG,68387
03000,P.030,3,03000,JELI,47470
03100,P.031,3,03100,KUALA KRAI,70348
03200,P.032,3,03200,GUA MUSANG,52524
03300,P.033,11,03300,BESUT,86627
03400,P.034,11,03400,SETIU,86247
03500,P.035,11,03500,KUALA NERUS,83663
03600,P.036,11,03600,KUALA TERENGGANU,103611
03700,P.037,11,03700,MARANG,104898
03800,P.038,11,03800,HULU TERENGGANU,73487
03900,P.039,11,03900,DUNGUN,90506
04000,P.040,11,04000,KEMAMAN,107593
04100,P.041,7,04100,KEPALA BATAS,60523
04200,P.042,7,04200,TASEK GELUGOR,60850
04300,P.043,7,04300,BAGAN,71583
04400,P.044,7,04400,PERMATANG PAUH,81789
04500,P.045,7,04500,BUKIT MERTAJAM,88998
04600,P.046,7,04600,BATU KAWAN,65394
04700,P.047,7,04700,NIBONG TEBAL,73383
04800,P.048,7,04800,BUKIT BENDERA,75069
04900,P.049,7,04900,TANJONG,49586
05000,P.050,7,05000,JELUTONG,76991
05100,P.051,7,05100,BUKIT GELUGOR,91595
05200,P.052,7,05200,BAYAN BARU,90780
05300,P.053,7,05300,BALIK PULAU,59086
05400,P.054,8,05400,GERIK,35903
05500,P.055,8,05500,LENGGONG,29752
05600,P.056,8,05600,LARUT,49453
05700,P.057,8,05700,PARIT BUNTAR,51860
05800,P.058,8,05800,BAGAN SERAI,59293
05900,P.059,8,05900,BUKIT GANTANG,69873
06000,P.060,8,06000,TAIPING,90729
06100,P.061,8,06100,PADANG RENGAS,30996
06200,P.062,8,06200,SUNGAI SIPUT,55002
06300,P.063,8,06300,TAMBUN,107763
06400,P.064,8,06400,IPOH TIMOR,91486
06500,P.065,8,06500,IPOH BARAT,84874
06600,P.066,8,06600,BATU GAJAH,81399
06700,P.067,8,06700,KUALA KANGSAR,36954
06800,P.068,8,06800,BERUAS,79794
06900,P.069,8,06900,PARIT,35910
07000,P.070,8,07000,KAMPAR,69436
07100,P.071,8,07100,GOPENG,99167
07200,P.072,8,07200,TAPAH,47128
07300,P.073,8,07300,PASIR SALAK,54671
07400,P.074,8,07400,LUMUT,67157
07500,P.075,8,07500,BAGAN DATUK,47309
07600,P.076,8,07600,TELUK INTAN,66487
07700,P.077,8,07700,TANJONG MALIM,68468
07800,P.078,6,07800,CAMERON HIGHLANDS,32048
07900,P.079,6,07900,LIPIS,35294
08000,P.080,6,08000,RAUB,57723
08100,P.081,6,08100,JERANTUT,63609
08200,P.082,6,08200,INDERA MAHKOTA,77208
08300,P.083,6,08300,KUANTAN,62696
08400,P.084,6,08400,PAYA BESAR,55135
08500,P.085,6,08500,PEKAN,88899
08600,P.086,6,08600,MARAN,41036
08700,P.087,6,08700,KUALA KRAU,47264
08800,P.088,6,08800,TEMERLOH,75081
08900,P.089,6,08900,BENTONG,67359
09000,P.090,6,09000,BERA,58711
09100,P.091,6,09100,ROMPIN,61918
09200,P.092,10,09200,SABAK BERNAM,40863
09300,P.093,10,09300,SUNGAI BESAR,48739
09400,P.094,10,09400,HULU SELANGOR,100990
09500,P.095,10,09500,TANJONG KARANG,47198
09600,P.096,10,09600,KUALA SELANGOR,69397
09700,P.097,10,09700,SELAYANG,116176
09800,P.098,10,09800,GOMBAK,141112
09900,P.099,10,09900,AMPANG,91737
10000,P.100,10,10000,PANDAN,101319
10100,P.101,10,10100,HULU LANGAT,102363
10200,P.102,10,10200,BANGI,178790
10300,P.103,10,10300,PUCHONG,96437
10400,P.104,10,10400,SUBANG,146422
10500,P.105,10,10500,PETALING JAYA ,140920
10600,P.106,10,10600,DAMANSARA,164322
10700,P.107,10,10700,SUNGAI BULOH,90707
10800,P.108,10,10800,SHAH ALAM,107316
10900,P.109,10,10900,KAPAR,124983
11000,P.110,10,11000,KLANG,149348
11100,P.111,10,11100,KOTA RAJA,149021
11200,P.112,10,11200,KUALA LANGAT,102406
11300,P.113,10,11300,SEPANG,104508
11400,P.114,14,11400,KEPONG,72696
11500,P.115,14,11500,BATU,76328
11600,P.116,14,11600,WANGSA MAJU,88482
11700,P.117,14,11700,SEGAMBUT,77956
11800,P.118,14,11800,SETIAWANGSA,72136
11900,P.119,14,11900,TITIWANGSA,61598
12000,P.120,14,12000,BUKIT BINTANG,69526
12100,P.121,14,12100,LEMBAH PANTAI,80346
12200,P.122,14,12200,SEPUTEH,86256
12300,P.123,14,12300,CHERAS,78819
12400,P.124,14,12400,BANDAR TUN RAZAK,83650
12500,P.125,16,12500,PUTRAJAYA,27306
12600,P.126,5,12600,JELEBU,48522
12700,P.127,5,12700,JEMPOL,72122
12800,P.128,5,12800,SEREMBAN,110168
12900,P.129,5,12900,KUALA PILAH,49801
13000,P.130,5,13000,RASAH,102838
13100,P.131,5,13100,REMBAU,88365
13200,P.132,5,13200,PORT DICKSON,75212
13300,P.133,5,13300,TAMPIN,60765
13400,P.134,4,13400,MASJID TANAH,51441
13500,P.135,4,13500,ALOR GAJAH,70364
13600,P.136,4,13600,TANGGA BATU,83213
13700,P.137,4,13700,HANG TUAH JAYA,89364
13800,P.138,4,13800,KOTA MELAKA,126848
13900,P.139,4,13900,JASIN,73432
14000,P.140,1,14000,SEGAMAT,55350
14100,P.141,1,14100,SEKIJANG,45596
14200,P.142,1,14200,LABIS,40356
