Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,1,3330,1842,298,170,634,2944,144,242
2,UNDI AWAL 006/05/00,"BILIK LATIHAN, KOMPENI D BATALION 1 PASUKAN GERAKAN AM BUKIT KAYU HITAM",1,259,148,8,4,99,259,0,0
2,UNDI AWAL 006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",1,52,25,6,0,21,52,0,0
2,UNDI AWAL 006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",2,58,34,1,0,18,53,5,0
2,UNDI AWAL 006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",3,179,122,4,2,50,178,1,0
2,UNDI AWAL 006/05/00,"BILIK KULIAH 2 , PALAPES UUM",1,40,27,3,0,9,39,1,0
3,UNDI AWAL 006/06/00,"DEWAN SERBAGUNA, IPD KUBANG PASU",1,313,211,12,9,81,313,0,0
3,UNDI AWAL 006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,1,172,138,2,2,30,172,0,0
3,UNDI AWAL 006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,2,429,338,14,4,72,428,1,0
4,BUKIT KAYU HITAM 006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",1,334,146,24,25,129,324,10,0
4,BUKIT KAYU HITAM 006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",2,346,196,27,24,94,341,5,0
4,BUKIT KAYU HITAM 006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",3,520,336,37,32,111,516,4,0
4,BUKIT KAYU HITAM 006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",4,505,377,36,22,68,503,2,0
4,BUKIT KAYU HITAM 006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",5,568,439,49,21,58,567,1,0
5,FELDA BUKIT TANGGA 006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",1,372,131,28,28,176,363,9,0
5,FELDA BUKIT TANGGA 006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",2,367,184,27,25,124,360,7,0
5,FELDA BUKIT TANGGA 006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",3,395,243,25,39,83,390,5,0
5,FELDA BUKIT TANGGA 006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",4,358,248,17,21,70,356,2,0
5,FELDA BUKIT TANGGA 006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",5,409,290,26,17,76,409,0,0
6,TEMIN 006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",1,352,205,37,37,62,341,11,0
6,TEMIN 006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",2,367,249,57,24,36,366,1,0
6,TEMIN 006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",3,351,230,45,22,52,349,2,0
6,TEMIN 006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",4,461,317,78,23,38,456,5,0
7,FELDA LAKA SELATAN 006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1,351,134,16,23,168,341,10,0
7,FELDA LAKA SELATAN 006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2,399,238,25,28,102,393,6,0
7,FELDA LAKA SELATAN 006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3,399,260,38,19,81,398,1,0
7,FELDA LAKA SELATAN 006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",4,417,293,33,12,76,414,3,0
8,FELDA BATU LAPAN 006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1,344,157,38,16,124,335,9,0
8,FELDA BATU LAPAN 006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2,551,350,42,33,121,546,5,0
8,FELDA BATU LAPAN 006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3,583,399,73,16,94,582,1,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",1,288,91,108,16,73,288,0,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",2,360,142,111,29,76,358,2,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",3,509,249,144,23,89,505,4,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",4,474,224,156,28,61,469,5,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",5,455,234,144,19,51,448,7,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",6,421,255,102,19,41,417,4,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",7,457,253,137,15,47,452,5,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",8,523,311,142,16,54,523,0,0
9,PEKAN BARU CHANGLUN 006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",9,548,341,133,12,60,546,2,0
10,PEKAN LAMA CHANGLUN 006/05/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",1,171,40,86,8,35,169,2,0
